Block	Era	Freq
BLK1	1	0.636363636
BLK1	2	0.736842105
BLK1	3	0.735294118
BLK1	4	0.754098361
BLK1	5	0.705882353
BLK1	6	0.888888889
BLK2	1	0
BLK2	2	0.052631579
BLK2	3	0.058823529
BLK2	4	0.032786885
BLK2	5	0.235294118
BLK2	6	0.277777778
BLK3	1	0.090909091
BLK3	2	0.052631579
BLK3	3	0.264705882
BLK3	4	0.31147541
BLK3	5	0.441176471
BLK3	6	0.666666667
BLK4	1	0.090909091
BLK4	2	0.052631579
BLK4	3	0.323529412
BLK4	4	0.327868852
BLK4	5	0.470588235
BLK4	6	0.722222222
BLK5	1	0.454545455
BLK5	2	0.368421053
BLK5	3	0.382352941
BLK5	4	0.295081967
BLK5	5	0.382352941
BLK5	6	0.388888889
BLK6	1	0.818181818
BLK6	2	0.789473684
BLK6	3	0.764705882
BLK6	4	0.885245902
BLK6	5	0.764705882
BLK6	6	0.833333333
