Block	Era	Freq
BLK1	1	0.636363636
BLK1	2	0.705882353
BLK1	3	0.709677419
BLK1	4	0.759259259
BLK1	5	0.705882353
BLK1	6	0.888888889
BLK2	1	0
BLK2	2	0.058823529
BLK2	3	0.064516129
BLK2	4	0.037037037
BLK2	5	0.258064516
BLK2	6	0.277777778
BLK3	1	0.090909091
BLK3	2	0.058823529
BLK3	3	0.290322581
BLK3	4	0.314814815
BLK3	5	0.516129032
BLK3	6	0.666666667
BLK4	1	0.090909091
BLK4	2	0.058823529
BLK4	3	0.290322581
BLK4	4	0.333333333
BLK4	5	0.548387097
BLK4	6	0.722222222
BLK5	1	0.545454545
BLK5	2	0.647058824
BLK5	3	0.387096774
BLK5	4	0.444444444
BLK5	5	0.483870968
BLK5	6	0.388888889
BLK6	1	0.818181818
BLK6	2	0.823529412
BLK6	3	0.741935484
BLK6	4	0.907407407
BLK6	5	0.774193548
BLK6	6	0.888888889
