ID	B	Ca	CHL	Cu	DW	Fe	FW	K	LA	Mg	Mn	N	P	S	Zn
33-16	0.820482577534657	1.28107130512843	NA	NA	1.33760137165084	1.31363686093365	1.37850737943148	1.09235055127953	1.23016042130707	1.11476394126634	NA	1.38371428375594	0.922731671133029	1.12639818088604	NA
38-11Goodman-Buckler	1.13038558989462	1.13415747267921	1.39862819924378	1.36868869719107	1.11411405730434	1.18379589852755	1.3841648499265	1.09112283173306	1.14695435680131	1.40743485457801	1.38233423897494	1.33870614107777	0.982692493684352	0.906351359419388	1.23951694791421
4226	1.33669850865506	1.0146165057016	1.58067304735525	2.31056455709525	1.22229274656659	1.36087827472664	1.2592770299037	1.09622720899984	1.170440171378	1.19904008046537	1.37667785564922	1.56730627091358	1.04258023550164	1.24866426645901	1.50497886408708
4722	NA	1.27555891205109	1.64711308590541	2.10316551310532	NA	1.4186178397463	NA	1.1340921572848	0.984850820658466	1.46911384765148	1.23701288007333	1.67041725469144	1.12094653910251	1.30550310857717	NA
A188	1.21179190013733	1.03643127476529	1.23713016439304	1.35053299859839	NA	1.08007886252398	NA	1.01552052430706	NA	1.26090272603904	NA	1.25172223529412	1.0359905960599	0.857733054473498	1.13042937836054
A214NGoodman-Buckler	1.16674616646244	1.24665229704965	1.40413369853767	1.73756337977291	0.873650353142879	1.37459870067006	NA	0.970644135309763	1.0325294305208	1.23267809376871	1.17446772561018	1.46320239690872	1.00340444576113	1.14294798220418	1.36933805834702
A239	NA	1.29922740553687	1.44947736488022	1.90051268718246	1.27630037996603	1.41523144655136	1.39491767982629	1.0848656984391	1.12562112107639	1.24941642664728	1.44192476347113	1.46316948734707	1.1072846445567	1.3137952317851	NA
A441-5	1.62580655998779	1.30108821830218	1.51229264558642	1.63372468575051	1.99833777832343	1.36148870458078	2.26811450017458	1.19280796231419	1.57662088066962	1.14783966721505	1.55314773884613	1.42162875024395	1.11036050645596	1.29827526073702	1.49605621416483
A554	1.48367959061068	1.09317054208908	1.18620988548129	NA	1.01927202539267	1.22730190633243	0.974535210056583	1.10249324504396	1.04272854930427	1.38718402888311	NA	1.29005195509279	1.04778709844537	NA	NA
A556	2.43683808039273	1.24855434917786	1.39648273547213	NA	1.21007229515564	NA	1.14772331622961	1.07841642249909	1.15471277747226	1.05126358762586	NA	NA	0.974459339923069	NA	NA
A6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A619	1.34581685455176	1.08624338806716	1.19450164067603	1.1546300016681	0.979809386635849	1.09946086604278	0.982870647731666	0.971776743214912	1.0127663726795	1.30561243947349	1.05317260723363	1.22802025091407	0.909762907250505	1.08229082701725	NA
A632	1.19025367926197	1.18893583887744	1.20198366707985	1.45106279111173	1.10811275265612	1.36087016692488	1.19864246053498	1.1865989786742	1.15617234022903	1.22286060967298	1.42849331910415	1.34130358187876	1.00933314993504	0.999122094936766	1.17709905144077
A634	1.28528914856125	1.31831872112972	1.63365105875373	2.02406396843409	1.25789733903178	1.38165425410646	1.21103475079097	0.986435718583361	1.17950944583554	1.30676340104488	1.25329233251247	1.47264677776123	0.992820607337066	1.12999606605135	NA
A635	1.1851440968028	1.25125460759688	1.38788298435914	2.04874734172443	NA	1.47206125685104	0.852668746697077	1.17170990322056	0.939517789180079	1.41113855658878	1.41565549755363	1.54352001801638	1.17113822364433	1.38532649593354	NA
A641	1.34481058878501	1.13982999956759	1.18298477181761	1.11652029940052	1.13872280498979	1.22995656562128	1.17149121779892	1.23879971751976	1.16509062108956	1.19912318338138	1.26569890525945	1.32237692037452	1.03505063698462	0.921137326213424	1.04621325948059
A654	1.34785098026144	0.939276030329126	1.08367866984068	1.62368764529662	0.803986585987301	1.31082183283969	0.823002419442306	1.12704999976454	0.877097847696063	1.33479378594585	1.2310995565419	1.34605897646915	1.15010880279961	1.13634269973058	1.33520465663188
A659	1.07087031279829	1.10259496219792	1.06497284487344	1.38261699883979	NA	1.24772821870825	NA	1.24549986546189	NA	1.54054083959661	NA	1.32870707162425	1.01026553529337	1.02620507543171	1.06052448130358
A661	1.21228363402225	1.2293240520251	1.19657766194407	1.51164647846144	1.37711554662702	1.28759684817732	1.34844675107828	1.07541944046757	1.30567684073624	1.28792381964578	1.11478943765879	1.34755536256437	0.982314970411124	1.14685675847422	1.19146753032516
A679	1.16922699953882	1.15757442632772	1.43207147203928	2.33638939752422	1.2261210040585	1.34182899546302	1.28769968860774	1.15369896508306	1.15669934687547	1.53447591186781	1.19324272151575	1.54799554670705	1.12970712816026	1.26051795599392	1.43182100218751
A680	0.93826834919179	1.08924744778214	1.31396545669098	NA	1.07716528501074	1.21356635984183	1.147067974683	1.0381590887788	1.15007539005509	1.34704206093823	0.971564153435975	1.37673621209136	1.01266291855072	1.13332279795945	NA
A682	1.63429766104661	1.0557542183969	1.46850049945679	1.67550393378938	1.13269128066326	1.37386431298423	1.19778045063854	1.01607852564622	1.12968507269743	1.2167774675957	1.24174317892921	1.42594020665104	1.07349498217615	1.27024836410985	1.29524817450307
Ab28A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B10	1.59925413685327	1.08029522511585	1.62743635286001	1.48144525708005	1.32787204260432	1.27850748941767	1.29319448748799	0.956382959442821	1.15151049677702	1.06906983345082	0.826623058545798	1.41037184772998	0.985650956474733	1.15261544067974	1.13647971338595
B103	1.19349990992191	0.972690578767667	1.31129223818834	1.5656630265762	NA	1.19746141708912	NA	1.15210272346329	0.984683752390535	1.11542054783526	NA	1.33455139658048	1.01504626269318	1.07211267080074	NA
B104	1.0621034326615	1.22420581825467	1.52957096621972	1.90051268718246	1.4333555039641	1.43922608299526	1.51615999807601	1.20206116564795	1.2815263165252	1.02756349373706	NA	1.42498836584715	1.02682102659364	1.15700042589151	1.21563879574915
B105	1.06511761491707	1.22210476649381	1.53802776433801	1.79486349750515	1.39109805838634	1.34809023505553	1.38873648027023	1.06125845049412	1.30167013458402	1.24535747321745	1.15975194311176	1.45973555935089	0.905296670518176	1.27260653973465	1.2466215815973
B109	1.33716111000707	1.23521367150051	1.41366993878952	1.64239521678406	1.22666257533137	1.26911814110903	1.24243664889995	1.06857449142544	1.13857400655433	1.50370168501324	1.59556781949088	1.32060340163547	0.978017345878572	0.996975954377427	1.13668762844849
B14A	1.4115989005099	1.3222475666983	1.37694083097495	1.73756337977291	NA	1.35176204007959	1.25211462963708	1.1150077282131	1.19082838692536	1.32489154291084	1.25313873697003	1.44321871070691	0.976671761288428	1.05681013901106	NA
B164	1.18844746982468	1.32911282808591	1.56906767789061	1.84443891205116	1.23767170161717	1.37182133351118	1.23413152198162	1.11344735876438	1.20318201805851	1.3345546389856	1.06345673958543	1.52394159782696	1.2098467039866	1.42961422241055	1.78505765549298
B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B37	1.03748650851366	1.23067010496414	1.67878150876037	1.96608807666957	1.23721159801597	1.46318160365361	1.31797585720329	1.13738052248979	1.1919246802552	1.31563622308524	1.56049456369796	1.50613894321436	1.09152994700144	1.1925973861586	1.31787842504743
B46	1.37347219687357	1.30093435855996	1.45231886062697	1.86520629985691	1.40001984484479	1.36437355323257	1.5204060112914	1.13395779667593	1.50918133278895	1.57858216464865	1.52360500463261	1.42741100919157	0.986164369126999	1.32100534327594	NA
B52	1.20491126456582	1.11975782368328	1.29442271357996	1.89509606259602	1.24435304395893	1.3181306458004	1.45330768688229	1.15797706417155	1.225015704528	1.49225837375316	1.10314138373501	1.49906575116641	1.04346311991014	1.20973166563426	1.27267193100468
B57	NA	1.21693131823468	1.39879231825067	NA	1.21253611293635	1.24901158106163	1.19343731696113	1.05845777104852	1.14786829380962	1.45216705194976	1.18034561860024	1.41672733383218	0.930278527729779	1.24691471959392	NA
B64	1.42072986250443	1.21190793100532	1.31887858426297	1.41866683588677	1.1429972275495	1.29621856924955	1.16731339142562	0.975112313160615	1.05589738914341	1.24848150594921	1.32605535459041	1.38557349856495	1.00156664810272	1.0222472870048	1.32744853245249
B68	1.46674131976732	1.28567790594683	1.328215847111	1.84443891205116	1.12918014309992	1.33924212243888	1.05013517705344	0.92939823988622	1.2423481491375	1.61145299732176	1.19693230225268	1.45781162728611	1.09206464553633	1.14982805370158	1.9235411546682
B73	1.11601100209158	1.19541613380915	1.32637989444959	1.71115846946472	1.03397982997854	1.33439119222902	1.12189312151699	1.01022742197285	1.05512461590225	1.60095296270069	1.20276942819857	1.44914172824589	0.965323759433241	1.1027177343801	NA
B73Htrhm	1.39532051078724	1.237719746605	1.23136597282841	NA	1.38271241521903	1.30688040558589	1.45229973430613	1.03756029504274	1.31797912126808	1.4779343684815	1.63427169578002	NA	0.963654379271104	NA	0.97649902158527
B75	NA	1.06332281486392	1.09794620521491	1.31757661046234	1.20018961641541	1.08628464534678	NA	0.859183908198937	1.10602290506844	1.41603598932938	0.896138550825379	1.25859248549152	1.02586336729666	1.06150763781733	NA
B76	1.15137924947739	1.0902485008008	1.20528023569656	1.37042565397847	1.0358450071068	1.20422476509145	1.11052295480752	1.03497657037301	1.00955224382951	1.34032867957051	1.14340610180512	1.28654909906346	0.929017078429244	1.12828786995543	1.11716494064599
B77	1.21186452223031	1.05583246496907	NA	NA	1.61221246064055	1.30553425874135	1.6084321932918	0.98733154637021	1.37873426475501	1.52296517807826	1.26468183282161	NA	1.10123811527591	1.27024836410985	NA
B79	1.24074705120278	1.29343762898577	1.37251874058863	NA	1.10492112009445	1.24434822172921	1.07720967053425	1.04428250357652	1.10424721686818	1.12676758078411	1.30479669223564	1.54631548836507	0.95728247556082	1.19889754959092	1.407755449844
B84	1.36095879086395	1.21719102346131	1.46053231001906	1.61766873618232	NA	1.39515153351311	1.34255779912962	1.00040649652266	1.22105217642964	1.43046508984664	1.22015009709231	1.42097077054298	NA	1.17229988898594	1.07890690585671
B97	1.11790117560884	1.33220914346248	1.76823667030943	1.90051268718246	1.39957818012421	1.39059095539131	1.46034776256338	1.04345810864049	1.29098056360833	1.6786141981045	1.36782017575547	1.61115057566161	1.02326751567773	1.48727676395767	1.43182100218751
C103	NA	1.61321326231634	1.41694405665908	1.82573878343503	1.28817433994574	1.55514537782755	1.33923536195609	1.05592770586473	1.15196011035221	1.17674413571145	1.31311853536809	1.54506360882272	1.03328093735458	1.43544681441625	1.63842458261027
C123	1.25406159359762	1.12321924754312	1.36887995517532	1.38790848210101	1.17375631012349	1.30788781610541	1.19124569132446	1.07411713891712	1.00923651716114	1.31105486644168	NA	1.34707255953559	1.1362621948856	1.22460759160684	1.78955048093133
C49A	1.5786452994084	1.15410151883186	1.33580827152259	1.48111423128186	1.13988363853068	1.32071857552494	1.12324384191508	0.91564282427199	1.06256138026983	NA	NA	1.36167929413603	0.897720779486415	1.1007064945616	NA
CH701-30	1.1851440968028	2.09502439997743	1.97893112969978	NA	1.66418481816709	1.6333865831316	1.76312833666572	0.960864969993377	1.42625401420845	1.65273751764975	2.18519000806585	1.5776714365721	0.960955698455818	1.44257644741324	1.1425657436685
CH9	1.01619060744059	1.11557964733656	1.18663829062492	1.17966504431736	0.891713576856334	1.21053373662017	0.929192234865826	1.01512352571074	0.975342330692212	1.52664505586177	0.984217970219822	1.32513540686417	0.984740095982194	1.07674877693163	NA
CI187-2	1.30384626988895	1.49338636125815	1.62292324280817	2.41349952843703	1.08186209878352	1.50501685062848	1.08955773564856	1.02347995300348	1.02873678629396	1.63762502911063	1.47079151210246	1.51095653576266	1.0196331775121	1.37722914534877	1.45166018177279
CI21E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CI28AGoodman-Buckler	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CI31A	1.19756670087994	1.74331680429599	1.83222726292697	2.00399251455798	1.46264045573219	1.5327124155978	1.61776525315249	1.23751829815159	1.26568947800629	1.77854427022704	1.79885677207346	1.53644180549819	0.935884042575278	1.45260107401566	0.923922273977878
CI3A	1.18689772494536	1.46208435518241	1.56540747426825	2.03013475675614	1.11129593308458	1.39628221124851	1.21059828757403	1.12567902207568	1.05422507417609	1.81677215175404	1.98094766991308	1.59663491296285	1.01266291855072	1.44016109315175	2.23892752605564
CI64	0.919053059191288	1.30030836152927	1.32738063700214	NA	1.03524613045957	1.32301788700362	1.07511042631001	1.03907091455623	1.04854949740978	1.62389783638285	1.67250110200941	NA	0.886039931310163	1.2172294848435	NA
CI66	0.943690527352855	1.19479924586425	1.41402853731329	1.77822026632649	1.25309210757238	1.33388029892561	1.42026926057975	1.21592765064357	1.18806049848822	1.1669594853232	1.85073902449433	1.3746980319766	1.07363439334115	1.21599112203286	1.34621328059146
Ci7Goodman-Buckler	0.961576442138123	1.00619485781024	1.35160865990694	1.33036809885905	1.39175082762684	1.35052688434675	1.24521014128828	1.06616390292508	1.31597228129655	0.963568401223676	1.10957594145348	1.38331615450653	1.03392473914521	1.0140381187532	1.27877876573577
Ci90CGoodman-Buckler	1.01213014395072	1.24098420464395	1.43617359458056	NA	1.29592137298167	1.32771048638776	1.42440212180313	1.13123696387092	1.22783765709512	1.45140642925532	NA	1.36522152418785	0.916474336763004	1.04591125209719	NA
Ci91BGoodman-Buckler	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
