Line	Stage	Treatment	Plant1	Plant2	Plant3	Plant4	Plant5	Plant6
F6	1	+	21.6	24.5	NA	18.7	NA	NA
F6	1	-	18	NA	10.4	13.3	NA	NA
DE2	2	+	28.95	21.1	NA	27.6	21.3	19.5
DE2	2	-	15.6	19.5	22.9	25	24.9	NA
B73	2	+	22.5	20.5	24	20.8	24.1	27.5
B73	2	-	19.2	15.6	NA	20.9	13.2	24.3
K55	1	+	23	26.1	NA	25	26.7	NA
K55	1	-	15	19	NA	15.8	21.9	19
W153R	1	+	22.1	17.2	NA	18.9	NA	NA
W153R	1	-	18.5	23.9	22.6	19.4	18.1	NA
Mt42	1	+	24.1	21.3	15.5	24.8	15.3	24.6
Mt42	1	-	20.5	12.4	NA	16.6	13.7	18.7
Mo44	2	+	24.6	19	19.5	19.3	NA	NA
Mo44	2	-	27	22	27.9	28.5	24.2	22.2
Os420	1	+	22	28.1	27	23.6	22.1	NA
Os420	1	-	23.9	18.9	NA	15.1	23.9	NA
