Lie	Stage	Treatment	Tissure	Plant1	Plant2	Plant3	Plant4	Plant5	Plant6
F6	1	+	Shoot	3.965	4.073	NA	2.468	NA	NA
F6	1	+	Root	NA	1.202	0.886	1.075	NA	NA
F6	1	-	Shoot	1.313	1.258	2.485	1.756	NA	NA
F6	1	-	Root	0.971	NA	NA	1.118	NA	NA
Os420	1	+	Shoot	NA	4.655	3.119	4.357	NA	NA
Os420	1	+	Root	NA	3.071	1.605	1.999	NA	NA
Os420	1	-	Shoot	2.219	2.408	4.376	3.781	NA	NA
Os420	1	-	Root	NA	NA	3.101	3.677	3.782	NA
M42	1	+	Shoot	5.073	4.24	4.363	NA	4.246	4.847
M42	1	+	Root	NA	2.829	2.408	1.977	2.364	2.546
M42	1	-	Shoot	2.034	2.286	1.936	NA	2.669	NA
M42	1	-	Root	NA	3.442	2.738	2.868	2.691	NA
B73	2	+	Shoot	4.877	5.725	6.499	5.068	6.626	NA
B73	2	+	Root	2.549	3.726	3.528	2.61	2.431	NA
B73	2	-	Shoot	3.069	2.749	3.285	3.522	3.844	NA
B73	2	-	Root	2.72	2.469	2.742	3.074	2.639	NA
MO44	2	+	Shoot	3.466	3.327	2.096	3.028	NA	NA
MO44	2	+	Root	1.322	1.842	2.118	1.577	NA	NA
MO44	2	-	Shoot	1.925	1.808	1.755	2.191	2.599	NA
MO44	2	-	Root	2.138	1.629	2.165	1.668	1.488	NA
DE2	2	+	Shoot	3.186	3.168	2.185	2.627	NA	NA
DE2	2	+	Root	1.524	0.743	1.235	1.083	NA	NA
DE2	2	-	Shoot	1.572	NA	1.748	1.416	NA	NA
DE2	2	-	Root	0.88	1.145	1.096	1.248	0.825	NA
W153R	1	+	Shoot	2.111	2.535	2.111	1.605	2.168	NA
W153R	1	+	Root	1.205	0.813	1.243	0.962	1.227	0.961
W153R	1	-	Shoot	1.617	2.202	1.778	1.887	1.853	NA
W153R	1	-	Root	1.381	0.991	0.936	1.468	1.316	NA
K55	1	+	Shoot	3.916	4.504	NA	3.723	4.939	NA
K55	1	+	Root	2.97	3.669	3.437	3.013	2.351	NA
K55	1	-	Shoot	3.595	3.248	NA	3.561	3.861	NA
K55	1	-	Root	3.772	3.652	4.287	3.773	3.148	NA
