Year	Yield	Group
1866	24.3	1866-1936
1867	24.7	1866-1936
1868	26.2	1866-1936
1869	21.8	1866-1936
1870	29.3	1866-1936
1871	27.2	1866-1936
1872	29.4	1866-1936
1873	22.9	1866-1936
1874	22.2	1866-1936
1875	27.7	1866-1936
1876	26.7	1866-1936
1877	25.8	1866-1936
1878	26.2	1866-1936
1879	28.2	1866-1936
1880	27.3	1866-1936
1881	19.8	1866-1936
1882	26.5	1866-1936
1883	24.2	1866-1936
1884	28.3	1866-1936
1885	28.6	1866-1936
1886	24.1	1866-1936
1887	21.9	1866-1936
1888	29.1	1866-1936
1889	29.5	1866-1936
1890	22.1	1866-1936
1891	29.6	1866-1936
1892	24.7	1866-1936
1893	23.8	1866-1936
1894	20.2	1866-1936
1895	28	1866-1936
1896	30	1866-1936
1897	25.4	1866-1936
1898	26.8	1866-1936
1899	28	1866-1936
1900	28.1	1866-1936
1901	18.2	1866-1936
1902	28.5	1866-1936
1903	26.9	1866-1936
1904	28.2	1866-1936
1905	30.9	1866-1936
1906	31.7	1866-1936
1907	27.2	1866-1936
1908	26.9	1866-1936
1909	26.1	1866-1936
1910	27.9	1866-1936
1911	24.4	1866-1936
1912	29.1	1866-1936
1913	22.7	1866-1936
1914	25.8	1866-1936
1915	28.1	1866-1936
1916	24.1	1866-1936
1917	26.2	1866-1936
1918	23.9	1866-1936
1919	26.8	1866-1936
1920	29.9	1866-1936
1921	27.8	1866-1936
1922	26.3	1866-1936
1923	27.8	1866-1936
1924	22.1	1866-1936
1925	27.4	1866-1936
1926	25.7	1866-1936
1927	26.4	1866-1936
1928	26.3	1866-1936
1929	25.7	1866-1936
1930	20.5	1866-1936
1931	24.5	1866-1936
1932	26.5	1866-1936
1933	22.8	1866-1936
1934	18.7	1866-1936
1935	24.2	1866-1936
1936	18.6	1866-1936
1937	28.9	1937-1955
1938	27.8	1937-1955
1939	29.9	1937-1955
1940	28.9	1937-1955
1941	31.2	1937-1955
1942	35.4	1937-1955
1943	32.6	1937-1955
1944	33	1937-1955
1945	33.1	1937-1955
1946	37.2	1937-1955
1947	28.6	1937-1955
1948	43	1937-1955
1949	38.2	1937-1955
1950	38.2	1937-1955
1951	36.9	1937-1955
1952	41.8	1937-1955
1953	40.7	1937-1955
1954	39.4	1937-1955
1955	42	1937-1955
1956	47.4	1956-2020
1957	48.3	1956-2020
1958	52.8	1956-2020
1959	53.1	1956-2020
1960	54.7	1956-2020
1961	62.4	1956-2020
1962	64.7	1956-2020
1963	67.9	1956-2020
1964	62.9	1956-2020
1965	74.1	1956-2020
1966	73.1	1956-2020
1967	80.1	1956-2020
1968	79.5	1956-2020
1969	85.9	1956-2020
1970	72.4	1956-2020
1971	88.1	1956-2020
1972	97	1956-2020
1973	91.3	1956-2020
1974	71.9	1956-2020
1975	86.4	1956-2020
1976	88	1956-2020
1977	90.8	1956-2020
1978	101	1956-2020
1979	109.5	1956-2020
1980	91	1956-2020
1981	108.9	1956-2020
1982	113.2	1956-2020
1983	81.1	1956-2020
1984	106.7	1956-2020
1985	118	1956-2020
1986	119.4	1956-2020
1987	119.8	1956-2020
1988	84.6	1956-2020
1989	116.3	1956-2020
1990	118.5	1956-2020
1991	108.6	1956-2020
1992	131.5	1956-2020
1993	100.7	1956-2020
1994	138.6	1956-2020
1995	113.5	1956-2020
1996	127.1	1956-2020
1997	126.7	1956-2020
1998	134.4	1956-2020
1999	133.8	1956-2020
2000	136.9	1956-2020
2001	138.2	1956-2020
2002	129.3	1956-2020
2003	142.2	1956-2020
2004	160.3	1956-2020
2005	147.9	1956-2020
2006	149.1	1956-2020
2007	150.7	1956-2020
2008	153.3	1956-2020
2009	164.4	1956-2020
2010	152.6	1956-2020
2011	146.8	1956-2020
2012	123.1	1956-2020
2013	158.1	1956-2020
2014	171	1956-2020
2015	168.4	1956-2020
2016	174.6	1956-2020
2017	176.6	1956-2020
2018	176.4	1956-2020
2019	167.5	1956-2020
2020	172	1956-2020
