trait	pval	eff	std	Nhap1	hap1	Nhap2	hap2	Nhap3	hap3
UpperLeafAngle	0.00013487	6.215285595	1.604359282	157	56.92443499	91	63.13972059	21	48.49906256
X.5321515..stigmasterol..28.442.	0.000670375	0.00026662	7.67E-05	89	0.000773974	51	0.001040594	11	0.000786401
MiddleLeafAngle	0.001229554	2.897835935	0.886691991	151	61.35273103	89	64.25056697	21	58.48113345
G_K	0.002923571	0.262092391	0.086955537	112	2.433125	69	2.695217391	15	2.498666667
EarRowNumber	0.004942214	0.557527194	0.19668897	157	13.32263466	90	13.88016185	21	12.61026952
X.51..alpha.ketoglutaric.acid..13.859.	0.00496987	-0.001267907	0.000446209	113	0.007484996	68	0.00621709	16	0.00662521
X.5984..fructose.1..17.18..s100	0.006708036	-0.015890579	0.005798818	113	0.077269351	69	0.061378772	16	0.07620684
Spikelets.MainSpike	0.007623299	1.188376225	0.44195605	156	23.21296617	91	24.4013424	21	22.75052982
G_Zn	0.011526015	-19.24262422	7.544023188	112	92.63392857	69	73.39130435	15	92.93333333
EarDiameter	0.01191647	1.042127606	0.411567334	157	36.48013994	90	37.52226755	21	35.73098514
Woebbecke.LN.6.Jul	0.01233504	0.355670318	0.140706182	106	3.873579698	61	4.229250016	17	4.207234706
G_Ca	0.013197557	-0.139202899	0.055647207	112	0.825	69	0.685797101	15	0.780666667
LN.CD	0.01445098	0.608193618	0.246587264	124	22.40278232	71	23.01097594	17	22.45067055
HN.B	0.021564132	-1.353104961	0.584448702	126	17.23561434	71	15.88250938	17	16.53097929
G_N	0.041878079	-0.161476449	0.078831838	112	3.254375	69	3.092898551	15	3.164
X.2724705..1.6.anhydro.glucose..15.326.	0.04220117	-0.000245445	0.000120015	113	0.001772385	68	0.001526941	15	0.001672227
HN.FW	0.044610281	2.04681201	1.01317898	123	30.53012697	76	32.57693898	18	29.15027267
SouthernLeafBlight	0.054810731	0.257900019	0.133705144	157	6.689404891	91	6.94730491	21	5.910080187
LN.Zn	0.055712747	-1.489848666	0.773505918	102	21.85829193	63	20.36844327	13	19.68983408
CobDiameter	0.058341271	0.584127321	0.307222702	157	25.3637626	91	25.94788992	21	24.68009042
NIRStarch	0.061898142	0.469228704	0.250244498	154	66.38832279	90	66.85755149	20	66.2326312
G_LA	0.062097692	-161.1091954	85.85418539	111	1404.460243	69	1243.351048	15	1250.270133
X.12647..L.homoserine.2..12.359.	0.062358697	0.000451286	0.000240737	112	0.002195107	68	0.002646392	16	0.002662504
X.128869..galactonic.acid.2..18.504.	0.062411671	-7.73E-05	4.12E-05	112	0.000586903	67	0.000509634	16	0.000493463
HN.Zn	0.064581833	-1.638448249	0.881810616	121	28.18578728	72	26.54733903	17	28.93831706
HN.DW	0.067144225	0.355837218	0.193397041	126	7.159830246	76	7.515667464	18	6.892186218
VARI.LN.6.Jul	0.071602896	-0.017166739	0.009472547	106	0.216717813	61	0.199551074	17	0.192054758
HN.K	0.072428624	0.052174325	0.028908384	133	2.299774829	79	2.351949154	18	2.259072038
G_Thickness	0.074364845	2.57773208	1.436753996	111	58.2527027	69	60.83043478	15	56.78333333
G_S	0.078898807	-0.041525621	0.023507764	112	0.368482143	69	0.326956522	15	0.352
VEG.HN.16.Aug	0.079607525	-0.347637736	0.197245426	109	7.992642026	66	7.64500429	17	8.651703895
G_B	0.081276295	-12.17326605	6.946239124	112	64.41964286	69	52.24637681	15	83.26666667
X.5951..L.serine.2..11.174..s100	0.082562744	0.017668819	0.010125212	112	0.097521999	69	0.115190818	16	0.12515963
HN.CD	0.090470545	0.478296239	0.281239206	123	22.44287041	75	22.92116664	17	21.68499357
MGR.LN.6.Jul	0.091251375	-0.016570528	0.009759614	106	0.254106438	61	0.23753591	17	0.231102753
X.5962..L.lysine.2..17.643.	0.091641204	0.000322799	0.000190414	113	0.000974579	67	0.001297378	16	0.001754692
NGR.LN.6.Jul	0.099303674	-0.009215678	0.005562524	106	0.136572212	61	0.127356534	17	0.124316426
canopy.LN.12.Aug	0.107770146	-4.799707796	2.970031428	110	56.16822907	63	51.36852127	17	48.96304767
LN.FW	0.108910215	1.017444444	0.63209407	128	23.94567877	77	24.96312322	18	22.05279857
