Line	Stage	Treatment	Tissure	Plant1	Plant2	Plant3	Plant4	Plant5	Plant6	Plant7	Plant8
B73	1	HN	Shoot	0.286	0.329	0.406	0.42	0.31	0.282	0.389	0.382
B73	1	LN	Shoot	0.184	0.173	0.211	0.288	0.296	0.334	0.307	0.381
B73	1	HN	Root	0.162	0.124	0.13	0.196	0.165	0.104	0.139	0.216
B73	1	LN	Root	0.083	0.081	0.17	0.152	0.139	0.142	0.163	0.157
SD40	1	HN	Shoot	0.472	0.493	0.53	0.45	0.508	0.504	0.446	0.474
SD40	1	LN	Shoot	0.252	0.248	0.255	0.262	0.234	0.252	0.257	0.259
SD40	1	HN	Root	0.426	0.304	0.395	0.397	0.258	0.436	0.264	0.459
SD40	1	LN	Root	0.192	0.228	0.164	0.18	0.215	0.248	0.165	0.173
K55	2	HN	Shoot	0.288	0.304	0.287	0.339	0.378	0.294	0.383	0.387
K55	2	LN	Shoot	0.259	0.342	0.274	0.263	0.286	0.332	0.305	0.318
K55	2	HN	Root	0.304	0.274	0.202	0.232	0.224	0.233	0.274	0.211
K55	2	LN	Root	0.335	0.309	0.434	0.257	0.261	0.271	0.258	0.227
W153R	2	HN	Shoot	0.155	0.096	0.084	0.109	0.087	0.106	0.105	0.152
W153R	2	LN	Shoot	0.087	0.071	0.159	0.101	0.124	0.098	0.117	0.164
W153R	2	HN	Root	0.075	0.063	0.057	0.066	0.056	0.088	0.15	0.099
W153R	2	LN	Root	0.104	0.071	0.131	0.093	0.162	0.125	0.078	0.095
