Line	Stage	Treatment	Tissure	Plant1	Plant2	Plant3	Plant4	Plant5	Plant6	Plant7	Plant8
B73	1	HN	Shoot	4.877	5.725	6.499	5.068	3.784	5.050	5.052	4.854
B73	1	LN	Shoot	3.069	3.285	3.522	3.709	2.984	3.392	2.981	3.401
B73	1	HN	Root	2.549	3.528	2.610	2.431	2.692	2.526	2.084	2.293
B73	1	LN	Root	2.720	2.469	2.742	2.639	2.425	1.910	2.012	2.126
SD40	1	HN	Shoot	5.138	5.274	5.169	5.146	5.753	6.080	5.722	5.365
SD40	1	LN	Shoot	2.189	2.453	2.390	2.372	2.591	2.869	2.944	3.331
SD40	1	HN	Root	3.422	3.340	2.792	2.601	2.406	2.986	2.655	3.007
SD40	1	LN	Root	1.713	1.682	1.640	2.541	2.121	2.273	1.862	2.079
K55	2	HN	Shoot	3.916	4.504	3.723	4.565	4.601	3.944	5.121	5.412
K55	2	LN	Shoot	3.595	3.248	3.561	3.121	3.480	4.080	3.718	3.330
K55	2	HN	Root	2.976	3.013	2.351	3.512	3.021	1.933	2.658	3.010
K55	2	LN	Root	3.148	2.432	2.912	3.396	2.041	2.500	2.114	2.635
W153R	2	HN	Shoot	1.605	1.871	2.257	1.797	2.233	1.662	1.849	1.685
W153R	2	LN	Shoot	1.617	1.778	1.887	1.853	1.202	1.084	1.505	1.572
W153R	2	HN	Root	1.243	0.962	1.227	1.003	1.021	1.074	1.081	0.884
W153R	2	LN	Root	1.381	0.991	0.936	1.316	1.361	1.025	1.026	1.177
