Samples	Read number (Pairs)	Mappped reads (Pairs)	Gb	Mapping rate
HB73L2	33314139	31000070	9.9942417	93.05379317
HB73L4	25990119	24944342	7.7970357	95.97625159
HB73R3	26521772	25864473	7.9565316	97.52166258
HB73R4	23404375	22745831	7.0213125	97.18623548
HK55L1	28507663	19760100	8.5522989	69.31504698
HK55L4	28701052	27222311	8.6103156	94.84778119
HK55R3	25967998	24661189	7.7903994	94.96761745
HK55R4	25249295	24048681	7.5747885	95.2449603
HSDL1	26014412	24538012	7.8043236	94.32468433
HSDL2	26043461	24368031	7.8130383	93.56679206
HSDR1	21440511	20342756	6.4321533	94.8799961
HSDR2	27800863	26549303	8.3402589	95.49812536
HW153RL1	29798173	28066555	8.9394519	94.18884507
HW153RL3	27783912	26390429	8.3351736	94.98456877
HW153RR1	23174737	22172115	6.9524211	95.67364238
HW153RR3	24831222	23658428	7.4493666	95.27693804
LB73L1	23422601	22671951	7.0267803	96.7951894
LB73L4	23777227	22540225	7.1331681	94.79753463
LB73R3	21128765	20685170	6.3386295	97.90051619
LB73R4	25469557	24889413	7.6408671	97.72220616
LK55L3	25997333	24653927	7.7991999	94.83252378
LK55L4	28260337	26770409	8.4781011	94.72784773
LK55R1	26981526	25665319	8.0944578	95.1218215
LK55R4	27093921	25797020	8.1281763	95.21331372
LSDL3	25813435	24493056	7.7440305	94.88491555
LSDL4	20985987	19934523	6.2957961	94.98968526
LSDR2	29160392	27876731	8.7481176	95.59792955
LSDR4	30184091	28821093	9.0552273	95.48438282
LW153L2	28916785	27249214	8.6750355	94.23320746
LW153RL1	24611916	23259521	7.3835748	94.50512102
LW153RR3	29746924	28312989	8.9240772	95.17955201
LW153RR4	32076644	30751205	9.6229932	95.86790002
