Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Compa	Fd
Zm00001d014451	70.51484054	-2.313367887	0.410306265	-5.638149075	1.72E-08	8.36E-07	HN_Leaf (New vs. Old)	-4.970420422
Zm00001d014456	372.9178428	1.516428844	0.238232554	6.365330096	1.95E-10	1.51E-08	HN_Leaf (New vs. Old)	2.860820231
Zm00001d014458	1511.307109	-0.083701966	0.269372196	-0.31072979	0.756006049	0.891465636	HN_Leaf (New vs. Old)	-1.059733839
Zm00001d014451	63.28743865	-1.80797438	0.49466787	-3.654925844	0.000257256	0.004163533	LN_Leaf (New vs. Old)	-3.501503137
Zm00001d014456	619.5671186	1.060685093	0.270016097	3.928229104	8.56E-05	0.001721063	LN_Leaf (New vs. Old)	2.085921829
Zm00001d014458	2784.217506	-0.1512647	0.141105443	-1.071997625	0.283721099	0.578735595	LN_Leaf (New vs. Old)	-1.110542573
Zm00001d014451	50.42221609	0.5540969	0.395470469	1.401108157	0.161181733	0.414816232	HN_Root (New vs. Old)	1.468249249
Zm00001d014456	173.4756792	-1.157028611	0.225586082	-5.128989342	2.91E-07	1.07E-05	HN_Root (New vs. Old)	-2.229976661
Zm00001d014458	844.078407	-0.295015477	0.212430001	-1.388765594	0.164904041	0.420499376	HN_Root (New vs. Old)	-1.226898139
Zm00001d014451	91.16708078	0.088459229	0.379180448	0.233290586	0.815535768	0.917067963	LN_Root (New vs. Old)	1.063234062
Zm00001d014456	198.2077285	-0.372806268	0.180058479	-2.070473275	0.038408046	0.135118009	LN_Root (New vs. Old)	-1.294869106
Zm00001d014458	1215.466716	0.240850424	0.263739618	0.913212907	0.361130577	0.592040223	LN_Root (New vs. Old)	1.181689025
Zm00001d014451	24.91176593	-0.235944105	0.55446292	-0.42553631	0.670445758	0.860490481	Leaf_New (HN vs. LN)	-1.177677161
Zm00001d014456	655.3576312	0.11344533	0.179969316	0.63035929	0.528459539	0.759271542	Leaf_New (HN vs. LN)	1.081808644
Zm00001d014458	1908.274624	0.359892254	0.246280445	1.46131072	0.143930189	0.330599764	Leaf_New (HN vs. LN)	1.28333005
Zm00001d014451	115.9430316	-0.735661786	0.393803367	-1.8680942	0.061748942	0.18289296	Leaf_Old (HN vs. LN)	-1.665161129
Zm00001d014456	296.5367207	0.572417919	0.309963736	1.846725447	0.064786942	0.18903779	Leaf_Old (HN vs. LN)	1.487013679
Zm00001d014458	2252.859263	0.433863565	0.177794468	2.440253452	0.014676961	0.062261975	Leaf_Old (HN vs. LN)	1.35084633
Zm00001d014451	69.42448248	0.441312835	0.372908179	1.183435653	0.236636534	0.601490989	Root_New (HN vs. LN)	1.357839383
Zm00001d014456	126.4564475	0.479757867	0.222328727	2.157876194	0.030937459	0.183179806	Root_New (HN vs. LN)	1.394509601
Zm00001d014458	933.4888804	0.5913574	0.161164911	3.669268921	0.000243245	0.005257309	Root_New (HN vs. LN)	1.506663667
Zm00001d014451	69.1043348	0.906203929	0.389960265	2.323836578	0.020134254	0.168660135	Root_Old (HN vs. LN)	1.874107785
Zm00001d014456	254.6117996	-0.302865084	0.176327971	-1.717623598	0.085865293	0.43026237	Root_Old (HN vs. LN)	-1.233591803
Zm00001d014458	1115.086601	0.057431362	0.283504813	0.202576322	0.839466198	0.999897918	Root_Old (HN vs. LN)	1.04061136
Zm00001d014451	68.25438259	-0.500028839	0.623968027	-0.801369328	0.422917866	0.995004513	Leaf (P X T)	-1.414241832
Zm00001d014456	482.2070926	0.456852859	0.345118029	1.323758309	0.185583326	0.915038364	Leaf (P X T)	1.372544438
Zm00001d014458	2067.713343	0.071757949	0.298720386	0.240217785	0.810161427	0.998715211	Leaf (P X T)	1.050996561
Zm00001d014451	69.3033111	0.462530316	0.516966164	0.894701332	0.370946767	0.999980265	Root (P X T)	1.377956472
Zm00001d014456	184.9215427	-0.786238593	0.257035326	-3.058873682	0.002221708	0.30481602	Root (P X T)	-1.724572276
Zm00001d014458	1017.066014	-0.535544262	0.332848027	-1.608975322	0.107621738	0.946067642	Root (P X T)	-1.449488876
