,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d052713,259.416325264923,-6.99968779911048,0.58266254739392,-12.013279093393,3.02603692518087e-33,8.20782255586059e-29
Zm00001d012748,8885.1418692457,-0.935346373651011,0.0844241470275147,-11.0791332407086,1.58398513974323e-28,2.14820064651977e-24
Zm00001d020696,4545.70099128533,-2.32671047425148,0.21086135342195,-11.0343144274311,2.61034641211605e-28,2.36010120274119e-24
Zm00001d015201,414.283823282028,-2.90519331805872,0.269813711731178,-10.7674042932008,4.90638912556981e-27,3.32702246604889e-23
Zm00001d015700,580.863548682928,-1.35404692148074,0.127713254180465,-10.6022427364305,2.90918644736226e-26,1.57817546396508e-22
Zm00001d027756,11793.9958583494,-1.84271984041699,0.175328101361777,-10.5101225993126,7.75926132314868e-26,3.46431615106693e-22
Zm00001d030895,4579.84301105316,-1.51974081746552,0.14478202781864,-10.4967504624898,8.94050031612907e-26,3.46431615106693e-22
Zm00001d010662,1528.33705919342,-3.07611150560014,0.29615023839787,-10.3869965536461,2.84160605498588e-25,9.63446532942962e-22
Zm00001d052482,712.313808955566,-2.51702531553319,0.244022310960305,-10.3147343602636,6.04482369144647e-25,1.8217755311866e-21
Zm00001d033618,72.6623163525748,-3.74847338268863,0.366370845239679,-10.2313637435762,1.43484408275446e-24,3.8918710900632e-21
Zm00001d032311,1954.28612739686,-2.71658620030632,0.26894450855463,-10.100917155386,5.47279292151171e-24,1.34949122911894e-20
Zm00001d020340,1034.29456642822,-5.51338144554547,0.549088944049773,-10.0409624074414,1.00686939071706e-23,2.27586044615081e-20
Zm00001d016441,9052.56978704555,-1.90089031943769,0.191446376793972,-9.92910052031628,3.11048668168225e-23,6.48991082722688e-20
Zm00001d010061,4064.32647013779,-2.50609653974942,0.25379610546792,-9.87444836920948,5.37277575584816e-23,1.0409369257259e-19
Zm00001d037480,10251.8641306552,-1.56038621014643,0.158445714856764,-9.848080849375,6.98652472032863e-23,1.26334997676129e-19
Zm00001d043652,1682.61805776728,-0.895056940435944,0.0918457334979155,-9.74522066891934,1.93358315018728e-22,3.27790683535498e-19
Zm00001d033558,1483.56078402713,-1.11349163358125,0.114715175838018,-9.70657653136964,2.82672060494531e-22,4.36066248977594e-19
Zm00001d018791,226.557990630417,1.70443525366122,0.175639209913034,9.70418424510769,2.89381819849458e-22,4.36066248977594e-19
Zm00001d029558,7235.6371700645,-1.6196418532304,0.167352804374751,-9.6780084402025,3.73928865594085e-22,5.33812976335471e-19
Zm00001d011603,527.309711164564,1.96035672230177,0.203262116639314,9.64447657396186,5.18751604443472e-22,7.03530925946236e-19
Zm00001d015135,718.784003341222,0.91505375986583,0.0959848476638668,9.53331470682012,1.52339723299303e-21,1.96764888322395e-18
Zm00001d025984,9142.02567509923,-1.87286518471742,0.197853467014287,-9.46592047629967,2.90986752597235e-21,3.58760212611245e-18
Zm00001d023825,1243.50935858102,1.54272284292735,0.164430700414222,9.38220684483515,6.46060870869974e-21,7.61902393977268e-18
Zm00001d045965,5210.11182310943,-3.66946988888916,0.393873382493767,-9.316369300348,1.20389485405145e-20,1.36060183422048e-17
Zm00001d018811,323.492391035288,-2.04284642993907,0.222057766590181,-9.19961711453779,3.59227470330329e-20,3.89747436209594e-17
Zm00001d046952,5528.77271728712,1.55433175705419,0.169440541145394,9.17331676673797,4.58684167605923e-20,4.78513437005503e-17
Zm00001d016237,2404.97770347815,-5.07153548267177,0.562760139314251,-9.0118953500361,2.02525542375178e-19,2.03455659680901e-16
Zm00001d015133,2216.33804055946,5.59448223833792,0.621634316042335,8.99963546728801,2.26468374684063e-19,2.19383149818947e-16
Zm00001d052139,199.298356871274,-4.84422103619669,0.539286826698386,-8.98264299510875,2.64339114631896e-19,2.47239108457778e-16
Zm00001d025278,3881.57835203357,-1.16285864652379,0.129614200096101,-8.9716917256103,2.91994666018179e-19,2.6400211070257e-16
Zm00001d042853,348.476571203174,1.47171938415866,0.16671075594436,8.82798098912016,1.06582167314178e-18,9.32559582654759e-16
Zm00001d014163,174.731216592985,-3.64395913697015,0.413041278798949,-8.82226383659796,1.12168583684687e-18,9.50768957457325e-16
Zm00001d009660,1100.94825101078,-1.60873230247243,0.182808714019422,-8.80008543958971,1.36712029053052e-18,1.1236900230409e-15
Zm00001d004323,236.849447043299,-3.68989789709475,0.420241544730021,-8.78042150607762,1.62863143274998e-18,1.29926467593855e-15
Zm00001d026542,1813.64483624549,-3.72562096760614,0.425102374445183,-8.7640558876402,1.88348384239783e-18,1.45964616403425e-15
Zm00001d052123,222.438874760169,-1.82103624458505,0.208117776555769,-8.75002738700254,2.13300975276996e-18,1.60710434817035e-15
Zm00001d012527,2720.06937625388,-1.99841474185391,0.229597674311679,-8.70398512461003,3.20429063305563e-18,2.3490048413784e-15
Zm00001d005879,2226.2488579333,-1.94331695720535,0.224209631133568,-8.66741070568757,4.4205808089988e-18,3.15536404903378e-15
Zm00001d038352,3494.87625495858,-3.71005890088497,0.430451273806592,-8.61899854094044,6.75422159686713e-18,4.69747452803651e-15
Zm00001d035080,58.5777848939673,-5.6871689956061,0.661769130437804,-8.59388680134363,8.40758543731148e-18,5.70118368504092e-15
Zm00001d031621,4821.17247091509,-2.19040430441732,0.255291681654894,-8.58000656432799,9.48677269743519e-18,6.27607860110322e-15
Zm00001d052206,2008.9001968901,-1.42288272218953,0.166160175129009,-8.56331982729786,1.09663182270604e-17,7.08215275216157e-15
