,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d028312,37.5951069200903,-2.22761865923464,0.380748724154223,-5.85062672024172,4.89724184766363e-09,6.41661113090127e-05
Zm00001d018235,48.3385368579787,2.4485543978407,0.417722045591241,5.86168344161732,4.58197909722449e-09,6.41661113090127e-05
Zm00001d003184,96.6506415203305,2.36664651488365,0.432509543041364,5.47189432686647,4.4525031709187e-08,0.000388926151979749
Zm00001d034577,281.021303135568,0.900010550639243,0.16980109889773,5.30038119000226,1.15561147549941e-07,0.000757069967886553
Zm00001d047309,795.398490219026,-0.957160353793072,0.187156010350645,-5.11423785963268,3.15010213376377e-07,0.00165096852830559
Zm00001d014789,806.627024772228,-0.983328015381665,0.196728991936887,-4.99838892936089,5.78112908166758e-07,0.00179819818797549
Zm00001d017386,516.683826365183,-1.77548746321231,0.350854806138697,-5.06046214031465,4.18241503566248e-07,0.00179819818797549
Zm00001d017401,751.72621773749,1.15760929556169,0.231663286365305,4.99694756870659,5.82448962884199e-07,0.00179819818797549
Zm00001d018811,911.497228156113,-2.18070399578907,0.437397371209073,-4.98563580700329,6.17583808119803e-07,0.00179819818797549
Zm00001d010131,721.246783908212,-2.02362830296087,0.409002091271743,-4.94772116364647,7.50873666787587e-07,0.00196766444381687
Zm00001d003659,1419.11164780248,0.635283045739401,0.12912200125258,4.9200216816397,8.65346259612762e-07,0.00206149079392295
Zm00001d051306,1084.23423104811,0.904693142006142,0.186890170116062,4.84077435129045,1.29334164995289e-06,0.00269783210356524
Zm00001d013071,174.347108162724,2.1731936792338,0.44956700331875,4.83397060547385,1.33836356979005e-06,0.00269783210356524
Zm00001d044065,90.7584909509371,1.9128929305401,0.40712116037798,4.69858390255158,2.61971565754158e-06,0.00490354634327694
Zm00001d032822,5881.9921374986,1.31714202817342,0.282351934555254,4.66489464734186,3.08775194611909e-06,0.00539430264987005
Zm00001d043075,3542.25796541256,-0.959463001313436,0.209179207073028,-4.58679911229642,4.50093386275769e-06,0.00737168574209783
Zm00001d000434,2968.77869104275,-1.47058844450753,0.322267750288661,-4.563250412709,5.03676789981234e-06,0.00776402957732837
Zm00001d017326,36.6509597106043,-2.74142932069168,0.607532711113566,-4.51239788499097,6.40987975171299e-06,0.00933171660520216
Zm00001d028007,458.127642686917,-1.09512098002208,0.246060844435001,-4.45061050870028,8.56265173835364e-06,0.0118096994107135
Zm00001d027978,64.8982569624962,-3.32332820510126,0.768317076329423,-4.32546445665143,1.52210811180549e-05,0.0199434215349314
Zm00001d029072,677.514777948195,0.673157719734494,0.157524678442882,4.27334768360488,1.92559840637793e-05,0.0209626166351153
Zm00001d043390,482.659358251987,-1.40121948742384,0.32878311202874,-4.26183534421122,2.02754814637917e-05,0.0209626166351153
Zm00001d043413,723.41722416987,0.830108053801146,0.195801765069135,4.23953304766199,2.23985218768642e-05,0.0209626166351153
