Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d000006	329.401554691384	-1.45253617203969	0.385818734838289	-3.76481503068665	0.000166672415419548	0.00409866055833165	100286113	LOC100286113	GRMZM2G087111
Zm00001d000008	88.613475900198	-3.22634011865432	0.651944078902749	-4.94879886643712	7.46728622456161e-07	4.01074597138632e-05	103641119	LOC103641119	GRMZM2G012530
Zm00001d000107	646.334786605852	1.46436768047764	0.380652584144401	3.84699261603366	0.000119576571769534	0.0031037272083032	100285021	LOC100285021	GRMZM2G120938
Zm00001d000193	93.8995488620473	2.32551216377301	0.441696592245797	5.26495382712597	1.40224595325656e-07	9.1429132779161e-06	100276043	LOC100276043	GRMZM2G140170
Zm00001d000194	476.688540802496	1.68930006825428	0.425400772335657	3.97107898741979	7.15478508368748e-05	0.00200274912910154	103630242	LOC103630242	GRMZM2G133032
Zm00001d000294	3747.23758002805	-1.57396399233852	0.263525455304679	-5.97272089149321	2.3332889916959e-09	2.36149741084924e-07	100285862	LOC100285862	GRMZM2G450498
Zm00001d000390	104.696535728111	1.20304808771062	0.24082663640616	4.9954942927561	5.86852595540365e-07	3.22876060881072e-05	100285838	LOC100285838	GRMZM2G312078
Zm00001d001936	642.663169882506	-2.03499246595479	0.300217850202504	-6.77838597732325	1.21525829616003e-11	2.33777773227266e-09	103645799	LOC103645799	GRMZM2G035370
Zm00001d001943	8366.59007525864	-2.03866483931914	0.290376615803509	-7.02076106809736	2.20662929390876e-12	4.93126334260262e-10	100279283	LOC100279283	GRMZM2G018716
Zm00001d001947	991.091324504555	-1.13850949037328	0.272523399357579	-4.17765774629663	2.94526391599714e-05	0.000956734592305466	100217038	LOC100217038	GRMZM2G047474
Zm00001d002026	327.737046997359	1.04315931929546	0.16205078284147	6.43723714877674	1.21667764530037e-10	1.87506616199587e-08	100216690	LOC100216690	GRMZM2G086577
Zm00001d002038	50.7418934934285	1.96523330462688	0.45232665441684	4.34472142076295	1.39452520652825e-05	0.000507719485931173	100383552	LOC100383552	GRMZM2G395114|pco089998
Zm00001d002069	571.339920626232	1.38910630659105	0.316737070423799	4.38567643734407	1.15625890210329e-05	0.000427863116789217	100303866	LOC100303866	GRMZM2G055752
Zm00001d002075	544.069742161314	1.01825562875158	0.165347689534653	6.15826947214869	7.35441396466678e-10	8.78771473029171e-08	100280414	LOC100280414	EREB197|GRMZM2G174784
Zm00001d002143	3250.51993734964	1.20067227539576	0.159086954730581	7.54727046871401	4.44474924729022e-14	1.52606808333544e-11	100502433	LOC100502433	GRMZM2G131961
Zm00001d002168	452.423557125869	1.02324490168371	0.265554945487137	3.85323233128517	0.000116568684676477	0.0030402009645815	100279279	LOC100279279	GRMZM2G115705
Zm00001d002285	621.421530445128	-1.32390704615197	0.278419646582626	-4.75507767645657	1.98370131200569e-06	9.18189665304476e-05	100282983	LOC100282983	GRMZM2G156977|NAC22
