Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d000011	39.6786053105983	5.16559340225367	1.52845770809173	3.37961160122832	0.000725883303241569	0.00864806820705943	103641118	LOC103641118	-
Zm00001d000017	141.289753180397	3.31998350175406	0.830958658324978	3.99536543544342	6.45945384468625e-05	0.00116779921284867	103641113	LOC103641113	GRMZM2G071390|si707056a07
Zm00001d000066	62.7207693467886	-2.67879363265743	0.413477890606475	-6.47868651145596	9.25245110506598e-11	7.38498165197168e-09	103637899	LOC103637899	GRMZM2G363310
Zm00001d000086	18.5201673333816	4.03383936279473	0.960486569723892	4.19978736814021	2.67165755759923e-05	0.000556027149522264	109943278	LOC109943278	GRMZM2G402779
Zm00001d000092	44.1111452056852	6.96468690026091	1.35044272999271	5.15733599476558	2.50488083585562e-07	9.37249091972483e-06	100278164	LOC100278164	-
Zm00001d000093	19.8098002410558	4.00504842987721	0.96638797306418	4.14434837923136	3.40781340368585e-05	0.000684092896709138	103649522	LOC103649522	-
Zm00001d000141	26.7668810862501	-2.25459897166137	0.557189793347714	-4.04637521824523	5.20168321678818e-05	0.000978731755605205	100383732	LOC100383732	GRMZM2G017008
Zm00001d000193	70.1494534674821	2.09526642316036	0.5558034400948	3.76979750755588	0.000163380049468345	0.00251575098234711	100276043	LOC100276043	GRMZM2G140170
Zm00001d000204	2015.3026863188	1.09185120507359	0.325304898883831	3.35639336763723	0.00078966165226208	0.00923199682354393	100281787	sfp5	GRMZM2G444801
Zm00001d000238	59.3451969247639	1.3357779875857	0.363201999545868	3.67778258174762	0.000235270365759437	0.00341591627808731	100101543	LOC100101543	GRF11|GRMZM2G067743|TIDP3466
Zm00001d000310	783.125133711149	1.62654137277321	0.233329946535091	6.97099278051131	3.14712123893415e-12	3.27945331602961e-10	100275527	LOC100275527	GRMZM2G138067
Zm00001d000407	79.4137729650749	-1.58029803753122	0.444291652631517	-3.55689337886768	0.000375266373762489	0.00503838194593973	100193569	LOC100193569	GRMZM2G171507
Zm00001d000434	2611.35318301981	1.08638860641519	0.242201789204086	4.48546895539144	7.27537394849113e-06	0.00017985275746966	100280431	LOC100280431	GRMZM2G119970
Zm00001d001818	333.818541911904	1.03262420426263	0.215749814698442	4.78621131473948	1.69959110837354e-06	5.15216452054528e-05	103645757	LOC103645757	-
Zm00001d001861	84.5858137307	1.07864480041467	0.25701120167039	4.19687855394726	2.70618953072821e-05	0.00056165597514996	100281311	LOC100281311	GRMZM2G040513
Zm00001d001902	112.027805493918	-1.15001047710169	0.309642382861667	-3.71399569552938	0.000204012264923099	0.00303249731679402	103645786	LOC103645786	GRMZM2G064949
Zm00001d001936	544.743795838941	-2.0648393923958	0.420792612027405	-4.90702387203824	9.24687820504707e-07	3.06977944481933e-05	103645799	LOC103645799	GRMZM2G035370
Zm00001d001976	409.663598277631	2.9029021870822	0.504181594284286	5.75765204440482	8.52919361073004e-09	4.42854030193113e-07	103645813	LOC103645813	GRMZM2G150468
