Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d000066	84.4348421187816	-3.80918377358836	0.424329653784815	-8.97694455151151	2.78390107315363e-19	8.43462156325266e-17	103637899	LOC103637899	GRMZM2G363310
Zm00001d000085	105.394434519461	1.0686967960987	0.283390824854077	3.77110584525447	0.000162525713412024	0.0028819930942798	103649516	LOC103649516	GRMZM2G018923
Zm00001d000086	23.7628481975392	5.02672324327921	0.888494717573313	5.65757245806521	1.53529007254458e-08	9.01247257793513e-07	109943278	LOC109943278	GRMZM2G402779
Zm00001d000092	20.8742685694968	5.88679737586415	0.939514871331852	6.26578413550714	3.70953921079587e-10	3.07422606889986e-08	100278164	LOC100278164	-
Zm00001d000093	17.7911371511011	6.94970826181772	1.38933930249506	5.00216775652788	5.6689226276135e-07	2.38052508015299e-05	103649522	LOC103649522	-
Zm00001d000137	55.7487055815005	1.04653716736498	0.269936807317769	3.87697097614775	0.000105764969275791	0.00203145162868709	100383014	LOC100383014	GRMZM2G420723
Zm00001d000379	851.242231601507	1.04255056692611	0.155154220478908	6.7194470360401	1.82415472522404e-11	1.82915329867038e-09	100217261	LOC100217261	GRMZM2G171060
Zm00001d000447	80.0733534550678	-5.75095088819919	0.724681237909385	-7.9358352160323	2.0908346087636e-15	3.57051192552315e-13	100277867	LOC100277867	GRMZM2G120940
Zm00001d001785	15.4695641400815	-1.98771277081335	0.514749956096577	-3.86151129741995	0.000112687800515522	0.00213674573023274	100381735	LOC100381735	GRMZM2G386643|pco064147
Zm00001d001852	29.3724306900756	-2.87235889876258	0.810369055757425	-3.5445071333306	0.000393347860754427	0.00588288889197319	100286242	LOC100286242	GRMZM2G068202|umc2186
Zm00001d001900	81.8166603357309	-1.60712741171069	0.42257292853811	-3.80319538516236	0.000142841607034081	0.00259667610412859	100283896	LOC100283896	GRMZM2G010435
Zm00001d001902	99.5286405080106	-1.36200226891568	0.26654333405702	-5.10987181027877	3.22377470078872e-07	1.4418460276845e-05	103645786	LOC103645786	GRMZM2G064949
Zm00001d001996	11.5702308283578	2.2476468052812	0.644178554662805	3.48916738847001	0.000484527634625393	0.00690661614928519	100275046	LOC100275046	GRMZM2G039477
Zm00001d002066	355.72454831633	2.04205552723271	0.434504283269669	4.69973624164559	2.6049771806238e-06	9.05060937342006e-05	100286337	LOC100286337	GRMZM2G096546|GRMZM5G810191|pco072994a
Zm00001d002074	21.6027163404768	-4.99045683499159	1.20345890606637	-4.14676131427155	3.37211273530869e-05	0.00078937335747923	100278436	LOC100278436	GRMZM2G474039
Zm00001d002159	143.87144367559	-2.20691927887999	0.582680178927916	-3.78753106539602	0.000152151666348005	0.00274116208611748	100282066	LOC100282066	GRMZM2G106413|umc2403
Zm00001d002191	183.624506989068	2.09153067091862	0.252578341810904	8.28072057138004	1.22432168425935e-16	2.37915255843969e-14	100382090	LOC100382090	GRMZM2G121070
Zm00001d002199	68.6877896654534	-4.10232033466537	1.05209177741702	-3.89920387433968	9.65094890000247e-05	0.00188581683186803	103645899	LOC103645899	GRMZM2G454511
Zm00001d002232	15.4021038150669	3.24008749118886	0.80185358329161	4.04074703749317	5.32812061758557e-05	0.00115219074936077	103645909	LOC103645909	GRMZM2G301389
Zm00001d002274	36.4709108996922	2.48901056622565	0.467996532489283	5.31843805121067	1.04661842475614e-07	5.17378374637784e-06	100191495	LOC100191495	AY112075|GRMZM2G084046
Zm00001d002283	522.266570719051	-1.26109234419328	0.288596778357709	-4.36973812171315	1.24395626680843e-05	0.000344527937691146	100273687	LOC100273687	GRMZM2G165060
Zm00001d002285	57.5253230619918	-3.16289905191306	0.813313178067039	-3.88890668097886	0.00010069682451566	0.00195000165754449	100282983	LOC100282983	GRMZM2G156977|NAC22
Zm00001d002346	88.3916450544821	-3.20671437185784	0.39925238863191	-8.03179758760131	9.60547526049441e-16	1.67070047169723e-13	100191885	LOC100191885	GRMZM2G046070|cad1
Zm00001d002347	557.352816400737	1.50152923263348	0.445911605264067	3.36732485745527	0.000759012209784356	0.00987765178797385	103645954	LOC103645954	GRMZM2G345700|si707071g02a
Zm00001d002356	269.472832835824	1.31812462241078	0.288510202911406	4.56872793096867	4.90693248797701e-06	0.000156405697639964	100273802	LOC100273802	GRMZM2G098214
Zm00001d002366	3336.88718916941	-1.43911292462684	0.150439087119065	-9.5660838694658	1.11031882926015e-21	5.04604091162309e-19	100192795	LOC100192795	GRMZM2G177263|pco135861(187)
