Gene	HN_B73L2	HN_B73L4	HN_B73R3	HN_B73R4	HN_K55L1	HN_K55L4	HN_K55R3	HN_K55R4	HN_SDL1	HN_SDL2	HN_SDR1	HN_SDR2	HN_W153RL1	HN_W153RL3	HN_W153RR1	HN_W153RR3	LN_B73L1	LN_B73L4	LN_B73R3	LN_B73R4	LN_K55L3	LN_K55L4	LN_K55R1	LN_K55R4	LN_SDL3	LN_SDL4	LN_SDR2	LN_SDR4	LN_W153L2	LN_W153RL1	LN_W153RR3	LN_W153RR4	GeneID	Symbol	Synonyms
Zm00001d002160	5.04101591089551	7.51351515554951	62.5661610308636	48.3659818559217	0	0	45.9134664371531	33.8426999948841	2.65156529803859	1.78786858530919	143.124290120276	153.378562290997	7.7539068637399	0.329620322898699	32.6718634199963	27.7547128144187	5.37427527175792	3.521870917007	45.4610117668669	75.6875700481183	0.709819233292255	0	26.1827914956476	109.688818741352	1.99437823394266	8.39540244917551	60.6228800107818	124.55787406033	35.4846140441766	12.3592475647491	38.3802693945356	46.310239215888	100285556	LOC100285556	GRMZM2G106445
Zm00001d002937	3.97774280700074	3.98038633645957	8.37161664994844	9.36723073134285	0.0205084072392536	0	0.24511390880932	0.283774192503686	0	0	0.206025724182378	0.0903900727241499	0.724827394556661	0.0747878043551669	4.01646773227335	5.27610597902985	6.41042006004642	7.80434756987181	9.13995551699404	9.23889172615334	0.0966308536078531	0.0973213559591695	0.328298159620349	0.139555396498068	0.00822738156095522	0.0401018781296309	0.186262525243211	0.118334363111503	1.24426568726334	2.73517258970103	6.31074888523766	5.38340315814944	100277073	LOC100277073	-
Zm00001d002984	0.0484713068355337	2.05647194776221	9.4824805387733	2.34388988994082	0	0	2.36838695648663	1.84635131661052	0	0.0618877587222411	8.90577008591774	4.53930060726353	0	0.171149013812786	15.147863949271	3.76506239322415	2.6576086508693	3.65732749073804	5.17264717219158	4.15284139048309	3.0713332209761	0.28553356408139	1.25216285239813	1.24198338977447	0.941402313224684	2.60019549539242	2.34986524080254	1.06197505356477	0.781654085588507	0.131636956310937	9.84308684098413	14.8925021410067	100273051	LOC100273051	GRMZM2G035755
Zm00001d003128	2.11190998610759	1.99031705973677	9.38096092652371	7.20275270419984	0	0	0	0	0.540670736553182	0.622262074027533	0.296430241173864	0.332636644578944	0	0	0	0	3.86650914850106	3.94146881922854	7.16987636752832	7.83381236102274	0	0	0.0363350827704814	0	1.60626769693962	1.16506921323879	0.266409140672381	0.307391997926365	0	0	0	0	109943985	LOC109943985	-
Zm00001d003267	4.11426029001318	4.45091703795474	7.40170995799481	5.16073661658417	0	0	0	0	0	0	0	0	3.16420257997942	0.311499071277434	7.35743040970011	9.59415827766526	5.83734320850476	8.20296468136543	6.18388696386849	7.12385741962582	0	0	0.0591946478367963	0	0	0	0	0	5.39035163474679	4.6555781950025	7.89615936586591	9.07458019636059	100272430	LOC100272430	GRMZM5G828887|pco090462(416)
Zm00001d003355	2.15112316887351	2.07420015420844	0	0	0	0	0.125726530811677	0	0.246869872576007	0	0	0	0	0	0	0	4.95896028000569	23.0895071757226	0	0	1.85868613890105	0.69118814477633	0	0	0.759614280326125	0.771356168764991	0	0.107113001092309	0	0	0	0	103646335	LOC103646335	GRMZM2G119967
Zm00001d003482	7.76700005836346	7.38436474337121	7.14621721762626	29.1268354211466	0	0	0.31704951248162	0	0.311270708900183	0.629640675695844	25.5068804177965	9.79184850312021	1.09228948863119	0	9.58848165586849	10.0716830211547	26.3623223346014	3.96210478163287	6.11500022407584	4.03866480493912	0	0	0.606637903646298	0	2.07517814263006	6.0299930062585	4.16988220182857	12.6952191729406	27.8336824389994	0.334815736703905	0.957648862291043	0.75505824808513	100275279	LOC100275279	GRMZM2G171296|umc2249
Zm00001d003516	2.34530909639502	2.03371961244131	3.96826547988125	3.91764453032966	0.0213828895572825	0	0.0170377074464422	0.0174043751243499	2.74325493918572	4.43249382212985	2.94597530840222	3.69123595755089	2.96423888094655	0.24952566499808	2.97919094439346	3.54908395107336	5.75747939556609	5.23960585608459	5.09843122619068	4.37401044474535	0.0335837370891779	0.015610947195104	0.0488995506443862	0.0161673405210962	9.12720336204942	7.37978794359553	4.49658792574131	1.84344478048118	5.63190117441799	4.7140178256489	3.07304277772567	3.31367073828638	100192906	LOC100192906	GRMZM2G345238
Zm00001d003646	3.75072608861813	3.26778305736325	1.14254316984889	0.887013855923697	0.0272647767542709	0	0	0	2.06885288447758	3.10631070194335	0.965170162691526	1.06148868297768	4.52806600823325	0.218737617454871	1.69627052928048	2.285299916142	4.53904778414112	3.82439508217195	0.93958024567817	0.702470381242562	0	0	0	0	3.54386086293161	3.70526718922544	1.18098351932622	1.38810790889238	5.54637299275403	4.49657201905025	1.64983512323201	2.01773758251945	103646437	LOC103646437	GRMZM2G111603
Zm00001d004088	3.85077604304518	4.67410535839417	2.49419155460875	1.59607740124542	0	0	0	0	0.707084079476958	0.715147434123674	0.432399668037089	0.539480873859027	0	0	0	0	5.37427527175792	6.5545930955408	1.73635808831783	2.07302785096828	0	0	0	0	3.03689412895815	2.09885061229388	0.236808125042116	1.45726576794721	0	0	0	0	100192682	LOC100192682	GRMZM2G078116
