Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zm00001d002490	2362.84572942141	-2.74800615946436	0.114180909968956	-24.0671243574036	5.52507767944645e-128	1.4912184656826e-123
Zm00001d002126	637.028427018136	-3.48994158158828	0.22380507391003	-15.5936660443688	8.03850058581167e-55	7.23197102703524e-51
Zm00001d030557	10145.2984774308	-3.30757283486243	0.220292254003949	-15.0144763365267	5.90261814439454e-51	3.18623327434417e-47
Zm00001d028303	2100.9116271776	4.10994628014488	0.312424865415149	13.1549909597739	1.59302561979844e-39	4.29957614783598e-36
Zm00001d011051	810.744559753313	-3.25578226867884	0.255392081836506	-12.7481723210318	3.19139801199511e-37	7.17798602864567e-34
Zm00001d023869	500.950354632757	-4.78652672396752	0.382819819086874	-12.503340959161	7.15786077090498e-36	1.48608201697481e-32
Zm00001d033591	5404.76534581167	-2.00812341544779	0.161450236328763	-12.438033298128	1.624547151969e-35	2.92310184210956e-32
Zm00001d023929	14274.8752159512	-2.84753788625936	0.234683295964771	-12.1335345771128	7.01546706609441e-34	1.11380856537581e-30
Zm00001d046919	842.643682185961	-3.63474116488411	0.300107181701235	-12.1114767873253	9.18258345723119e-34	1.37687737505928e-30
Zm00001d013507	643.974812875056	-3.17840888761663	0.262543891437287	-12.1062001108331	9.79265906793972e-34	1.39107299075628e-30
Zm00001d029601	164.845574312971	-4.56353467637117	0.378904595550338	-12.0440203944818	2.08539015848871e-33	2.81423401888051e-30
Zm00001d021310	18546.4640268904	-2.28515952079624	0.19069170123388	-11.983528942319	4.3347084461715e-33	5.57113242676994e-30
Zm00001d021620	42139.1674706023	-2.1814951089713	0.183796110097401	-11.8691038010285	1.71292717979977e-32	2.1014502083089e-29
Zm00001d040686	3097.80603061775	-2.06979391456691	0.177005628267167	-11.6933791022895	1.37792954000779e-31	1.54959659520042e-28
Zm00001d042663	177.681909860396	-3.75918065202604	0.324215402525198	-11.594701000468	4.38393963687333e-31	4.55086656920043e-28
Zm00001d018161	1138.29155851412	-4.535407813361	0.397824565035278	-11.4005222703098	4.15618233920687e-30	4.00626290482833e-27
Zm00001d039119	171.552816214861	2.67075223642778	0.235919833224785	11.3205922533994	1.03768485518978e-29	9.65762560054215e-27
Zm00001d053740	159.143710254899	2.56275088294986	0.226448899982368	11.3171266592569	1.07952408233784e-29	9.71211832743278e-27
Zm00001d014488	6649.29142044757	-2.40781021222463	0.216515836979822	-11.1207117493628	9.94752140097126e-29	8.13586674582468e-26
Zm00001d004022	352.293459384811	2.27749824239464	0.20755142309791	10.97317574797	5.14335383722269e-28	3.85608666851779e-25
Zm00001d013202	886.010349442011	-3.71269380972247	0.33984810405144	-10.9245682570014	8.79576988286562e-28	6.08712382406521e-25
Zm00001d048703	8436.35905277732	-2.27839411669992	0.209919951504514	-10.8536330175883	1.91652877419264e-27	1.29317779038649e-24
Zm00001d046934	74.837816557798	-4.37220309929682	0.403597395132756	-10.8330805699543	2.39944530743856e-27	1.57953728896992e-24
Zm00001d009709	261.425593165103	-2.98463753465555	0.280521229225462	-10.6396137750299	1.94935687785717e-26	1.19575323030375e-23
Zm00001d037532	4716.40066479837	-2.81829172644063	0.267323199094863	-10.5426380350944	5.49358880372628e-26	3.15472259175686e-23
Zm00001d049995	7379.13638138245	-3.19792438769167	0.303576990197727	-10.5341461670358	6.01264216671017e-26	3.38085858498974e-23
Zm00001d053939	1107.90854966674	-2.63399803237401	0.253254223501089	-10.4006085109285	2.46354896699525e-25	1.25455069092834e-22
Zm00001d037708	626.713749763625	-6.15896864845797	0.592119303349233	-10.401567072076	2.43888842369983e-25	1.25455069092834e-22
Zm00001d035761	6151.74941649943	-2.42937318537448	0.23386282489254	-10.3880263418984	2.81109781356186e-25	1.40502833311175e-22
Zm00001d033347	854.10520436078	-6.44436748563148	0.623672962305845	-10.3329274718041	5.00105595812012e-25	2.41033036267254e-22
Zm00001d015702	594.328655764303	-3.1979256882449	0.310914196311868	-10.2855569999035	8.18673408571021e-25	3.80965436160894e-22
Zm00001d043508	606.455365537909	-2.44082197730561	0.237959266028089	-10.2573100768326	1.09720559264159e-24	4.85468507301581e-22
Zm00001d044138	942.677006111179	-3.93436896136036	0.383541076775419	-10.2580119825447	1.08926099686128e-24	4.85468507301581e-22
Zm00001d043780	1791.57831821743	-2.58336047971952	0.252356390688704	-10.2369528771167	1.35434771892162e-24	5.80219760852296e-22
Zm00001d046962	161.067990224158	-2.68596857115074	0.262350031229211	-10.2381103541933	1.33824525037963e-24	5.80219760852296e-22
Zm00001d037229	1199.47353934337	3.14951813543965	0.312640558521381	10.0739269093401	7.2042889461387e-24	2.90214565158632e-21
Zm00001d023833	771.318178893742	-2.85940680314354	0.284029647611335	-10.0672828600497	7.70780510696024e-24	3.0593185270126e-21
Zm00001d031729	501.460071778514	-2.34273549515793	0.235058448914752	-9.96660833071167	2.13391673482077e-23	7.95968689389717e-21
Zm00001d004342	7440.6108820528	-6.61485415181805	0.665197178205787	-9.94420055968977	2.67311667906841e-23	9.52767971484331e-21
Zm00001d053936	1139.47198108809	-2.66246916537588	0.268952761722653	-9.89939329242306	4.1880797452361e-23	1.46800353667432e-20
Zm00001d018362	9999.36194687058	-2.43813979749236	0.24643960722488	-9.89345756937329	4.44408008867992e-23	1.53776566145476e-20
Zm00001d032420	4596.78051530714	-2.37078560563667	0.241518329828666	-9.81617257505263	9.59163005596844e-23	3.11901319530829e-20
Zm00001d043465	4215.88061066603	-2.26143342337115	0.231161285865198	-9.78292457107159	1.33301961864739e-22	4.28311898896344e-20
Zm00001d023873	386.044999417958	-7.94247648232788	0.813730150183959	-9.76057785315235	1.6620547347806e-22	5.21987374496691e-20
Zm00001d043972	4969.49242148545	-2.30889582561636	0.236554945540312	-9.76050540961064	1.6632424678294e-22	5.21987374496691e-20
Zm00001d016072	3973.99084417551	-2.17455827586098	0.223583402998025	-9.72593782321219	2.33741453836735e-22	7.16895663528805e-20
Zm00001d032311	874.947626519867	-3.63588871430564	0.374038824936411	-9.72061848104609	2.46280989578993e-22	7.46867854914272e-20
Zm00001d033790	1358.72145681391	-2.78215716316096	0.28629304297295	-9.71786507373785	2.53030931672177e-22	7.58811649536895e-20
Zm00001d012485	1352.017888842	-5.0449768509258	0.522386839867065	-9.65754966608582	4.56655663799221e-22	1.35441058966384e-19
Zm00001d018432	694.759910196911	-2.38293857182081	0.24749369217177	-9.6282800216458	6.07375763419112e-22	1.74394381432786e-19
Zm00001d028369	147.569574669573	-2.30054229212753	0.239942320988417	-9.58789713565615	8.98985158462735e-22	2.55406415020097e-19
Zm00001d027488	130055.51680119	-2.11173744874128	0.220703458209716	-9.56821187067523	1.08770556524112e-21	3.03454552087519e-19
Zm00001d034192	4117.55307455802	-2.0412413462159	0.213341829191947	-9.56793777360636	1.09059249916596e-21	3.03454552087519e-19
Zm00001d049187	588.132500128981	-3.93333339064131	0.41352382210114	-9.51174558857529	1.87489582293481e-21	5.01024141198124e-19
Zm00001d045451	23034.3671209343	-2.09706647257015	0.221058584223092	-9.48647382294731	2.38981716776821e-21	6.3236436625553e-19
Zm00001d034808	3197.34951247649	-2.34495257253522	0.248215718720481	-9.44723639833587	3.47894427842196e-21	9.02852943025084e-19
Zm00001d020344	419.395967736644	-2.05636622488739	0.21947504530142	-9.36947625213265	7.28933339024957e-21	1.82165840928552e-18
Zm00001d002820	160.912309229848	-4.42566759805593	0.475104602721043	-9.31514359723948	1.21787686283011e-20	2.93486576140934e-18
Zm00001d009638	2905.28523702743	-2.18757898475004	0.234966378292161	-9.31017876110758	1.27617380982271e-20	3.04813549797477e-18
Zm00001d051174	967.583325091492	-2.75324029004704	0.296953532525157	-9.27161992866272	1.83339929274384e-20	4.26581438889279e-18
Zm00001d017261	439.371573181492	-2.36937938298651	0.256478090768131	-9.23813560795937	2.50829481215868e-20	5.64157308168022e-18
Zm00001d011428	267.64757061311	-2.82010236522331	0.306665944199237	-9.19600763817165	3.71496243299724e-20	8.28651537740459e-18
Zm00001d034699	413.13796999932	-2.1727072742772	0.241925185934508	-8.98090567083567	2.68547004959748e-19	5.618669506871e-17
Zm00001d043516	378.706989136772	-2.85840412889345	0.322186526878956	-8.8718921817837	7.19133898995079e-19	1.42716352454979e-16
Zm00001d039379	322.946464247262	-2.98397496449511	0.337126497227167	-8.85120270592201	8.65811393103124e-19	1.69335141303285e-16
Zm00001d040023	136.45153419731	2.69463246498915	0.304618456137039	8.8459264719565	9.07720154875546e-19	1.7625443870569e-16
