	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d027230	663	490	590	617	520	664	906	640
Zm00001d027231	82	66	33	42	58	82	47	29
Zm00001d027232	0	0	123	150	0	0	388	259
Zm00001d027233	11	0	534	716	1	1	1616	935
Zm00001d027234	0	3	20	29	0	2	69	46
Zm00001d027236	14	12	56	38	20	19	90	74
Zm00001d027239	630	651	217	218	538	926	456	330
Zm00001d027240	1	0	594	753	0	0	1388	902
Zm00001d027242	631	598	3	0	577	839	3	0
Zm00001d027245	0	0	9	3	0	0	26	24
Zm00001d027248	0	0	2	2	0	4	7	4
Zm00001d027253	0	0	20	35	0	0	28	28
Zm00001d027254	4	13	63	78	7	14	98	121
Zm00001d027256	11	13	14	5	28	37	50	16
Zm00001d027257	617	665	603	583	554	771	1203	848
Zm00001d022649	48	48	27	34	22	25	84	63
Zm00001d027259	134	147	80	67	253	451	358	263
Zm00001d027265	418	389	375	453	475	654	754	528
Zm00001d027266	1105	806	676	737	1138	1235	1189	887
Zm00001d022650	21	8	12	3	19	16	30	13
Zm00001d027267	548	458	396	414	677	740	572	435
Zm00001d027268	266	167	90	87	254	301	38	55
Zm00001d027271	530	467	0	1	667	975	0	0
Zm00001d027275	70	83	17	15	80	135	77	34
Zm00001d027276	473	424	387	344	410	510	488	355
Zm00001d027278	964	777	729	882	977	1199	1483	1123
Zm00001d027286	4	1	15	28	4	0	1	8
Zm00001d027287	0	1	0	0	0	1	2	2
Zm00001d027288	265	300	202	274	256	376	327	303
ENSRNA049464979	29	1	1	3	16	34	9	5
Zm00001d027289	5	2	0	0	3	9	0	0
Zm00001d027291	7209	4850	8086	7805	1782	123	643	1772
Zm00001d027292	126	51	221	223	251	176	324	279
Zm00001d027293	6210	5704	4877	4263	9137	9773	9725	7750
Zm00001d027295	7	0	6	6	6	14	35	15
Zm00001d027296	82	52	5	16	69	114	18	17
Zm00001d027298	1733	1466	1438	1243	1631	1718	1790	1575
Zm00001d027299	805	839	789	743	1028	1170	1715	1214
Zm00001d022653	46	42	2	7	58	41	24	13
Zm00001d027300	0	0	3	5	0	2	14	8
Zm00001d027302	479	368	391	368	302	220	433	342
Zm00001d027304	62	106	79	100	145	186	210	143
Zm00001d027307	640	579	399	450	836	916	1203	894
Zm00001d027309	3982	3345	3365	2810	3195	3637	3435	2758
Zm00001d027311	24	34	26	36	92	101	107	81
Zm00001d027312	39	29	60	45	157	212	149	92
Zm00001d027313	1	1	2	0	1	0	0	0
Zm00001d027314	292	344	611	488	406	440	1191	938
Zm00001d027315	0	0	2	9	2	4	0	1
Zm00001d027317	598	465	712	756	718	631	950	723
Zm00001d027318	635	457	595	540	506	492	547	486
Zm00001d027319	156	160	131	116	175	115	184	112
Zm00001d027320	603	504	655	688	248	143	314	259
Zm00001d027321	1658	1297	1511	1808	586	559	1033	806
Zm00001d027322	1106	941	833	916	443	579	755	627
Zm00001d027323	959	882	1299	1154	1247	1564	1567	1402
Zm00001d027324	406	318	430	444	480	669	802	590
Zm00001d027325	193	160	186	208	332	510	563	493
Zm00001d027326	297	225	341	317	528	497	780	621
Zm00001d027329	453	375	314	317	342	388	525	349
Zm00001d027330	136	97	57	32	194	45	19	67
Zm00001d027332	4491	2871	8510	6625	8679	4972	6690	5895
Zm00001d027333	439	360	653	630	609	746	1217	986
Zm00001d027334	711	740	648	766	984	1212	1867	1297
Zm00001d027335	93	37	96	143	107	49	52	96
Zm00001d027337	6	6	14	17	4	12	1	7
Zm00001d027338	12	16	18	7	45	23	37	39
Zm00001d027339	131	116	102	53	153	152	132	97
Zm00001d027340	2053	1934	2705	2640	1858	1812	6292	4167
Zm00001d027341	124	40	64	68	164	234	230	125
Zm00001d027342	188	114	236	151	233	292	303	312
Zm00001d027343	2	0	4	3	12	5	41	33
Zm00001d027344	304	221	228	222	258	204	272	272
Zm00001d027345	388	427	236	200	551	533	307	226
Zm00001d027346	28	21	143	70	25	34	78	91
Zm00001d027347	724	540	480	547	930	1155	1014	742
Zm00001d027348	153	65	86	104	137	92	124	147
Zm00001d027349	331	280	559	510	288	286	766	690
Zm00001d027350	3	3	2	0	4	9	0	0
Zm00001d027351	461	299	331	275	499	616	529	357
Zm00001d027352	211	187	146	53	331	248	142	126
Zm00001d027353	26	33	52	82	223	650	1451	871
Zm00001d027354	80	66	93	62	115	176	178	159
Zm00001d027355	161	289	30	25	360	197	59	144
Zm00001d027359	532	477	584	447	525	613	787	601
Zm00001d027361	1644	1422	842	792	1251	1288	2230	1698
Zm00001d027362	590	508	494	561	470	602	608	558
Zm00001d027363	1519	825	2637	2645	752	474	1065	1312
Zm00001d027365	251	159	195	258	361	328	306	244
Zm00001d027366	1796	1342	1110	1223	1533	1824	2113	1542
Zm00001d027367	1884	1685	1630	1517	1128	1068	1397	1226
Zm00001d027368	1	3	0	5	1	0	9	5
Zm00001d027369	2737	2029	1959	2021	2121	1751	1798	1597
Zm00001d027370	23	19	23	7	65	26	23	59
Zm00001d027371	120	98	138	94	220	323	305	273
Zm00001d027373	44	59	70	42	88	89	76	70
Zm00001d027374	221	163	218	173	399	405	473	390
Zm00001d027375	277	351	162	72	103	110	23	63
Zm00001d027376	387	285	257	280	476	473	562	389
Zm00001d027377	1	1	0	0	0	1	4	1
Zm00001d027383	66	61	59	55	104	67	142	123
Zm00001d027384	77	48	65	54	147	114	164	80
Zm00001d027385	274	250	235	215	401	403	396	357
Zm00001d027386	37	53	34	59	71	90	76	60
Zm00001d027387	307	280	392	427	113	87	121	547
Zm00001d027388	19	22	13	19	10	25	22	11
Zm00001d027389	650	541	602	462	766	686	693	549
Zm00001d027392	1109	1021	1005	1131	1818	2384	2676	1954
Zm00001d027393	2	0	1	7	6	0	5	5
Zm00001d027394	64	54	63	45	121	115	104	96
Zm00001d027395	11	4	12	30	14	6	15	33
Zm00001d027399	154	123	117	100	163	179	174	147
Zm00001d027401	444	410	369	305	298	472	597	367
Zm00001d027403	35	23	43	43	62	51	88	52
Zm00001d027404	34	21	15	55	36	53	85	76
Zm00001d027405	391	273	346	461	337	434	734	685
Zm00001d027409	26	47	22	9	21	56	48	27
Zm00001d027411	219	132	103	128	407	186	76	117
Zm00001d027412	1720	1611	1041	1132	1895	2083	2178	1785
Zm00001d027415	177	201	106	103	57	122	47	37
Zm00001d027416	49	50	184	160	44	38	161	116
Zm00001d027419	23	11	233	168	16	0	27	41
