Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zm00001d002126	739.671563244484	-3.41328414399498	0.141377816958713	-24.1429965281736	8.84491143909569e-129	2.56537811379531e-124
Zm00001d014715	5445.34000769614	-1.87337235880464	0.0778820007460376	-24.0539834731961	7.58383150846695e-128	1.09980724535788e-123
Zm00001d021620	44634.9703131174	-2.25712482767762	0.10779567212938	-20.938918818267	2.36771296577705e-97	2.28910489531325e-93
Zm00001d052242	12181.7250157002	-1.5709739066713	0.0811712386128646	-19.3538245013588	1.89263070108005e-83	1.37234652135315e-79
Zm00001d043780	2213.36227994992	-2.6996612314989	0.141021743210752	-19.1435814792358	1.09479534617237e-81	6.35068884407668e-78
Zm00001d033347	1655.63279630656	-7.00937793372224	0.36841541282762	-19.0257456383941	1.04391772244784e-80	5.04629827031285e-77
Zm00001d040686	3043.19207178851	-2.06972344503608	0.109043695773261	-18.980679537309	2.46388634940661e-80	1.02089370968842e-76
Zm00001d046934	101.339778303082	-4.56053180951996	0.241026399277539	-18.9212958546858	7.61588113017585e-80	2.76113770374526e-76
Zm00001d046919	983.000541651674	-3.48973807217693	0.186840021717041	-18.6776796539981	7.52184764784956e-78	2.42404076864699e-74
Zm00001d031899	48427.9860362034	-1.51227543748984	0.0827957053120133	-18.2651434852915	1.56800234520279e-74	4.54783400202616e-71
Zm00001d011051	836.577891490926	-3.62957404209656	0.201254184031662	-18.0347755727928	1.03916472843719e-72	2.73999398032657e-69
Zm00001d003975	1657.64666572895	-1.51126123342885	0.084268916206535	-17.9337922149715	6.42445323099308e-72	1.55279034593103e-68
Zm00001d001843	1349.90960403114	-1.69793247445382	0.0949780005134697	-17.8771132817544	1.77808049333419e-71	3.96703435605114e-68
Zm00001d048703	7126.18558452748	-2.18997173159694	0.122936766499263	-17.8138061863705	5.52235397478419e-71	1.14407396203315e-67
Zm00001d033591	5731.06477554853	-1.84732000820586	0.104831898380817	-17.621735719172	1.67777286583981e-69	3.24414161338786e-66
Zm00001d027488	129392.989704092	-2.12242732117363	0.122388728168704	-17.341689491601	2.27937497223378e-67	4.13193698091679e-64
Zm00001d040981	562.758614183586	-1.7520934963486	0.101065109051114	-17.3362846267991	2.50409108577247e-67	4.2722739912791e-64
Zm00001d043779	662.571629043721	-1.04673883995369	0.0606720382808111	-17.2524093406756	1.07328819151125e-66	1.72942503925513e-63
Zm00001d012485	1084.67829045266	-5.29377963876453	0.309315978739707	-17.1144719400976	1.15760702626749e-65	1.76711758894011e-62
Zm00001d031729	558.818046452532	-2.2625372387645	0.132586975178187	-17.0645512933968	2.72474786527694e-65	3.95142935422462e-62
Zm00001d021310	18166.0853455881	-2.35070950441264	0.138498527947864	-16.9728121969466	1.30528734034485e-64	1.80278828663629e-61
Zm00001d037708	444.003516415572	-6.44930178008244	0.381408359932491	-16.9091778198673	3.8504243925692e-64	5.07625950373077e-61
Zm00001d045451	22955.2487303469	-2.05339506287636	0.121863943676901	-16.8498983449982	1.05095168584361e-63	1.32529576940035e-60
Zm00001d048574	1175.13335558046	-1.59248236129619	0.0959224193001175	-16.6017743601077	6.76608761414596e-62	8.1768168816954e-59
Zm00001d053939	1003.5643774706	-2.584299431991	0.156249929698605	-16.5395238063526	1.90522442622978e-61	2.21036517033474e-58
Zm00001d035761	5825.56994179053	-2.37302195156859	0.143881808614147	-16.4928560074777	4.12959472830154e-61	4.60672174998684e-58
Zm00001d053936	1050.98556476335	-2.52239083105427	0.153360292871838	-16.4474831380389	8.74264725680947e-61	9.39154596431488e-58
Zm00001d042363	1811.16108822039	-1.4100492327335	0.0859026115100133	-16.4145095003211	1.50592881048484e-60	1.55992711497508e-57
Zm00001d050969	3245.53914734542	-1.69772699708887	0.105016142112934	-16.1663432204845	8.7118199803207e-59	8.42258755697405e-56
Zm00001d023869	586.515209605198	-5.51557656105217	0.344449887026636	-16.0127111919351	1.04169948210719e-57	9.74627476743125e-55
Zm00001d042344	6576.95275122875	-1.23198041471943	0.0769976619468928	-16.0002314819528	1.2730089023891e-57	1.15382344390292e-54
Zm00001d001947	774.528058727048	-2.02525484093365	0.126742555543833	-15.979280457488	1.78190907674328e-57	1.56613608672309e-54
Zm00001d017261	387.829476836531	-2.31717908500034	0.145814291087912	-15.891303024635	7.27984553095388e-57	6.21013646411136e-54
Zm00001d009709	275.26044046024	-3.10270376559224	0.196513047377032	-15.788792688352	3.71624671200209e-56	3.07960056099739e-53
Zm00001d037532	5613.11693161107	-3.20824394847839	0.204237147894851	-15.7084251398287	1.32428014609717e-55	1.06692837103895e-52
Zm00001d043146	1050.6153825516	-1.22497769411891	0.079126959641878	-15.4811672237005	4.6495957814471e-54	3.64478043365113e-51
Zm00001d013039	27996.9040807923	-1.97962775284256	0.128399285353728	-15.4177474383044	1.24367132991853e-53	9.49248506656765e-51
Zm00001d048856	1706.79227803147	-1.49696638738461	0.0981821233100089	-15.2468324876002	1.7281558506541e-52	1.28521621262491e-49
Zm00001d002490	2233.80011550894	-2.78515467170771	0.187951184217649	-14.8185002573992	1.11240415868444e-49	8.06604255462087e-47
Zm00001d013202	1043.14417400112	-4.6606053510935	0.319091566342569	-14.6058556310761	2.57726146291176e-48	1.77978313024506e-45
Zm00001d017037	974.973434886407	-1.00743636446976	0.0696300419314975	-14.4684153064403	1.91841241716201e-47	1.29399148249691e-44
Zm00001d046629	2732.590013452	-1.60766568358928	0.111286637837089	-14.446169952072	2.6501861615738e-47	1.74695453250651e-44
Zm00001d045366	4171.12140979845	-1.37851547481514	0.0955657338984939	-14.4247882434445	3.61377307749697e-47	2.32919720754938e-44
Zm00001d045742	2172.48515008936	-1.60774335092662	0.112336641092844	-14.31183392423	1.84580798777806e-46	1.16382206255467e-43
Zm00001d039258	52068.4633344684	-1.7078978866162	0.119995822515582	-14.2329778721624	5.71934804418346e-46	3.52944618454249e-43
Zm00001d046889	1662.71809931709	-1.25466046243527	0.0881796231732777	-14.2284625096412	6.10083665983505e-46	3.68643055170533e-43
Zm00001d029601	160.413687461373	-5.08599279026579	0.360789365396932	-14.0968478510177	3.97115331760057e-45	2.35059858823851e-42
Zm00001d034020	614.047626102113	-1.64452474534482	0.11718248934376	-14.0338778818782	9.6715136710656e-45	5.61025165031173e-42
Zm00001d016802	9886.96727813366	-1.85686726831	0.132497244309366	-14.014384057486	1.27297911710436e-44	7.23950712009705e-42
Zm00001d034017	3203.87755562369	-2.51455820575683	0.180644414110181	-13.9199333571594	4.79350840388245e-44	2.67367149511936e-41
Zm00001d014286	1309.92075184779	1.07142057536731	0.0774866879156535	13.8271566921738	1.74794063560184e-43	9.56552267830112e-41
Zm00001d024633	1256.32720030426	-2.1217027922582	0.153878017391194	-13.7882124310474	3.00104339673231e-43	1.61189375331155e-40
Zm00001d017812	398.696112590476	-1.34951827519887	0.0979000261043173	-13.7846569495385	3.15261634183471e-43	1.66251789779226e-40
Zm00001d014701	2584.31223468195	-1.92328951285646	0.139839408798951	-13.7535586668677	4.84847214770389e-43	2.5111622530715e-40
Zm00001d043972	5137.84913590126	-2.15521337158837	0.156741734159311	-13.7500926804716	5.08643257543645e-43	2.58819105996419e-40
Zm00001d042526	16437.2712084727	-1.48963341387469	0.108699256060295	-13.7041730354474	9.58531617362309e-43	4.79331914309938e-40
Zm00001d046962	161.932018431712	-2.38156062492329	0.174199457428033	-13.6714583391121	1.50351425627294e-42	7.39117415066787e-40
Zm00001d004894	65328.4724710171	-2.31096527231831	0.169413069247207	-13.6410094131886	2.2837737712647e-42	1.10397624102936e-39
Zm00001d046170	399652.205136169	-1.65641255155672	0.121459362867921	-13.6375863700023	2.39352095322022e-42	1.1380603561836e-39
Zm00001d033469	987.721872460704	-1.18836840029008	0.0873698297865427	-13.6015876784176	3.91834039091172e-42	1.83302491448393e-39
Zm00001d048524	2136.74486013067	-1.33542357102653	0.098539398064536	-13.5521791005048	7.69125072633549e-42	3.54090533439103e-39
Zm00001d018432	722.025654375211	-2.28526531694214	0.169612856961541	-13.4734203401828	2.24233108421005e-41	1.01619641822544e-38
Zm00001d049995	9356.26653876383	-3.11272907897321	0.232507393701058	-13.3876563210516	7.1398358333955e-41	3.18590459248928e-38
Zm00001d033551	2882.86606539935	-1.89405820500379	0.141939079250612	-13.3441629676883	1.28101345352097e-40	5.62947184938214e-38
Zm00001d032311	845.942423289454	-4.20654613479469	0.315588036527155	-13.3292319350412	1.56500573218185e-40	6.77483973973168e-38
Zm00001d015702	936.094540060928	-2.90985309299206	0.219564755794708	-13.2528241268046	4.3453805180977e-40	1.85343259627803e-37
Zm00001d010672	9232.67071759037	-2.1936024839839	0.165650201741977	-13.2423773766406	4.99425145595369e-40	2.09932274244175e-37
Zm00001d042454	4458.59570290033	-1.75181426762326	0.132949402237228	-13.1765486579429	1.19744771338263e-39	4.96153906842141e-37
Zm00001d031484	5839.76557636413	-1.6116744533322	0.123010342907347	-13.1019426110058	3.20936703450557e-39	1.31104903477183e-36
Zm00001d049187	1098.0662011544	-4.28790048410076	0.32751052363757	-13.0924052041938	3.63899213839404e-39	1.46590733308307e-36
Zm00001d016072	4167.11580341923	-2.01777985119375	0.154863715631746	-13.0293906675459	8.32699705872798e-39	3.30844140673077e-36
Zm00001d016100	12408.5144926793	-2.05693166077474	0.157921621116124	-13.0250161202577	8.81824584672896e-39	3.45627570998009e-36
Zm00001d036340	7288.22258239462	-2.52917151097157	0.194238835117746	-13.0209363613533	9.30231462829347e-39	3.59739111305365e-36
Zm00001d023887	657.240463507568	-2.50041522485865	0.192059222149427	-13.0189802753302	9.54368736999672e-39	3.64217247999191e-36
Zm00001d023929	15559.6320078816	-2.59227352220203	0.199956817308674	-12.9641667490653	1.95341550249794e-38	7.35803418629223e-36
Zm00001d053015	9345.69438776074	-2.21506207466205	0.171274074895796	-12.9328509058345	2.93721930512902e-38	1.0921937016149e-35
Zm00001d033746	3301.24013223179	-1.44349831678629	0.112316079809716	-12.8521073672785	8.36986184519111e-38	3.03449341197404e-35
Zm00001d039105	335.381234104865	-2.21498882857563	0.172420661979194	-12.8464234109188	9.00796508630129e-38	3.22551875756892e-35
Zm00001d034935	5399.71323451251	-2.06663434394326	0.160971671199954	-12.8384971624986	9.97928704958506e-38	3.52974684861177e-35
Zm00001d046357	4405.97116538329	-1.89482948400888	0.147619635908009	-12.8358905124903	1.03209352714423e-37	3.60660730858931e-35
Zm00001d034196	2097.9771613315	-2.05185954781315	0.160663588033386	-12.7711547646177	2.37603021363431e-37	8.2040928947916e-35
Zm00001d031659	2051.90748366292	-2.55291198593688	0.200305773080426	-12.7450744263464	3.32073750666625e-37	1.13311377227468e-34
Zm00001d010321	6251.8066834356	-2.21217460097049	0.17453488782393	-12.6746842912124	8.16869138452738e-37	2.75493866182363e-34
Zm00001d011569	6910.3216559289	-1.01035063807896	0.0803228716353016	-12.5786169930075	2.76833925201948e-36	9.0445713561051e-34
Zm00001d044774	783.132069196138	-1.28537526323057	0.102188955112507	-12.5784167360887	2.77536495205266e-36	9.0445713561051e-34
Zm00001d017092	13181.6523033336	-1.6146520978045	0.128508724580526	-12.5645328990307	3.30823031907364e-36	1.06613235749347e-33
Zm00001d020344	439.648665284647	-2.04003312235871	0.162391441442949	-12.562442356763	3.39682868001919e-36	1.08265515423381e-33
Zm00001d023873	432.812618004642	-9.55890685173918	0.761219054642975	-12.557366757224	3.62186991681185e-36	1.14183385942621e-33
Zm00001d044138	1077.39646008764	-4.04587259303015	0.322713454021658	-12.5370434439917	4.68137101781748e-36	1.45998370968579e-33
Zm00001d014488	6022.21813319055	-2.12630822176433	0.170200994418479	-12.4929247859522	8.1597779113738e-36	2.51772551639878e-33
Zm00001d013013	3603.5154633812	-2.33221398098895	0.187124640984938	-12.4634252801408	1.1818328665174e-35	3.60819794320743e-33
Zm00001d003584	1527.8032905433	1.18942812654217	0.0954570008901182	12.46035508607	1.22822522741119e-35	3.71077546831605e-33
Zm00001d037229	859.59665201459	3.36280942016035	0.270516440021615	12.431072284892	1.772407837494e-35	5.29968215656453e-33
Zm00001d049138	1572.87108999663	-1.52096105820381	0.12295827609076	-12.3697331042697	3.81085563469897e-35	1.11646522049302e-32
Zm00001d052595	102633.925052244	-1.9633782753204	0.158976198726482	-12.3501397759446	4.86268695605439e-35	1.41037372473401e-32
Zm00001d009582	366.82712904177	-1.72776250753827	0.13994567904672	-12.3459510812154	5.12252898006529e-35	1.47102802512687e-32
Zm00001d048422	6921.65575538874	-1.30989414314556	0.106221887357333	-12.3316782984569	6.11594624848634e-35	1.73908730383429e-32
Zm00001d010523	3324.9051448113	-1.10872231933553	0.0905727011065301	-12.2412416300963	1.8714755438147e-34	5.21925737238476e-32
Zm00001d043170	4331.29547163163	-1.91244349819841	0.156244662599538	-12.2400565010025	1.89900392332753e-34	5.24559140878015e-32
Zm00001d020434	10129.8655563011	-1.30465952205961	0.107569883412415	-12.1284831838818	7.46187494675874e-34	2.02265627061486e-31
Zm00001d049380	505.770178178803	2.01670011626522	0.166503244442973	12.1120769929257	9.11562641433197e-34	2.44805211593782e-31
Zm00001d027861	1607.17395108491	1.72561034903973	0.14313284354203	12.0560055004638	1.80318386941197e-33	4.79812338976374e-31
Zm00001d028542	7481.171316274	-1.79926705089626	0.149316008129107	-12.0500612991242	1.93805749388731e-33	5.06409185159526e-31
Zm00001d018197	24124.0915894343	-1.79161886694849	0.149553353623632	-11.9797973334473	4.53430799979011e-33	1.16383247102577e-30
Zm00001d038047	3914.10055912295	-2.00889977797301	0.167945768143236	-11.9615980812311	5.64646694566105e-33	1.4365800639645e-30
Zm00001d021370	17167.6266447706	-2.76484465241227	0.23136067405167	-11.950365652007	6.46402071045496e-33	1.63028223205248e-30
Zm00001d004342	5634.40030792898	-5.67355025231581	0.477393436217484	-11.8844328846849	1.42599631477529e-32	3.53500830031988e-30
Zm00001d034804	864.448488595586	-1.0871412956435	0.0915165183941671	-11.879181099975	1.51847627494505e-32	3.7323632100429e-30
Zm00001d021995	90.8790863833238	-3.45187627960176	0.291145361949844	-11.8561953262248	1.99851746752451e-32	4.87100845614126e-30
Zm00001d027422	4152.22634094638	-1.90061242022338	0.160672360451532	-11.8291186790445	2.76024640253737e-32	6.67151555493283e-30
Zm00001d031253	10727.8636602302	-2.17620390680184	0.18399115407849	-11.8277637732164	2.80515652800791e-32	6.72402974697036e-30
Zm00001d041308	6679.43888253393	-1.46646995731995	0.124118732124206	-11.8150575035881	3.26325565438931e-32	7.75798909835308e-30
Zm00001d016736	6921.08899013263	-2.44957242083255	0.207982530794469	-11.7777796600295	5.08139913381248e-32	1.19821870306583e-29
Zm00001d015484	1890.77123354987	-1.83957243820485	0.156387583821376	-11.7629059369955	6.06116185339699e-32	1.41772530964457e-29
Zm00001d011471	565.802651220135	-1.45741284603349	0.124027779388571	-11.7506969262709	7.00388066030398e-32	1.62512443737165e-29
Zm00001d042697	57049.33022272	-1.10063294381012	0.093703885329037	-11.7458624041607	7.41620480453525e-32	1.69369767047827e-29
Zm00001d017840	22043.669680868	-1.94524480199101	0.165606748791121	-11.7461686567166	7.38938483970705e-32	1.69369767047827e-29
Zm00001d039379	289.787215149228	-2.82154554023281	0.240612881049546	-11.7264941424803	9.32411433810643e-32	2.1127860333003e-29
Zm00001d035051	1594.56651689871	-1.69253323990779	0.144494681910049	-11.7134638973179	1.08744320768363e-31	2.44497696090357e-29
Zm00001d003715	2335.35072898827	-1.70585762698984	0.145812433655711	-11.6989860481835	1.28985467768935e-31	2.87776500551553e-29
Zm00001d030130	758.853757521155	-2.10827641433631	0.180495186324416	-11.6805132439763	1.60324539594206e-31	3.5245972728075e-29
Zm00001d011454	7458.27252338918	-2.11310431791529	0.180982148728768	-11.6757610226085	1.69541612696444e-31	3.69728190575011e-29
Zm00001d012998	4269.32421975215	-2.14748576179301	0.184814341683011	-11.6196921853409	3.27313402702808e-31	7.08462532238228e-29
Zm00001d024372	1761.44734613501	-2.21681908574127	0.190946020391236	-11.6096637217113	3.68060226883657e-31	7.90756949669155e-29
Zm00001d015705	1314.90217892169	-1.49267170152867	0.12863459741198	-11.6039676071599	3.93406749741724e-31	8.38997747758013e-29
Zm00001d027805	265.434479125922	1.16342522155086	0.100485207288553	11.578074553899	5.32281667141313e-31	1.12688302728224e-28
Zm00001d043465	4534.70700055517	-1.95939415443837	0.16959004725421	-11.5537095847453	7.07014832886046e-31	1.48596074007441e-28
Zm00001d005950	3126.77044292443	-1.98555247186305	0.171938367813159	-11.5480476935823	7.55163699760947e-31	1.57573870128536e-28
Zm00001d018161	1091.41061143062	-4.68166712041557	0.406114618668984	-11.5279453267638	9.53932217097805e-31	1.97627500176462e-28
Zm00001d025412	683.395943020967	1.76386894907152	0.153115421585501	11.5198647582769	1.04775319779183e-30	2.15525062047902e-28
Zm00001d029674	723.290992223322	-1.05314270611153	0.0915002168837948	-11.5097290692657	1.1784804911711e-30	2.40708789900892e-28
Zm00001d023536	7007.05883367047	-2.43669332162575	0.211973091854756	-11.4952954655932	1.39303542580778e-30	2.82542653777125e-28
Zm00001d032603	630.923515979678	-1.26667878270743	0.110430470365361	-11.4703738788452	1.85854548413494e-30	3.74342036262846e-28
Zm00001d049753	315.587983503002	-1.55370177492247	0.135509604901348	-11.4656210240859	1.96346011134868e-30	3.92746186686601e-28
Zm00001d017330	5111.64682222878	-1.12650925373663	0.098371805622405	-11.4515459649148	2.30988751152356e-30	4.58876557426229e-28
Zm00001d040735	2692.8477265906	-1.70176958763127	0.148966377108261	-11.423850271894	3.17834164206111e-30	6.27106265213199e-28
Zm00001d042663	218.271962939529	-3.33686945752914	0.292737821182228	-11.3988327304382	4.23762583242139e-30	8.24886574788926e-28
Zm00001d045965	330.626503197751	-2.75546473253926	0.242236387722561	-11.3751065991587	5.56348416638671e-30	1.07575529841254e-27
Zm00001d025031	564.162250554461	1.80191141439688	0.158689025076327	11.3549844643018	7.00523451629173e-30	1.34556173450679e-27
Zm00001d021336	391.580292749397	-5.83626795131353	0.514547442692382	-11.3425263971289	8.07782410614354e-30	1.54137638404334e-27
Zm00001d043508	588.668989673482	-2.21686933100594	0.195590122649304	-11.3342601404306	8.87791504758734e-30	1.68297417019754e-27
Zm00001d037777	1236.2520892359	-1.53161595562237	0.135798984463217	-11.2785523520408	1.67479271734217e-29	3.15426545284366e-27
Zm00001d044201	2139.41987333881	-1.02822435095038	0.0912814646193995	-11.2643279250348	1.96848073673691e-29	3.68347195408499e-27
Zm00001d035034	46700.8483082653	-1.09278902451463	0.0971719429405239	-11.245931607887	2.42522577556084e-29	4.50905438425427e-27
Zm00001d031809	636.465315946611	-1.25213236875701	0.111410111983174	-11.2389472236247	2.62493971265089e-29	4.84928353030105e-27
Zm00001d013918	2153.55560288621	-3.8659008382379	0.344299244397341	-11.2283163589416	2.96066248263829e-29	5.43487687635701e-27
Zm00001d013135	2315.89412735288	-1.02273263807921	0.09109131182791	-11.2275541712623	2.98630756307661e-29	5.44747575845748e-27
Zm00001d008858	400.038405517612	-1.07646493455345	0.0959725982089183	-11.2163779520707	3.38867011639732e-29	6.14281175349924e-27
Zm00001d011448	1868.65920534921	-1.08349115173909	0.0966431843791594	-11.2112525958193	3.59075471635949e-29	6.46871116728513e-27
Zm00001d026282	5305.36522847402	-1.69784555908063	0.151785664751003	-11.1858096867439	4.78517566652624e-29	8.56723673036586e-27
Zm00001d047255	3604.47259286903	-1.8913522067015	0.169112986482879	-11.1839560404959	4.88621869181484e-29	8.69447159125139e-27
Zm00001d038186	615.800492703738	-1.40189010383909	0.125423894188936	-11.1772171714531	5.27172002826065e-29	9.32322973778487e-27
Zm00001d002130	3853.21118988543	-1.44016869444701	0.129006696433642	-11.1635189045229	6.15077915641851e-29	1.08119514335008e-26
Zm00001d034345	663.171649415038	-2.00738173336313	0.180253264700193	-11.1364514629009	8.33755782891202e-29	1.45676221246846e-26
Zm00001d006834	2298.73721893487	-1.07954229907783	0.0973742888396494	-11.086523064169	1.45846925002784e-28	2.51794298379806e-26
Zm00001d029608	1941.08710714921	-2.08104231489795	0.188386054455656	-11.0466898460778	2.27447412166326e-28	3.8805204367483e-26
Zm00001d009314	217.822337718543	-2.01055025912288	0.182057487084024	-11.043491214371	2.35693743824112e-28	3.99769669349388e-26
Zm00001d021450	1648.43806052141	-2.43348933373207	0.220372730300678	-11.0426064532204	2.38026635996729e-28	4.01379334328437e-26
Zm00001d012753	110.494385311862	-2.06628937052664	0.187279240724895	-11.0332002763826	2.64289680925311e-28	4.43090052344378e-26
Zm00001d005158	121.329281029705	4.07682549723988	0.369822378410883	11.0237393279387	2.93603397536502e-28	4.89406490928086e-26
Zm00001d027456	15130.8720868913	-1.53079513925119	0.138890180058275	-11.021622540981	3.00591300575621e-28	4.98191433251161e-26
Zm00001d046940	3286.90359026767	-1.45041777173789	0.131795281976508	-11.0050811378546	3.61190661867673e-28	5.95225793000568e-26
Zm00001d009638	3027.32392362665	-1.90802840221475	0.173460173582322	-10.9998068306396	3.82951367118203e-28	6.27520985982845e-26
