,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d031952,311.083983036977,-4.60136367027927,0.138778313775285,-33.1562154424931,4.60787616498473e-241,1.45184962206339e-236
Zm00001d024372,1761.44734613501,6.05481267872662,0.193777432965468,31.2462219468334,2.51256831592096e-214,3.95830012490187e-210
Zm00001d008951,400.531228761705,-8.04149987907123,0.293748066876405,-27.3754988912138,5.36985475706641e-165,5.63977945618828e-161
Zm00001d040162,191.375277897317,-5.11422132397376,0.222578421723249,-22.9771659102368,7.88688873093408e-117,6.21250225335678e-113
Zm00001d014135,243.421323678186,-5.09751187264295,0.224899824910135,-22.6656996050567,9.76837429058646e-114,6.15563874295597e-110
Zm00001d005458,435.954494822968,7.49335452576556,0.335596960155982,22.3284338519715,1.95664835752559e-110,1.02750127414861e-106
Zm00001d039330,455.565223348928,3.28950502929891,0.154417998711855,21.3026011005177,1.07389297474909e-100,4.83374569262778e-97
Zm00001d046705,123.339438533557,4.90747586760512,0.23971519479567,20.4721101296403,3.81728822412504e-93,1.50343896707165e-89
Zm00001d030062,106.07633901199,3.35637000882463,0.180254324555482,18.6201913163617,2.20425194497271e-77,7.71684114246669e-74
Zm00001d044186,1058.31134911943,-2.5713957147206,0.141259988948751,-18.203284127776,4.86045256236636e-74,1.53143139335039e-70
Zm00001d044740,143.657904270608,-6.51809776050344,0.358644608794715,-18.1742527300455,8.25454150624289e-74,2.36440085253365e-70
Zm00001d041389,168.151225397966,-6.84423347285735,0.386353068627629,-17.7149711717545,3.21392102479246e-70,8.43868530409673e-67
Zm00001d035367,983.542249088984,-13.0088277750042,0.738551758973641,-17.6139689831387,1.92463915127437e-69,4.66473310602715e-66
Zm00001d049023,211.017318477418,-2.25385117855118,0.128561441423825,-17.531315405223,8.26354614645314e-69,1.8597700855889e-65
Zm00001d032051,1276.96051400096,9.04541846133997,0.523497614674046,17.2788150466972,6.79292844627836e-67,1.42687726323559e-63
Zm00001d010489,109.856289157884,6.28802653206428,0.365408841339123,17.208194823695,2.30505741640499e-66,4.53923431725553e-63
Zm00001d011436,627.597339030514,-12.8001756916849,0.750288193033191,-17.0603453586783,2.92818939612825e-65,5.42714067607111e-62
Zm00001d043485,115.424601575889,-7.3915176195085,0.438062315191049,-16.8732104159311,7.08394151121142e-64,1.24000460630694e-60
Zm00001d047055,148.954130337151,7.1350400574862,0.437940027952029,16.292276572325,1.11981948674214e-59,1.8570143362248e-56
Zm00001d051843,136.86055824568,3.55888510253311,0.218987421822301,16.2515503078573,2.17786720055247e-59,3.43101198775037e-56
Zm00001d011425,657.148659556948,5.03760723082214,0.315435825539345,15.9703078184244,2.05767915356948e-57,3.087302608127e-54
Zm00001d051484,387.754339741481,3.69012379300224,0.233076052025661,15.8322734615222,1.86363982006254e-56,2.66907106593321e-53
Zm00001d009022,1221.89953501412,-4.71338434405558,0.298482507362368,-15.7911576986767,3.57949652503687e-56,4.90359897873311e-53
Zm00001d003567,60.865358670202,-5.6929380309896,0.372493292799186,-15.2833303069935,9.87619113467157e-53,1.2965792927968e-49
Zm00001d013003,1028.26777485968,-6.06390051797901,0.398132714558999,-15.2308521662075,2.20696058930691e-52,2.78147656991528e-49
Zm00001d012479,104.358107029108,-4.00921298744295,0.265999520818384,-15.0722564277863,2.46546698434518e-51,2.98776668241338e-48
Zm00001d013111,230.007215565486,6.89134324361531,0.457481572651277,15.0636520804049,2.80835039126431e-51,3.27724089362799e-48
Zm00001d033874,2543.3023806947,2.00939292782527,0.134009217856486,14.9944381436296,7.98354132758231e-51,8.98376500533798e-48
Zm00001d016841,236.486407823345,-4.63647793025645,0.309849530447529,-14.9636435580838,1.26884655836334e-50,1.37857990899697e-47
Zm00001d014616,295.665405737277,11.2129902066816,0.749666148132494,14.9573116441424,1.39550487204118e-50,1.46565225027578e-47
Zm00001d011525,1067.4261477369,-1.80930287686223,0.12151761311333,-14.8892233027556,3.87241863457559e-50,3.93587633349057e-47
Zm00001d013228,72.0175827381761,-2.85328259725049,0.192856164464818,-14.7948737089553,1.58080770429898e-49,1.55650278584538e-46
Zm00001d035420,159.250201096045,-10.826363186434,0.739108616496203,-14.6478649345981,1.39015791403823e-48,1.32730592592475e-45
Zm00001d041140,60.5249118808767,4.83400676954128,0.330429108136699,14.6294822414418,1.82168136093398e-48,1.68816283295023e-45
Zm00001d035377,140.57485723907,-10.5412623804722,0.736966984648416,-14.303574787005,2.07852426388537e-46,1.87114692875715e-43
Zm00001d029385,175.048619260439,3.72586786467596,0.260557830609102,14.2995812329495,2.2013016641496e-46,1.92662813427849e-43
Zm00001d002917,308.494493840892,9.37540602697816,0.658232242363953,14.2433102233152,4.93337147913592e-46,4.20109915039499e-43
Zm00001d015242,274.654782618016,-7.28293681295616,0.51202980954666,-14.2236578362582,6.53460545541041e-46,5.41821970234398e-43
Zm00001d020058,135.171122742198,10.4404298219732,0.735905003850472,14.1871977596916,1.09965848648706e-45,8.88411271595755e-43
Zm00001d038477,131.198282642714,-10.5522111915717,0.744248232821184,-14.1783490053742,1.24746986992533e-45,9.82632016540186e-43
Zm00001d035356,118.686664605451,-10.408696572656,0.735306500665278,-14.1555889458866,1.72486603498334e-45,1.32553851293305e-42
Zm00001d035383,117.556016283372,-10.2681989747531,0.728239404579527,-14.1000320913447,3.79597046228376e-45,2.84770088870563e-42
Zm00001d034799,222.071615727269,-2.4888856439265,0.177292828443474,-14.0382759177427,9.08971382595605e-45,6.66043495879589e-42
Zm00001d015097,52.6151136756339,-5.57829535488096,0.399033884605958,-13.9795029196317,2.07935234183263e-44,1.48900530878324e-41
Zm00001d048686,102.447369900037,-10.1977962981525,0.739752631476936,-13.7854140211605,3.11971632803779e-43,2.18435604586255e-40
Zm00001d052361,951.684828161103,1.54756361423427,0.112496385060539,13.756563052239,4.65118469540694e-43,3.18585929093222e-40
Zm00001d045113,332.444717876286,1.78444301640557,0.13037614960308,13.6868823158083,1.21616466623796e-42,8.15296091570759e-40
Zm00001d032139,94.9104309212129,-10.0775803640467,0.738799683187482,-13.6404773761785,2.30049706081588e-42,1.50588917171153e-39
Zm00001d008408,504.958296681462,-2.75355559156027,0.201885764686735,-13.6391765701408,2.34189949898009e-42,1.50588917171153e-39
Zm00001d052998,148.164954332152,3.01837540134839,0.222563985007001,13.5618321232586,6.74305336108279e-42,4.24920250601993e-39
Zm00001d052192,71.5969018482441,-4.21028450474235,0.31119731622479,-13.5293085294511,1.05006696945487e-41,6.48735491638902e-39
Zm00001d009174,89.0208610048671,-9.98544140497742,0.742115614304169,-13.455371659765,2.86296169406564e-41,1.73473455878116e-38
Zm00001d003035,405.522674829526,1.95874390028443,0.146070461521252,13.4095824705768,5.31371357438711e-41,3.15895259059979e-38
Zm00001d022340,98.8056106862004,-10.1466684320102,0.759546323017961,-13.3588539954926,1.05170833522101e-40,6.1365233752118e-38
Zm00001d003088,493.624313151785,3.98313919979326,0.298716992565506,13.3341567400783,1.46501888038969e-40,8.39269361514879e-38
Zm00001d052507,78.9999138311898,-9.79323576608046,0.734574875623562,-13.3318414379028,1.51120871319251e-40,8.50270788129814e-38
Zm00001d012013,69.1836740083564,-5.00208249744258,0.375465081758209,-13.3223640238903,1.71586893546233e-40,9.48484182781528e-38
Zm00001d038819,189.716994031737,-6.14856366589525,0.461990926932147,-13.3088407314075,2.05647809629203e-40,1.11716399755119e-37
Zm00001d032688,1085.85209265526,-3.54942142611235,0.267482878964555,-13.2697144574352,3.46900059200874e-40,1.85256390937307e-37
Zm00001d032131,80.7003836231295,-4.91423696777371,0.371521723139043,-13.2273206698456,6.1024223917853e-40,3.20458541200619e-37
Zm00001d010567,131.14099887434,-2.8268444487537,0.214273064037711,-13.1927195863321,9.66350992358133e-40,4.99144050282296e-37
Zm00001d025931,115.289953870648,-8.65764271302023,0.661049764111025,-13.0968093221589,3.43392542545905e-39,1.74509874686071e-36
Zm00001d016254,79.7410992090349,2.87376897318223,0.219835779576642,13.0723441776244,4.73825368379702e-39,2.36972852490598e-36
Zm00001d046706,101.880684553942,9.70707032862014,0.744301192257605,13.0418578252935,7.07127114359554e-39,3.48127517488138e-36
Zm00001d007427,101.009610530043,6.1218674612457,0.469710409975233,13.0332803600595,7.91310253553167e-39,3.83578514906972e-36
Zm00001d036006,76.1576276671469,-9.77240525578452,0.759576651449764,-12.8655945876331,7.02988729885629e-38,3.35602559109642e-35
Zm00001d018955,118.012236565712,4.84733371624259,0.377159811978516,12.8522010094721,8.35973454881176e-38,3.93132113677554e-35
Zm00001d029360,135.901843261174,6.82640479773453,0.532133360179642,12.8283721874344,1.13728564903376e-37,5.26964650437583e-35
Zm00001d044908,548.405440463426,-3.39088375241401,0.264590376413977,-12.8155974467819,1.34101460097392e-37,6.12357797789658e-35
Zm00001d001917,109.536246772896,-2.07869946471718,0.162234565764442,-12.8129258701587,1.38800406894289e-37,6.21278217547686e-35
Zm00001d047300,68.4854092993979,-9.61642142342086,0.750564080644342,-12.8122590347854,1.39998582727833e-37,6.21278217547686e-35
Zm00001d001425,62.1202937211887,-9.45057318090443,0.739932657715081,-12.7722071493477,2.34411744832549e-37,1.02581184113666e-34
Zm00001d025855,224.902620715371,-4.24207710163296,0.332845176729442,-12.7448958200803,3.32835131039972e-37,1.4365711381928e-34
Zm00001d000066,71.0644062356563,4.0209547981705,0.316242745899117,12.7147732250377,4.89527614059006e-37,2.08432919780692e-34
Zm00001d006033,365.946732019296,-3.66321065603643,0.288857849325016,-12.681707160101,7.46872402251014e-37,3.13766075334999e-34
Zm00001d053301,605.568327833476,-2.41645551894026,0.19062140379027,-12.6767271192638,7.95861684102034e-37,3.2994749924588e-34
Zm00001d052201,89.6824297825956,9.50618488833379,0.751822379239246,12.6441898390321,1.20459799406262e-36,4.92915241518506e-34
Zm00001d005529,82.9588900980867,9.37409194795005,0.744791742416401,12.5861921045698,2.5151685269663e-36,1.015999101893e-33
Zm00001d008842,83.0054427648011,-7.50068120696817,0.598365172935951,-12.5352903982783,4.78605081457787e-36,1.90884669703442e-33
Zm00001d023552,87.7853878589949,-8.04170886155019,0.644391824324958,-12.4795327283589,9.65515969080393e-36,3.80268464422313e-33
Zm00001d044092,57.5984443610114,-9.36029272597198,0.750786134678146,-12.4673223087486,1.12544652019818e-35,4.37784801955609e-33
Zm00001d044829,46.8995533397581,6.21768688347736,0.499157134537309,12.4563718582142,1.29112050950898e-35,4.96105183092791e-33
Zm00001d036513,86.7837566225347,4.36006831460198,0.350478432647713,12.4403327236531,1.57845037188728e-35,5.99202582137644e-33
Zm00001d019126,59.285594889038,9.2909655017323,0.748048581001396,12.4202702039682,2.0287513629285e-35,7.60974975513704e-33
Zm00001d018718,256.542369028637,1.68785402888352,0.136015964469614,12.4092347208301,2.32867870305492e-35,8.63200100892405e-33
Zm00001d051794,110.868371159474,-8.87625479582768,0.719072853836681,-12.3440271016596,5.24646037500083e-35,1.92215666855263e-32
Zm00001d004637,56.8674100221931,9.1679337717161,0.743636977228818,12.3285071243776,6.36143691808597e-35,2.30386384385118e-32
Zm00001d002208,76.3341709475771,9.26372123993944,0.752594453475395,12.3090479834931,8.09726685103994e-35,2.89918959025644e-32
Zm00001d026087,54.6377353278214,3.62255914073653,0.295305252568523,12.2671679871185,1.35924835051676e-34,4.81204460989685e-32
Zm00001d051842,2089.14342003332,2.15166729256772,0.175648336915891,12.2498586115167,1.6828905946523e-34,5.89161298403387e-32
Zm00001d052393,221.413003193206,2.22580434474199,0.182124167440622,12.2213563198178,2.39062559529801e-34,8.27734409413735e-32
Zm00001d027367,1056.66142027921,-1.45620312395179,0.11920450959819,-12.2160070022543,2.55320342576663e-34,8.74416668902772e-32
Zm00001d002346,164.658902660213,2.86661247152435,0.234856180142393,12.2058208976503,2.89375165852426e-34,9.80390615664328e-32
Zm00001d001841,90.0758710062043,-7.99532722840265,0.658268330851646,-12.1460001243848,6.02414220967329e-34,2.01924119938708e-31
Zm00001d023342,214.93547331186,-6.30351091638271,0.519124983365858,-12.1425689734918,6.28221606439953e-34,2.0835796184958e-31
Zm00001d032742,94.3322103423522,2.47565417145126,0.20428186782935,12.1188150360919,8.39643247105317e-34,2.75577910727024e-31
Zm00001d052683,158.450678477808,-10.7016848977741,0.891367668419097,-12.0059154902424,3.30783086872688e-33,1.07446530940048e-30
Zm00001d045044,956.12370928477,1.18804548071518,0.099125451116492,11.9852718684629,4.24449543874248e-33,1.36464859473365e-30
Zm00001d038459,867.651427718243,-2.30267226892908,0.192351984410177,-11.9711386185587,5.03331057022235e-33,1.6019146408744e-30
Zm00001d022418,434.461590970336,-1.85969743391477,0.155542755682666,-11.9561816026255,6.0270152381308e-33,1.89899196123025e-30
Zm00001d043881,62.4432700385049,-6.52408055314157,0.549497894472538,-11.8728035516934,1.63882045658147e-32,5.11247078672961e-30
Zm00001d020667,67.5912242133556,8.71624412968439,0.735103142172386,11.8571716397865,1.97535590569749e-32,6.10191312516829e-30
Zm00001d035411,46.9350842705639,-9.06681235653283,0.764787465170062,-11.8553359847715,2.01912707487208e-32,6.17656853156013e-30
Zm00001d007096,1310.62453891645,-3.6658131960154,0.309507162455698,-11.8440334851382,2.31066885727323e-32,7.00043791874661e-30
Zm00001d029093,556.531464191402,1.08459256393406,0.0916459510804243,11.8345933578917,2.58593726219544e-32,7.73814221248475e-30
Zm00001d044016,2226.69717395352,1.00619197945305,0.0850252856683378,11.8340323298407,2.60328511655257e-32,7.73814221248475e-30
Zm00001d002693,123.684507998183,-2.84814539920251,0.240757031871527,-11.8299572687968,2.73280871045043e-32,8.04722774288524e-30
Zm00001d009091,101.594909424083,4.62625855926002,0.39174607486858,11.8093297062696,3.49335085660011e-32,1.01915276657182e-29
Zm00001d038058,147.97369038427,3.62082537545169,0.307636312210601,11.7698244054263,5.58406215556362e-32,1.61415257245411e-29
Zm00001d002366,2531.38412201766,1.35836243516618,0.115915773018651,11.7185297547696,1.02434295141597e-31,2.93409070120131e-29
Zm00001d011779,644.706391387958,-0.919013599912658,0.0784589674278278,-11.713302252646,1.0895189532777e-31,3.09266334953818e-29
Zm00001d052472,107.275181199453,-2.80539560883918,0.239765025614005,-11.7006039627963,1.26549576493007e-31,3.5601107644122e-29
Zm00001d052684,85.5365094100688,-9.88544703787339,0.847625123947307,-11.6625224507714,1.98085663752774e-31,5.52325937479859e-29
Zm00001d007324,49.8647478649852,-8.65072611876312,0.742974041313474,-11.6433759966497,2.48000792767295e-31,6.85439384079995e-29
Zm00001d005599,71.3999231241369,9.5244331221943,0.819075616699567,11.6282708555928,2.96033419362834e-31,8.11080084981231e-29
Zm00001d047032,52.4129092921152,8.7432479692931,0.753177001933084,11.6084903639555,3.73145271141375e-31,1.01353975888987e-28
Zm00001d015857,85.7423778376817,-8.44831493483103,0.727987727405751,-11.6050238442032,3.88579293071235e-31,1.0464407150503e-28
Zm00001d026374,174.213951352048,-6.76344251225264,0.582941657832589,-11.6022631448223,4.01322734604502e-31,1.0715997221965e-28
Zm00001d027805,265.434479125922,1.1509573663643,0.100097375445136,11.4983770677899,1.34419096772236e-30,3.55905621941143e-28
Zm00001d027788,125.515044229512,3.60581188130685,0.315256343485898,11.4377139613945,2.70930407690366e-30,7.11372940459005e-28
Zm00001d023335,88.6320485383282,-2.16579682522546,0.192342369051316,-11.2601130780896,2.06493582120104e-29,5.3770246160663e-27
Zm00001d047708,65.8962637124408,-8.48583428797849,0.754258871761892,-11.2505594639626,2.30127701642249e-29,5.94333083880653e-27
Zm00001d017459,256.986706181344,1.51131770045359,0.13474534650271,11.2161031136107,3.39921434986514e-29,8.70751591345941e-27
Zm00001d009383,64.9036271932103,-6.23113758212045,0.556150807228801,-11.2040430421545,3.89540619534238e-29,9.89810148410062e-27
Zm00001d039484,33.0739176466419,8.40060470478929,0.750078802234305,11.1996295319451,4.09442107860456e-29,1.03205615475738e-26
Zm00001d026984,36.3478968268536,-8.33978101543516,0.745435476113107,-11.1877973113393,4.67913201973006e-29,1.1700800926798e-26
Zm00001d035408,40.7555586418593,-8.87074728819132,0.794764272549764,-11.1614822087211,6.29334688265388e-29,1.5613446738477e-26
Zm00001d046180,31.8013404811159,2.99887187829368,0.27025507022087,11.0964500160637,1.30525935321147e-28,3.21297747663962e-26
Zm00001d035400,79.5158856105319,-9.66595754318158,0.871341886712441,-11.0931859131105,1.35378719047231e-28,3.30659897654276e-26
Zm00001d012177,678.871348294908,-2.15016884510902,0.193841649009434,-11.0923986465075,1.36575697827863e-28,3.31017468243101e-26
Zm00001d045080,60.3891798204636,-2.17366237020789,0.196226789899609,-11.0772966898146,1.6168063266303e-28,3.88872776637157e-26
Zm00001d016942,48.7633529818201,-5.09618000765238,0.460623293110769,-11.0636610954602,1.88253211662124e-28,4.49354711594713e-26
Zm00001d019127,30.6857872663292,8.32880109066952,0.75335648560923,11.0555908786451,2.0597601631553e-28,4.87961828727047e-26
Zm00001d030280,29.2834875961812,4.90069444367283,0.444533932636486,11.0243427641335,2.91641028323843e-28,6.85748173166242e-26
Zm00001d025316,32.6841371597126,8.43052715100983,0.766662956405806,10.9963929789082,3.97724421112175e-28,9.28259337807587e-26
Zm00001d032921,68.5008348218989,-7.19802669719069,0.655977100244445,-10.9729847192965,5.1542348006401e-28,1.19411492719536e-25
Zm00001d030285,328.487789173691,-2.49996110671879,0.228328394852923,-10.9489715824838,6.72062988126296e-28,1.54564676130535e-25
Zm00001d008817,255.951043408678,1.62761846556341,0.148781247747047,10.9396747924216,7.4466539265837e-28,1.70021139071594e-25
Zm00001d023299,77.9765627837798,-3.85131090447545,0.35231791753894,-10.9313512391824,8.16238201289651e-28,1.85021821915355e-25
Zm00001d052587,28.7905289455395,8.22280658053747,0.75231265959414,10.9300388285019,8.28129814269368e-28,1.8637652991428e-25
Zm00001d049055,181.241368983827,-2.40195323649709,0.221362085348753,-10.8507888002268,1.97711651941524e-27,4.41808420522945e-25
Zm00001d035428,81.0080639473886,-9.84992682336081,0.909533410293337,-10.8296481601309,2.49110647713003e-27,5.52744949869105e-25
Zm00001d015098,37.2372129022467,-7.03402841664141,0.650141031398346,-10.8192347151392,2.79098051960967e-27,6.14952546936094e-25
Zm00001d000379,635.071695620501,-0.984905897432127,0.0910976586430055,-10.8115390900636,3.03534170164283e-27,6.64149627328906e-25
Zm00001d051779,954.381118592595,4.8369072448477,0.447799173919451,10.8015099771438,3.38588956344782e-27,7.35742126655957e-25
Zm00001d013412,1553.11533561895,-1.31684011832421,0.122325828308741,-10.7650210632591,5.03500398107018e-27,1.08659524270931e-24
Zm00001d051609,701.494611200634,-6.65529517482865,0.618694618062978,-10.7569954231462,5.49320429752786e-27,1.17741415650685e-24
Zm00001d036830,706.491192194586,-0.996168075747263,0.0926934802157363,-10.7469055367084,6.12831941384035e-27,1.30466951413028e-24
Zm00001d035081,5359.25594110368,-1.09138729926575,0.101570551830854,-10.7451153862317,6.24837450210327e-27,1.32130056249845e-24
ENSRNA049472786,42.9925287492211,-3.31479438439845,0.30997577777397,-10.6937206777994,1.08912229310555e-26,2.28773768074464e-24
Zm00001d009331,44.3531920185651,-8.23907470993424,0.774147690533386,-10.6427685707588,1.8844524032223e-26,3.93214081594227e-24
Zm00001d026260,117.569822859427,1.54079890024763,0.145133513574742,10.6164238865074,2.49954074991977e-26,5.18128486503107e-24
Zm00001d036468,116.463183415399,-2.16920258358797,0.204750373697508,-10.5943766764142,3.16442051646737e-26,6.51663801521921e-24
Zm00001d003128,50.9609181320301,-9.1860804696704,0.867641487519443,-10.5874149655212,3.40875391042365e-26,6.97422196166417e-24
Zm00001d000545,31.575291018454,-6.28247764762033,0.594586480124407,-10.5661293312721,4.27788241989278e-26,8.69596898619237e-24
Zm00001d049469,151.471463448153,-5.12876730191744,0.485813037166178,-10.5570804189083,4.71086348621468e-26,9.51473632843924e-24
Zm00001d034007,5046.02114797875,-1.24158595160666,0.117688455984005,-10.5497683797925,5.09224714492909e-26,1.02195237606641e-23
Zm00001d027869,826.721986637179,0.634725585669069,0.0601924080664211,10.5449442223455,5.36046555027958e-26,1.06897182631778e-23
Zm00001d010113,50.9026417038875,9.06994882309577,0.864805829911912,10.4878442181867,9.82443438647007e-26,1.9468445198044e-23
Zm00001d016176,43.8159767072566,7.7661924383493,0.740584642537091,10.4865696535968,9.95782455158378e-26,1.96094459982064e-23
Zm00001d023267,1169.12186857188,1.72979559209619,0.165236969141967,10.4685749265347,1.20442477723785e-25,2.35708173175219e-23
Zm00001d050495,47.3937483008815,-2.27486135068672,0.217725202072549,-10.4483143385886,1.49152587030414e-25,2.90092574824339e-23
Zm00001d051088,1437.69680241741,-5.65853670537435,0.541951461232383,-10.441039668953,1.61037250165905e-25,3.11285992529284e-23
Zm00001d006043,23.0698851634582,-8.02302219294132,0.768537620224922,-10.439335670508,1.63954035717434e-25,3.14991692523471e-23
Zm00001d035343,25.4242095957408,-8.18623826538918,0.786650788086301,-10.4064451334295,2.31713246735366e-25,4.42473998675025e-23
Zm00001d012322,224.182099033367,-2.18514095972899,0.210561729826087,-10.3776738609329,3.13316202735478e-25,5.9469680215599e-23
Zm00001d052392,127.531006369153,2.79275275949341,0.269131691018357,10.3769004271702,3.15864165330559e-25,5.95943001271573e-23
Zm00001d003639,41.8501494113677,7.69630428418778,0.743491384177667,10.3515715823664,4.11671928641541e-25,7.72080900454624e-23
Zm00001d004411,28.9127579922164,7.87050463768798,0.760456361963605,10.3497123981779,4.19744799333965e-25,7.82563262568909e-23
Zm00001d035222,22.2908411501041,-7.96889872753486,0.770311923380393,-10.3450284042919,4.40785566942581e-25,8.16957155483931e-23
Zm00001d039446,131.010888575949,-1.85084430786877,0.179038679487625,-10.3376785014587,4.75926998049649e-25,8.76930283891715e-23
Zm00001d051700,2032.32171053602,0.952088560992979,0.0925873786679404,10.2831355060563,8.39511282482611e-25,1.53786752839896e-22
Zm00001d023262,948.158715023949,-0.770247106678124,0.0749844668692052,-10.2720888583719,9.41437962343086e-25,1.71461429580959e-22
Zm00001d031954,332.498436790914,-1.37750139609706,0.134210421755853,-10.2637438887043,1.02648117147269e-24,1.85875682475641e-22
Zm00001d038650,1004.35281436088,-1.38812358519004,0.135713416751992,-10.228344539632,1.48028102906959e-24,2.66518255222426e-22
Zm00001d025833,32.7135618680148,5.96030657755497,0.583997581746744,10.206046675275,1.86301481427267e-24,3.33521993000588e-22
Zm00001d021076,19.819590225776,7.70704783494998,0.755309035689429,10.2038337564904,1.9059710524419e-24,3.3928438373073e-22
