taxa	Nitrate_Blup	ChlorophyllA_Blup	ChlorophyllB_Blup	Glutamate_Blup	Malate_Blup	Fumarate_Blup	Fum2_Blup	AminoAcids_Blup	Protein_Blup	Starch_Blup	Sucrose_Blup	Glucose_Blup	Fructose_Blup	PrinicpalComponent1	PrincipalComponent2	DaysToAnthesis
Z001E0001	0.056975	62.7766	29.7834	0.10414	0.24107	-0.02913	0.05682	2.88439	1.02967	1.2057	3.3362	0.9716	0.9949	1.7863	1.93747	75.5364
Z001E0002	0.05053	52.295	27.0123	0.06211	0.16944	-0.0487	0.03898	1.77951	1.03883	0.7831	2.1946	0.93261	0.8061	-0.497	-0.04911	76.9075
Z001E0003	0.053408	60.7215	27.81702	0.0603	0.21451	-0.016701	0.08262	2.05109	1.10131	0.94511	3.3218	0.7552	0.79125	1.4528	0.2017	75.2646
Z001E0004	0.053578	61.4693	28.1361	0.07452	0.18378	-0.04306	0.04327	1.90119	1.11123	0.6997	2.1846	0.6961	0.63	0.5087	-1.73145	73.6933
Z001E0005	0.056387	54.7598	26.8448	0.12613	0.30229	0.04351	0.13158	2.49579	1.17181	0.93079	1.0934	1.6025	1.2014	0.8054	1.1429	79.2441
Z001E0006	0.04967	52.0909	29.0003	0.10352	0.18765	-0.05248	0.03281	1.50949	0.9307	1.0741	3.9201	1.155	0.9787	-0.271	2.57681	73.2044
Z001E0007	0.04441	39.6601	26.6512	-0.00308	0.1479	-0.07798	0.01726	1.03869	1.11276	0.6673	1.9677	0.7269	0.534	-2.9877	-2.11413	73.2628
Z001E0008	0.055768	57.7513	28.2752	0.10316	0.27161	-0.008441	0.078503	2.76229	1.07561	0.8848	2.9881	0.9478	0.74442	0.2713	-0.29109	73.6357
Z001E0009	0.052667	53.3366	27.4611	0.13081	0.3566	0.06937	0.15754	0.97029	1.12786	0.8004	2.5215	0.6817	0.72793	1.8158	-0.07955	74.4447
Z001E0010	0.05132	47.9069	28.7724	0.07296	0.18259	-0.02561	0.058	1.59199	1.02571	1.7536	3.453	1.2837	0.9752	-0.872	3.32016	72.882
Z001E0011	0.04714	47.5457	27.0174	0.01526	0.18538	-0.0524	0.03547	2.15679	1.06389	0.7676	2.3529	0.7373	0.7048	1.5738	-1.52909	74.512
Z001E0012	0.04675	44.8501	27.4429	0.00996	0.27648	-0.03736	0.04868	1.41709	1.04225	0.88817	2.1038	1.15	1.0092	-1.8205	1.13364	74.2079
Z001E0013	0.053567	61.2545	28.5112	0.10678	0.21985	-0.02546	0.06255	2.24599	1.13364	1.2652	3.7214	0.90826	1.0068	0.6213	1.61987	74.1043
