BLK	Pop	Freq
BLK1	1960s	0.636363636363636
BLK1	1970s	0.705882352941177
BLK1	1980s	0.709677419354839
BLK1	1990s	0.759259259259259
BLK1	2000s	0.806451612903226
BLK1	2010s	0.888888888888889
BLK1	Landrace	0.625
BLK1	New-Era	0.756756756756757
BLK1	Old-Era	0.844444444444444
BLK1	Teosinte	0.15
BLK2	1960s	0
BLK2	1970s	0.0588235294117647
BLK2	1980s	0.0645161290322581
BLK2	1990s	0.037037037037037
BLK2	2000s	0.258064516129032
BLK2	2010s	0.277777777777778
BLK2	Landrace	0.0833333333333333
BLK2	New-Era	0.171428571428571
BLK2	Old-Era	0.0666666666666667
BLK2	Teosinte	0.05
BLK3	1960s	0.0909090909090909
BLK3	1970s	0.0588235294117647
BLK3	1980s	0.290322580645161
BLK3	1990s	0.314814814814815
BLK3	2000s	0.516129032258065
BLK3	2010s	0.666666666666667
BLK3	Landrace	0.166666666666667
BLK3	New-Era	0.485714285714286
BLK3	Old-Era	0.177777777777778
BLK3	Teosinte	0.1
BLK4	1960s	0.0909090909090909
BLK4	1970s	0.0588235294117647
BLK4	1980s	0.290322580645161
BLK4	1990s	0.333333333333333
BLK4	2000s	0.548387096774194
BLK4	2010s	0.722222222222222
BLK4	Landrace	0.333333333333333
BLK4	New-Era	0.514285714285714
BLK4	Old-Era	0.133333333333333
BLK4	Teosinte	0.25
BLK5	1960s	0.545454545454545
BLK5	1970s	0.647058823529412
BLK5	1980s	0.387096774193548
BLK5	1990s	0.444444444444444
BLK5	2000s	0.483870967741935
BLK5	2010s	0.388888888888889
BLK5	Landrace	0.291666666666667
BLK5	New-Era	0.4
BLK5	Old-Era	0.695652173913043
BLK5	Teosinte	0.15
BLK6	1960s	0.818181818181818
BLK6	1970s	0.823529411764706
BLK6	1980s	0.741935483870968
BLK6	1990s	0.907407407407407
BLK6	2000s	0.774193548387097
BLK6	2010s	0.888888888888889
BLK6	Landrace	0.5
BLK6	New-Era	0.823529411764706
BLK6	Old-Era	0.8
BLK6	Teosinte	0.1
