ID	Q1	Q2	Q3	Haplotype
BKN009	0.008329	0.00498	0.986691	1
BKN010	1.00E-05	0.000958	0.999032	1
BKN011	1.00E-05	0.01056	0.98943	1
BKN014	1.00E-05	0.208212	0.791778	1
BKN015	0.791968	0.208022	1.00E-05	3
BKN016	1.00E-05	0.008786	0.991204	1
BKN017	1.00E-05	0.99998	1.00E-05	2
BKN018	0.99998	1.00E-05	1.00E-05	3
BKN019	0.137425	0.011332	0.851243	1
BKN020	0.002322	0.001882	0.995796	1
BKN022	0.994195	0.005795	1.00E-05	3
BKN023	1.00E-05	0.99998	1.00E-05	2
BKN025	0.03408	1.00E-05	0.96591	1
BKN026	1.00E-05	0.013382	0.986608	1
BKN027	0.386433	0.220319	0.393248	0
BKN029	1.00E-05	0.012641	0.987349	1
BKN030	0.991698	0.008292	1.00E-05	3
BKN031	1.00E-05	0.010798	0.989192	1
BKN032	1.00E-05	1.00E-05	0.99998	1
BKN033	0.846256	0.153734	1.00E-05	3
BKN034	0.8039	0.19609	1.00E-05	3
BKN035	0.120072	0.022502	0.857426	1
BKN040	0.99998	1.00E-05	1.00E-05	3
RIMMA0438.1	0.475772	0.059025	0.465203	0
TIL01	1.00E-05	0.271948	0.728042	1
TIL01-JD	1.00E-05	0.285681	0.714309	1
TIL02	1.00E-05	0.640752	0.359238	0
TIL03	0.984795	0.015195	1.00E-05	3
TIL04-TIP285	1.00E-05	1.00E-05	0.99998	1
TIL04-TIP454	1.00E-05	0.03028	0.96971	1
TIL05	1.00E-05	0.294556	0.705434	1
TIL06-TIP260	0.057013	1.00E-05	0.942977	1
TIL06-TIP496	0.052147	1.00E-05	0.947843	1
TIL07	1.00E-05	0.56782	0.43217	0
TIL08	0.028243	0.971747	1.00E-05	2
TIL09	1.00E-05	0.28915	0.71084	1
TIL10	1.00E-05	0.263238	0.736752	1
TIL11	1.00E-05	0.99998	1.00E-05	2
TIL12	0.795915	0.204075	1.00E-05	3
TIL14-TIP498	0.958768	0.031442	0.00979	3
TIL15	1.00E-05	0.218333	0.781657	1
TIL16	1.00E-05	0.236792	0.763198	1
TIL17	0.126508	0.873482	1.00E-05	2
TIL25-TIP489	1.00E-05	0.582606	0.417384	0
A188	0.99998	1.00E-05	1.00E-05	3
A556	1.00E-05	1.00E-05	0.99998	1
A619	0.99998	1.00E-05	1.00E-05	3
A632	0.99998	1.00E-05	1.00E-05	3
A659	0.99998	1.00E-05	1.00E-05	3
B10	0.99998	1.00E-05	1.00E-05	3
B103	0.008799	1.00E-05	0.991191	1
B104	1.00E-05	1.00E-05	0.99998	1
B105	0.999978	1.20E-05	1.00E-05	3
B109	0.99998	1.00E-05	1.00E-05	3
B14A	0.99998	1.00E-05	1.00E-05	3
B46	0.99998	1.00E-05	1.00E-05	3
B57	1.00E-05	0.010286	0.989704	1
B64	0.99998	1.00E-05	1.00E-05	3
B73	0.99998	1.00E-05	1.00E-05	3
B76	0.990112	0.009878	1.00E-05	3
B77	1.00E-05	1.00E-05	0.99998	1
B79	0.99998	1.00E-05	1.00E-05	3
B84	0.99998	1.00E-05	1.00E-05	3
C103	0.99998	1.00E-05	1.00E-05	3
C123	0.99998	1.00E-05	1.00E-05	3
CO106	0.960559	0.039431	1.00E-05	3
DE-2	1.00E-05	1.00E-05	0.99998	1
DE1	1.00E-05	1.00E-05	0.99998	1
EP1	0.024207	0.042431	0.933362	1
F7	0.695015	0.304975	1.00E-05	0
GT112	1.00E-05	1.00E-05	0.99998	1
H49	1.00E-05	0.016399	0.983591	1
H84	0.991558	1.00E-05	0.008432	3
H95	0.005851	0.003313	0.990836	1
H99	1.00E-05	1.00E-05	0.99998	1
K148	0.847963	0.152027	1.00E-05	3
K55	0.99998	1.00E-05	1.00E-05	3
Ki11	1.00E-05	1.00E-05	0.99998	1
M14	0.99998	1.00E-05	1.00E-05	3
