ID	Inbred	Era
10719	Tai184	CN_1960s
10722	Lv10	CN_1960s
10725	Dahuang46	CN_1960s
10737	Aijin525	CN_1960s
10740	Wu105	CN_1960s
10741	Aiji205	CN_1960s
12053	Hua160	CN_1960s
6099	Lv28	CN_1960s
6107	Huobai	CN_1960s
6115	Tangsipingtou	CN_1960s
8480	Zi330	CN_1960s
10709	Xu052	CN_1970s
10720	334_1	CN_1970s
10721	Baihe43	CN_1970s
10724	Hua94	CN_1970s
10727	Zaodahuang	CN_1970s
10730	Diangu11A	CN_1970s
10731	Longkang1	CN_1970s
10734	Yuanwu02	CN_1970s
10738	27_263	CN_1970s
10744	Weifeng322	CN_1970s
10796	Luosu3	CN_1970s
6096	Wu109	CN_1970s
6126	Lv9kuan	CN_1970s
6127	Chang3	CN_1970s
6129	Ji63	CN_1970s
6141	Huangzaosi	CN_1970s
8464	Dian11	CN_1970s
8465	Ying64	CN_1970s
8474	Ernan24	CN_1970s
10710	Baihunhuang	CN_1980s
10715	Dan341	CN_1980s
10716	Xinaiguang10	CN_1980s
10728	Dong17	CN_1980s
10729	Ken44	CN_1980s
10736	Yuanqi123	CN_1980s
10739	75_1	CN_1980s
10765	Ye502	CN_1980s
11641	Baiye4	CN_1980s
5003	5003	CN_1980s
6098	Zong31	CN_1980s
6102	5005	CN_1980s
6103	7884_7Ht	CN_1980s
6104	Huangyesi3	CN_1980s
6105	Huotanghuang17	CN_1980s
6117	Jing7	CN_1980s
6123	Dong46	CN_1980s
6128	Dong237	CN_1980s
6131	E28	CN_1980s
6132	Dan340	CN_1980s
6135	Ye107	CN_1980s
8112	8112	CN_1980s
8436	446	CN_1980s
8446	Chang72	CN_1980s
8447	Nan21_3	CN_1980s
8456	ZaC546	CN_1980s
8457	Danhuang02	CN_1980s
8459	Huang428	CN_1980s
8463	81565	CN_1980s
8468	Dan360	CN_1980s
8470	485	CN_1980s
8473	H21	CN_1980s
8477	Tie7922	CN_1980s
8478	Xi14	CN_1980s
10690	Dan9046	CN_1990s
10713	LD61	CN_1990s
10717	Cheng687	CN_1990s
10718	Hai1134	CN_1990s
10735	Qi35	CN_1990s
10745	K14	CN_1990s
10746	Tian4	CN_1990s
10758	3H_2	CN_1990s
10759	Shuang741	CN_1990s
10766	Ji53	CN_1990s
10780	S7913	CN_1990s
6097	87_1	CN_1990s
6100	18_599	CN_1990s
6101	81162	CN_1990s
6108	Longkang11	CN_1990s
6109	698_3	CN_1990s
6110	Qi319	CN_1990s
6111	Shen137	CN_1990s
6112	P138	CN_1990s
6113	Ji846	CN_1990s
6114	196	CN_1990s
6116	Ji853	CN_1990s
6118	444	CN_1990s
6119	K12	CN_1990s
6120	515	CN_1990s
6122	K10	CN_1990s
6124	Luyuan92	CN_1990s
6125	48_2	CN_1990s
6130	S37	CN_1990s
6133	Zheng22	CN_1990s
6134	Qi205	CN_1990s
6136	32	CN_1990s
6137	Denghai4866	CN_1990s
6138	Q1261	CN_1990s
6142	178	CN_1990s
8435	Yan414	CN_1990s
8437	812	CN_1990s
8438	4F1	CN_1990s
8439	4112	CN_1990s
8441	Hai014	CN_1990s
8442	434	CN_1990s
8443	Wenhuang31413	CN_1990s
8444	803	CN_1990s
8445	832	CN_1990s
8448	Ye52106	CN_1990s
8449	Suwan1611	CN_1990s
8451	7327	CN_1990s
8452	Cheng18	CN_1990s
8454	Dan599	CN_1990s
8455	HZ85	CN_1990s
8458	H152	CN_1990s
8461	C8605_2	CN_1990s
8462	Ye8001	CN_1990s
8466	Si273	CN_1990s
8467	Liao9586	CN_1990s
8475	HuangC	CN_1990s
8476	Ji842	CN_1990s
8481	Zong3	CN_1990s
8482	200B	CN_1990s
C7-2	Chang7_2	CN_1990s
Ye478	478	CN_1990s
10711	DH65232	CN_2000s
10712	A801	CN_2000s
10714	Dan99chang	CN_2000s
10723	Liao2202	CN_2000s
10726	Ji876	CN_2000s
10732	618	CN_2000s
10751	ZhongKe11M	CN_2000s
10754	Yu82	CN_2000s
10762	PH6WC	CN_2000s
10764	PH09B	CN_2000s
10768	DMY1M	CN_2000s
10769	DMY2F	CN_2000s
10770	DMY2M	CN_2000s
10777	Ay420	CN_2000s
10802	DH40	CN_2000s
10803	Lx03_2	CN_2000s
10804	PHB1M	CN_2000s
11633	DMY1F	CN_2000s
11637	PH4CV	CN_2000s
11639	8723	CN_2000s
11643	LP206M	CN_2000s
11644	LY88M	CN_2000s
6106	9058	CN_2000s
6121	Lx9801	CN_2000s
6139	Xun92_8	CN_2000s
6147	LiYu16F	CN_2000s
6148	LiYu16M	CN_2000s
6151	ZhongKe4M	CN_2000s
6154	Dan598	CN_2000s
8450	Ji533	CN_2000s
8460	8902	CN_2000s
8469	9010	CN_2000s
8471	5237	CN_2000s
8479	488	CN_2000s
Z58	Zheng58	CN_2000s
10771	DMY3F	CN_2010s
10772	DMY3M	CN_2010s
10773	PH12TB	CN_2010s
10774	KWS8855F	CN_2010s
10775	KWS8855M	CN_2010s
10806	PH11V8	CN_2010s
10807	HN887M	CN_2010s
11638	DK516M	CN_2010s
11642	DH605M	CN_2010s
12055	DK517F	CN_2010s
12056	83B28	CN_2010s
6140	HD586	CN_2010s
6145	WeiKe702F	CN_2010s
6146	WeiKe702M	CN_2010s
6149	YuYu30F	CN_2010s
6150	YuYu30M	CN_2010s
6152	DK516F	CN_2010s
6153	DK517M	CN_2010s
10687	NS501	Ex-PVP
10688	PHJ40	Ex-PVP
