trait	p12	eff12	std12	Nhap1	hap1	Nhap2	hap2
HN.B	0.235905478483208	0.927239139038435	0.780010013330491	28	16.1415379289286	183	16.8533744704372
HN.Ca	0.0770363131744886	-0.023458376580085	0.0132035527143447	27	0.434853096111111	193	0.409499978875648
HN.CHL	0.641732257093593	-3.27523911114832	7.02958617570028	28	405.458835871429	197	399.121987377665
HN.Cu	0.0903527279427025	-0.759550238585575	0.446471870794521	27	12.2563124994444	192	11.4195792036198
HN.DW	0.302129261917925	-0.266097038259234	0.257248544527302	27	7.36314596507407	190	7.21952287076316
HN.Fe	0.121265934937217	-1.86649473812193	1.19993731831965	28	103.457420623214	197	101.212404169949
HN.FW	0.226032936938074	-1.62841269552035	1.34111547538836	27	31.9003827418519	187	30.8893421231016
HN.K	0.046145657315016	0.0813626426099927	0.0405728733057152	28	2.239370324	198	2.32535627333838
HN.LA	0.570088919044586	-22.3528298946386	39.3002104450468	28	1238.28940791071	198	1230.86616027576
HN.Mg	0.638094563576614	-0.00372621402933452	0.00791087883086621	28	0.206753219142857	195	0.205959598615385
HN.Mn	0.593937603915565	-2.0381134394821	3.81656602376683	24	75.7528099466667	176	73.6101016407954
HN.N	0.853914570561044	0.00379977550076006	0.0206125832524703	28	2.81675577946429	197	2.81689422171574
HN.P	0.840557710574118	-0.00100154182626343	0.00497245007853524	28	0.299054617642857	197	0.298057633086294
HN.S	0.591960843015943	-0.00132581012593183	0.00246990781214711	27	0.186160225333333	197	0.184122235573604
HN.Zn	0.254584774869937	-1.48503483859474	1.29975524136526	23	28.6136706265217	183	27.5908087323497
LN.B	0.603605763776867	-0.235960435321056	0.453749798556952	28	14.9500728125	183	14.6092803110383
LN.Ca	0.328329432061663	-0.013700192423777	0.0139832938714735	28	0.348360850035714	188	0.329287506180851
LN.CHL	0.774743392252816	1.82790794527322	6.3793262744701	27	283.581839448148	193	281.392659764249
LN.Cu	0.434409988596882	-0.24726195641606	0.31564138803415	22	7.00485506218182	169	6.70698793692308
LN.DW	0.3769031589451	0.159493070192589	0.180121264144868	28	5.75984521460714	189	5.93955242757143
LN.Fe	0.268447076729109	-1.38471967624371	1.24806916380424	28	76.7775729825	194	74.9458664612371
LN.FW	0.481300593071521	0.588799586800844	0.834656829752367	28	23.3347348564286	192	24.1628036510417
LN.K	0.208199591208339	0.0523467717188297	0.0414708383067718	28	2.15027951567857	196	2.2274839684949
LN.LA	0.556958337759124	18.1548182855635	30.8607965946616	28	1050.61258926071	193	1078.3428836114
LN.Mg	0.757428643151855	0.00239837530377511	0.00775543066835881	28	0.153450140678571	193	0.156469010492228
LN.Mn	0.953763088454597	0.227519305292195	3.91868646320748	23	55.9412190052174	168	55.6174029055357
LN.N	0.560700296620774	-0.0167621539415257	0.0287653076466852	27	2.03337352411111	190	2.00390870318421
LN.P	0.843950301793251	0.000986923007892181	0.00500772939451596	28	0.296409353678571	193	0.297694967253886
LN.S	0.170774743936688	-0.00555866820595729	0.00404468244153881	28	0.164425807821429	192	0.156915703296875
LN.Zn	0.481548708924685	-0.81555141620596	1.15621248444102	21	21.8106942371429	154	21.1245364000649
HN_LN.B	0.130749847274451	0.070739502530615	0.0466114997957925	28	1.09129131321429	169	1.15626404011243
HN_LN.Ca	0.966086519679188	0.00197209327592857	0.0463272279058532	27	1.25309801666667	184	1.27228870105978
HN_LN.CHL	0.708665471965064	-0.0117666328794229	0.0314494272722703	27	1.43481740440741	193	1.43252848229016
HN_LN.Cu	0.954549455529754	0.00389441965891527	0.0682338877089963	21	1.70743557633333	163	1.71430227086503
HN_LN.DW	0.0509133288666041	-0.0775870924099491	0.0395077642017487	27	1.28763116337037	181	1.22750555746409
HN_LN.Fe	0.958903490076938	0.00112203575090985	0.0217493188686956	28	1.35189103610714	193	1.35605725138342
HN_LN.FW	0.0271558836129889	-0.100916492113221	0.0453479270177937	27	1.37226856459259	181	1.28604335835912
HN_LN.K	0.42153890953728	0.0131619979080385	0.0163448821710889	28	1.04494283114286	196	1.04860822039286
HN_LN.LA	0.236618156803254	-0.0330834084161733	0.0278766218031194	28	1.17560498814286	193	1.14705213896373
HN_LN.Mg	0.508421391101495	-0.0305225509687585	0.0460780503558046	28	1.37153926853571	191	1.35419403524607
HN_LN.Mn	0.449104555263197	-0.0584747672382593	0.0770739202715348	19	1.41565287805263	154	1.36931897877922
HN_LN.N	0.372664446433588	0.0173032903365123	0.0193680557650505	27	1.38749478748148	189	1.41161952444974
HN_LN.P	0.737423428519417	-0.00476108627341516	0.014182504663329	28	1.00924511814286	192	1.00325388954687
HN_LN.S	0.283173896849139	0.0272634705037224	0.0253393491916966	27	1.14982861774074	191	1.18623174077487
HN_LN.Zn	0.667094246490632	0.0291613355721687	0.0676664021399144	17	1.27633410847059	144	1.33803300411111
G_N	0.380275097390358	-0.0864160164489063	0.098259167549	26	3.30115384615385	166	3.18807228915663
G_CHL	0.342706595877709	-15.903818889617	16.7186782733445	26	531.915384615385	165	503.298787878788
G_FW	0.721327253227695	1.04841312319128	2.93486965621895	25	30.414	166	32.9780120481928
G_LA	0.845939120199445	21.178305404191	108.84469506668	25	1237.39992	166	1325.04689939759
G_DW	0.413849864118525	0.481901136082276	0.58842830176407	26	6.99384615384615	166	7.7255421686747
G_LWC	0.302552299128307	-0.00780627090208214	0.00755073797524443	25	0.76588	166	0.759407831325301
G_Thickness	0.153651657342136	2.88165731192669	2.01149240841217	25	57.4484	166	59.4162048192771
G_P	0.606749791778889	-0.016212779567429	0.0314450991613988	26	0.456538461538462	166	0.436746987951807
G_K	0.143979870293239	0.179552568275525	0.122371077528476	26	2.39807692307692	166	2.56307228915663
G_Mg	0.455678644825635	0.0191728066744727	0.0256479808853538	26	0.240384615384615	166	0.264518072289157
G_Ca	0.642107946005196	-0.0357463186706186	0.0767895795410702	26	0.813076923076923	166	0.766084337349398
G_S	0.237259140297328	-0.0359159634932573	0.0302918371554843	26	0.396153846153846	166	0.348253012048193
G_Na	0.519366926372229	-0.000145910861648151	0.000226028248796361	26	0.00196153846153846	166	0.00177710843373494
G_Fe	0.814144987284209	1.10493097231869	4.69356421894914	26	95.8076923076923	166	95.6626506024096
G_Mn	0.773335501851067	2.41752741776228	8.38161885376985	26	57.2692307692308	166	56.4096385542169
G_B	0.959244324905456	-0.463690500411114	9.06168700836936	26	65.1538461538462	166	61.4698795180723
G_Cu	0.343387888047812	-1.12555413789669	1.18491557185329	26	13.6153846153846	166	12.1566265060241
G_Zn	0.304934876757701	-9.8478852328718	9.57284789639987	26	98.9230769230769	166	84.3614457831325
CobDiameter	0.473652457347129	-0.307952745963799	0.429141918026994	34	25.7590346226471	229	25.4582400948035
CobWeight	0.287560722088464	-0.764766901112156	0.717627010195418	34	16.6231141435294	229	15.7504303972751
DaystoSilk	0.374234875781272	-1.03578095100771	1.1636520906128	34	78.4787662294118	229	79.0725385656332
DaysToTassel	0.48321880946042	-0.768891972600705	1.09505428787896	34	76.7564767073529	229	77.6185820415284
EarDiameter	0.24501916939581	-0.672389198648826	0.577060001896944	34	37.4459217547059	228	36.6537929202632
EarHeight	0.962427008216585	0.130021360058791	2.75737999420394	34	62.2807427232353	229	64.564325931441
EarLength	0.871961359963171	-0.441164125980405	2.73457942616108	34	128.530457505	229	127.856128197118
EarRankNumber	0.192177862438287	-0.5293225626576	0.404775086473117	32	22.01845394125	223	21.3135966783408
EarRowNumber	0.47065940288777	-0.193314436374812	0.267572496685084	34	13.7670085288235	228	13.4131316254386
EarWeight	0.0813223636743511	-4.71647499198175	2.69518158200894	34	69.9118056247059	227	64.2597491260352
GDDAnthesis.SilkingInterval	0.21486113426972	-3.06414568789862	2.46439285824709	34	25.9947414919412	229	22.9114242944847
GDDDaystoSilk	0.324560175679554	-14.7690124324466	14.9633161401697	34	923.321713820588	229	925.469052687773
