trait	p12	p13	p23	eff12	std12	eff13	std13	eff23	std23	Nhap1	hap1	Nhap2	hap2	Nhap3	hap3
HN.B	0.930501796011961	0.846312496695015	0.993789625183909	-0.0560311187725848	0.641560646041888	-0.193800951004354	0.997559882673528	-0.00817641619053617	1.04818198139791	91	17.2521117393407	94	16.1868552803192	26	16.80710342
HN.Ca	0.500527566259656	0.526718737174461	0.953787495603149	-0.00699895059245274	0.0103694672928205	-0.010479357199953	0.0165040815053808	-0.00094908558373785	0.0163439575491451	93	0.414443913	101	0.410040694148515	27	0.422691567740741
HN.CHL	0.618755278059655	0.215587128893983	0.494922188410363	-2.80824875743052	5.63434419852804	-10.1897671558364	8.18319389915446	-6.49154336076455	9.48418255777121	93	401.370700358065	106	396.327301161321	27	402.686760911111
HN.Cu	0.260911516143232	0.53261499802231	0.853363802514474	0.394574197232162	0.349918878109659	0.366024848920406	0.584758024033585	0.104495456727334	0.564178141832498	92	11.3534733856522	102	11.5994149188431	26	11.5325728164615
HN.DW	0.0823777195303111	0.728437599956839	0.1596465841206	0.350407126053425	0.200629873286935	-0.110096713432294	0.316316049415264	-0.442097077642214	0.312427271190586	92	6.92461593529348	98	7.61514651072449	27	7.09892018662963
HN.Fe	0.592792712347491	0.611549555936563	0.506784403432764	-0.500583877949418	0.934473490221063	-0.706560952434882	1.38747423354103	-1.12372178688219	1.68796531273806	93	101.900768955161	105	101.131055854762	28	101.492439114643
HN.FW	0.125609939072826	0.879157780419059	0.458990949772475	1.6385923857404	1.06488040826359	0.23216167041363	1.52355528953572	-1.27269910188459	1.71309135834294	90	29.3122510173333	96	32.9259930615625	28	30.6733346575
HN.K	0.827332539484029	0.0151331704848002	0.00418719821543818	0.00698122075702862	0.0319625693058415	0.131347062413405	0.0532670773607379	0.142707389494336	0.0489458083960911	93	2.29760475739785	106	2.31924982638679	28	2.34336522814286
HN.LA	0.39570086295298	0.409692752153545	0.835696938376335	26.3856905585298	30.9977775015999	40.0022320300075	48.3451991406967	9.8207508820791	47.2559516853249	93	1190.67394735591	106	1271.85309938585	28	1246.77761450357
HN.Mg	0.762188780815546	0.362485140285	0.103065478356061	-0.001879535751454	0.00620225873138468	0.00999772941226173	0.0109351403351603	0.0157575448985592	0.00959659823625421	92	0.20542099276087	104	0.206598254942308	28	0.210360784178571
HN.Mn	0.937788204112185	0.470602357641101	0.781371223072256	0.229555106768974	2.93682742545836	3.44965550191539	4.76376113681781	1.32737521501117	4.77138754513162	84	72.8196212035714	93	74.673124084086	25	74.1294767828
HN.N	0.278051594626572	0.467452716030965	0.235711513604523	-0.0175988404905799	0.0161787709003193	0.0174335759841805	0.0239133875374584	0.0342461280480621	0.0287450877857446	93	2.82766237815054	105	2.79873222184762	28	2.83435391814286
HN.P	0.837088754686179	0.431190824545399	0.504294626121563	0.000806753341039281	0.00391824630893993	0.00485691820663074	0.00614849404994599	0.00419256540042373	0.00626107868731429	92	0.299068535380435	106	0.296214181358491	28	0.297777529071429
