gid	ReadCount	CPM	FPKM	Tissue	Genotype
Zm00001d014442	83	27.56710571	10.55402209	GRoot	A556
Zm00001d014443	0	0	0	GRoot	A556
Zm00001d014444	0	0	0	GRoot	A556
Zm00001d014445	11	3.653471841	3.241767383	GRoot	A556
Zm00001d014446	0	0	0	GRoot	A556
Zm00001d014447	2	0.664267607	0.340126783	GRoot	A556
Zm00001d014449	48	15.94242258	9.312162721	GRoot	A556
Zm00001d014451	7	2.324936626	0.674285564	GRoot	A556
Zm00001d014455	7	2.324936626	1.868920117	GRoot	A556
Zm00001d014456	6	1.992802822	0.668277271	GRoot	A556
Zm00001d014458	17	5.646274663	1.68999541	GRoot	A556
Zm00001d014459	1	0.332133804	0.220980575	GRoot	A556
Zm00001d014460	3	0.996401411	0.463658172	GRoot	A556
Zm00001d014461	0	0	0	GRoot	A556
Zm00001d014462	37	12.28895074	15.15283691	GRoot	A556
Zm00001d014463	59	19.59589442	18.53916218	GRoot	A556
Zm00001d014464	0	0	0	GRoot	A556
Zm00001d014442	1080	42.97905271	16.45446122	LMAN	B73
Zm00001d014443	1	0.039795419	0.01841528	LMAN	B73
Zm00001d014444	0	0	0	LMAN	B73
Zm00001d014445	2870	114.212853	101.3423718	LMAN	B73
Zm00001d014446	156	6.208085391	4.166500263	LMAN	B73
Zm00001d014447	12	0.47754503	0.244518705	LMAN	B73
Zm00001d014449	1306	51.97281744	30.35795411	LMAN	B73
Zm00001d014451	43	1.711203025	0.49628858	LMAN	B73
Zm00001d014455	30	1.193862575	0.959696604	LMAN	B73
Zm00001d014456	1052	41.86478097	14.03916196	LMAN	B73
Zm00001d014458	1869	74.37763844	22.26208873	LMAN	B73
Zm00001d014459	1	0.039795419	0.026477325	LMAN	B73
Zm00001d014460	3	0.119386258	0.055554331	LMAN	B73
Zm00001d014461	0	0	0	LMAN	B73
Zm00001d014462	223	8.874378476	10.94251353	LMAN	B73
Zm00001d014463	743	29.56799645	27.97350657	LMAN	B73
Zm00001d014464	0	0	0	LMAN	B73
Zm00001d014442	27	17.26543615	6.61004447	GRoot	CI28A
Zm00001d014443	0	0	0	GRoot	CI28A
Zm00001d014444	8	5.115684787	5.80009613	GRoot	CI28A
Zm00001d014445	5	3.197302992	2.837003542	GRoot	CI28A
Zm00001d014446	0	0	0	GRoot	CI28A
Zm00001d014447	2	1.278921197	0.654849563	GRoot	CI28A
Zm00001d014449	12	7.67352718	4.482200456	GRoot	CI28A
Zm00001d014451	2	1.278921197	0.37091682	GRoot	CI28A
Zm00001d014455	0	0	0	GRoot	CI28A
Zm00001d014456	3	1.918381795	0.643320521	GRoot	CI28A
Zm00001d014458	2	1.278921197	0.382795928	GRoot	CI28A
Zm00001d014459	0	0	0	GRoot	CI28A
Zm00001d014460	2	1.278921197	0.59512387	GRoot	CI28A
Zm00001d014461	0	0	0	GRoot	CI28A
Zm00001d014462	18	11.51029077	14.19271365	GRoot	CI28A
Zm00001d014463	7	4.476224188	4.2348384	GRoot	CI28A
Zm00001d014464	0	0	0	GRoot	CI28A
Zm00001d014442	36	18.48683591	7.077655402	L3Base	SA24
Zm00001d014443	0	0	0	L3Base	SA24
Zm00001d014444	6	3.081139318	3.493355236	L3Base	SA24
Zm00001d014445	18	9.243417954	8.201790554	L3Base	SA24
Zm00001d014446	2	1.027046439	0.689292912	L3Base	SA24
Zm00001d014447	0	0	0	L3Base	SA24
Zm00001d014449	78	40.05481114	23.39650183	L3Base	SA24
Zm00001d014451	2	1.027046439	0.297867297	L3Base	SA24
Zm00001d014455	32	16.43274303	13.20960051	L3Base	SA24
Zm00001d014456	3	1.540569659	0.516622957	L3Base	SA24
Zm00001d014458	33	16.94626625	5.072213783	L3Base	SA24
Zm00001d014459	49	25.16263776	16.74160863	L3Base	SA24
Zm00001d014460	0	0	0	L3Base	SA24
Zm00001d014461	0	0	0	L3Base	SA24
Zm00001d014462	14	7.189325076	8.864765815	L3Base	SA24
Zm00001d014463	2	1.027046439	0.971661721	L3Base	SA24
Zm00001d014464	0	0	0	L3Base	SA24
Zm00001d014442	71	35.46482482	13.57765116	L3Tip	SA24
Zm00001d014443	0	0	0	L3Tip	SA24
Zm00001d014444	7	3.496532024	3.964322023	L3Tip	SA24
Zm00001d014445	370	184.8166927	163.9899669	L3Tip	SA24
Zm00001d014446	6	2.997027449	2.011427818	L3Tip	SA24
Zm00001d014447	3	1.498513725	0.767288133	L3Tip	SA24
Zm00001d014449	56	27.97225619	16.33893469	L3Tip	SA24
Zm00001d014451	2	0.99900915	0.289735832	L3Tip	SA24
Zm00001d014455	15	7.492568623	6.022965131	L3Tip	SA24
Zm00001d014456	72	35.96432939	12.06047263	L3Tip	SA24
Zm00001d014458	39	19.48067842	5.830792703	L3Tip	SA24
Zm00001d014459	0	0	0	L3Tip	SA24
Zm00001d014460	2	0.99900915	0.464871638	L3Tip	SA24
Zm00001d014461	0	0	0	L3Tip	SA24
Zm00001d014462	6	2.997027449	3.695471578	L3Tip	SA24
Zm00001d014463	29	14.48563267	13.70447746	L3Tip	SA24
Zm00001d014464	0	0	0	L3Tip	SA24
Zm00001d014442	103	46.70094422	17.8793814	Kern	SA24
Zm00001d014443	10	4.534072255	2.098136166	Kern	SA24
Zm00001d014444	2	0.906814451	1.028134298	Kern	SA24
Zm00001d014445	30	13.60221676	12.06940263	Kern	SA24
Zm00001d014446	1	0.453407225	0.304300151	Kern	SA24
Zm00001d014447	0	0	0	Kern	SA24
Zm00001d014449	41	18.58969624	10.85846743	Kern	SA24
Zm00001d014451	0	0	0	Kern	SA24
Zm00001d014455	0	0	0	Kern	SA24
Zm00001d014456	0	0	0	Kern	SA24
Zm00001d014458	5	2.267036127	0.678550173	Kern	SA24
Zm00001d014459	1	0.453407225	0.301668147	Kern	SA24
Zm00001d014460	0	0	0	Kern	SA24
Zm00001d014461	0	0	0	Kern	SA24
Zm00001d014462	8	3.627257804	4.472574357	Kern	SA24
Zm00001d014463	3	1.360221676	1.286870082	Kern	SA24
Zm00001d014464	0	0	0	Kern	SA24
Zm00001d014442	95	40.76570673	15.60708527	LMAD	SC213R
Zm00001d014443	1	0.429112702	0.198571357	LMAD	SC213R
Zm00001d014444	10	4.291127024	4.865223384	LMAD	SC213R
Zm00001d014445	365	156.6261364	138.9761636	LMAD	SC213R
Zm00001d014446	14	6.007577834	4.031931432	LMAD	SC213R
Zm00001d014447	3	1.287338107	0.659159297	LMAD	SC213R
Zm00001d014449	75	32.18345268	18.79874573	LMAD	SC213R
Zm00001d014451	1	0.429112702	0.12445264	LMAD	SC213R
Zm00001d014455	2	0.858225405	0.689891805	LMAD	SC213R
Zm00001d014456	50	21.45563512	7.195048666	LMAD	SC213R
Zm00001d014458	160	68.65803239	20.55014438	LMAD	SC213R
Zm00001d014459	0	0	0	LMAD	SC213R
Zm00001d014460	2	0.858225405	0.399360356	LMAD	SC213R
Zm00001d014461	0	0	0	LMAD	SC213R
Zm00001d014462	7	3.003788917	3.703808776	LMAD	SC213R
