Gene	Tissue	Chisq_P_value
Zm00001d014442	GRoot	0.00210792612048515
Zm00001d014442	GShoot	0.0387685473239929
Zm00001d014442	L3Base	0.000227909430948247
Zm00001d014442	L3Tip	0.620441359283006
Zm00001d014442	LMAD	0.000156750575130398
Zm00001d014442	LMAN	0.00171021454824926
Zm00001d014442	Kern	0.500017717728017
Zm00001d014443	GRoot	0.512165485932001
Zm00001d014443	GShoot	0.649982421508421
Zm00001d014443	L3Base	0.226181868890149
Zm00001d014443	L3Tip	0.0187055066588212
Zm00001d014443	LMAD	0.620441359283006
Zm00001d014443	LMAN	0.736293544394279
Zm00001d014443	Kern	0.026053969938527
Zm00001d014444	GRoot	0.124092757358751
Zm00001d014444	GShoot	0.210837706555858
Zm00001d014444	L3Base	0.857050133080179
Zm00001d014444	L3Tip	0.316921982204086
Zm00001d014444	LMAD	0.0143695423366585
Zm00001d014444	LMAN	0.0566839403220149
Zm00001d014444	Kern	0.0119887254805358
Zm00001d014445	GRoot	0.718279856970693
Zm00001d014445	GShoot	0.000227909430948247
Zm00001d014445	L3Base	0.00550853839239777
Zm00001d014445	L3Tip	0.409327988564349
Zm00001d014445	LMAD	0.00125127374814718
Zm00001d014445	LMAN	0.0380017538574772
Zm00001d014445	Kern	0.000227909430948247
Zm00001d014446	GRoot	0.0605260048234094
Zm00001d014446	GShoot	0.151730188851133
Zm00001d014446	L3Base	0.162720751268169
Zm00001d014446	L3Tip	0.0511329000413655
Zm00001d014446	LMAD	0.125315516595307
Zm00001d014446	LMAN	0.0826821201221193
Zm00001d014446	Kern	0.642800480254435
Zm00001d014447	GRoot	0.0834840563062852
Zm00001d014447	GShoot	0.026053969938527
Zm00001d014447	L3Base	0.0208567105007154
Zm00001d014447	L3Tip	0.00278940529407914
Zm00001d014447	LMAD	0.632898472286964
Zm00001d014447	LMAN	0.218025186172545
Zm00001d014447	Kern	0.226181868890149
Zm00001d014449	GRoot	0.468120376700073
Zm00001d014449	GShoot	0.802110761005126
Zm00001d014449	L3Base	0.0826821201221193
Zm00001d014449	L3Tip	0.0143695423366585
Zm00001d014449	LMAD	1
Zm00001d014449	LMAN	0.2332329571093
Zm00001d014449	Kern	0.792657950817598
Zm00001d014451	GRoot	0.736293544394279
Zm00001d014451	GShoot	0.895120207822984
Zm00001d014451	L3Base	7.65222202462329e-05
Zm00001d014451	L3Tip	0.00352357247429955
Zm00001d014451	LMAD	0.238775569024312
Zm00001d014451	LMAN	0.802110761005126
Zm00001d014451	Kern	0.00599417812808821
Zm00001d014455	GRoot	0.237992359640796
Zm00001d014455	GShoot	0.0588501340586726
Zm00001d014455	L3Base	0.126392440905982
Zm00001d014455	L3Tip	0.736293544394279
Zm00001d014455	LMAD	0.718279856970693
Zm00001d014455	LMAN	0.0119887254805358
Zm00001d014455	Kern	0.39329237917299
Zm00001d014456	GRoot	0.000256949928657654
Zm00001d014456	GShoot	0.00896016695122887
Zm00001d014456	L3Base	0.981185919027762
Zm00001d014456	L3Tip	0.00978619119471496
Zm00001d014456	LMAD	0.000585719006810195
Zm00001d014456	LMAN	0.00599417812808821
Zm00001d014456	Kern	0.00200655592412864
Zm00001d014458	GRoot	0.000148546822955133
Zm00001d014458	GShoot	0.126392440905982
Zm00001d014458	L3Base	1
Zm00001d014458	L3Tip	0.00110429012288603
Zm00001d014458	LMAD	0.9416234922647
Zm00001d014458	LMAN	0.64791101582393
Zm00001d014458	Kern	0.00107246380307558
Zm00001d014459	GRoot	0.477972937297801
Zm00001d014459	GShoot	0.792657950817598
Zm00001d014459	L3Base	0.224777201199727
Zm00001d014459	L3Tip	0.00318999978456457
Zm00001d014459	LMAD	0.00278940529407914
Zm00001d014459	LMAN	0.162720751268169
Zm00001d014459	Kern	0.000194789796146713
Zm00001d014460	GRoot	0.0358336185229306
Zm00001d014460	GShoot	0.752418122486046
Zm00001d014460	L3Base	0.310567489666853
Zm00001d014460	L3Tip	0.310567489666853
Zm00001d014460	LMAD	0.0566839403220149
Zm00001d014460	LMAN	0.510971040261894
Zm00001d014460	Kern	0.0162012383731941
Zm00001d014461	GRoot	0.64791101582393
Zm00001d014461	GShoot	NaN
Zm00001d014461	L3Base	0.0286442954657443
Zm00001d014461	L3Tip	0.000938875391593594
Zm00001d014461	LMAD	0.000283257401639339
Zm00001d014461	LMAN	1
Zm00001d014461	Kern	NaN
Zm00001d014462	GRoot	0.00107246380307558
Zm00001d014462	GShoot	0.00347907397713961
Zm00001d014462	L3Base	0.500017717728017
Zm00001d014462	L3Tip	0.620441359283006
Zm00001d014462	LMAD	0.791762270600134
Zm00001d014462	LMAN	0.30382768541489
Zm00001d014462	Kern	0.0143695423366585
Zm00001d014463	GRoot	0.400149201285853
Zm00001d014463	GShoot	0.0511329000413655
Zm00001d014463	L3Base	0.0605260048234094
Zm00001d014463	L3Tip	0.999999999999999
Zm00001d014463	LMAD	0.0187055066588212
Zm00001d014463	LMAN	0.00110429012288603
Zm00001d014463	Kern	0.0245943599211111
Zm00001d014464	GRoot	NaN
Zm00001d014464	GShoot	NaN
Zm00001d014464	L3Base	NaN
Zm00001d014464	L3Tip	NaN
Zm00001d014464	LMAD	NaN
Zm00001d014464	LMAN	NaN
Zm00001d014464	Kern	NaN
