gid	ReadCount	CPM	FPKM	Tissue	Genotype
Zm00001d014451	7	2.324936626	0.674285564	GRoot	A556
Zm00001d014456	6	1.992802822	0.668277271	GRoot	A556
Zm00001d014458	17	5.646274663	1.68999541	GRoot	A556
Zm00001d014451	43	1.711203025	0.49628858	LMAN	B73
Zm00001d014456	1052	41.86478097	14.03916196	LMAN	B73
Zm00001d014458	1869	74.37763844	22.26208873	LMAN	B73
Zm00001d014451	2	1.278921197	0.37091682	GRoot	CI28AGoodman-Buckler
Zm00001d014456	3	1.918381795	0.643320521	GRoot	CI28AGoodman-Buckler
Zm00001d014458	2	1.278921197	0.382795928	GRoot	CI28AGoodman-Buckler
Zm00001d014451	2	1.027046439	0.297867297	L3Base	SA24
Zm00001d014456	3	1.540569659	0.516622957	L3Base	SA24
Zm00001d014458	33	16.94626625	5.072213783	L3Base	SA24
Zm00001d014451	2	0.99900915	0.289735832	L3Tip	SA24
Zm00001d014456	72	35.96432939	12.06047263	L3Tip	SA24
Zm00001d014458	39	19.48067842	5.830792703	L3Tip	SA24
Zm00001d014451	0	0	0	Kern	SA24
Zm00001d014456	0	0	0	Kern	SA24
Zm00001d014458	5	2.267036127	0.678550173	Kern	SA24
Zm00001d014451	1	0.429112702	0.12445264	LMAD	SC213R
Zm00001d014456	50	21.45563512	7.195048666	LMAD	SC213R
Zm00001d014458	160	68.65803239	20.55014438	LMAD	SC213R
Zm00001d014451	6	2.087424836	0.605401635	LMAN	SC213R
Zm00001d014456	36	12.52454902	4.200049972	LMAN	SC213R
Zm00001d014458	98	34.09460566	10.2049104	LMAN	SC213R
Zm00001d014451	10	3.631811957	1.053309732	GShoot	SC213R
Zm00001d014456	6	2.179087174	0.730746873	GShoot	SC213R
Zm00001d014458	47	17.0695162	5.109103921	GShoot	SC213R
Zm00001d014451	2	2.078410813	0.602787359	L3Tip	SC213R
Zm00001d014456	5	5.196027033	1.742463794	L3Tip	SC213R
Zm00001d014458	62	64.43073521	19.28486537	L3Tip	SC213R
Zm00001d014451	7	3.62808098	1.052227662	GShoot	Il677a
Zm00001d014456	11	5.701270112	1.911894739	GShoot	Il677a
Zm00001d014458	29	15.0306212	4.498839031	GShoot	Il677a
Zm00001d014451	4	1.785428652	0.517815734	GRoot	Il677a
Zm00001d014456	8	3.570857304	1.197470592	GRoot	Il677a
Zm00001d014458	27	12.0516434	3.607196469	GRoot	Il677a
Zm00001d014451	4	2.642754796	0.766460208	L3Tip	Il677a
Zm00001d014456	116	76.63988909	25.7008347	L3Tip	Il677a
Zm00001d014458	172	113.6384562	34.01330626	L3Tip	Il677a
Zm00001d014451	21	10.12913106	2.937683022	GShoot	CI21E
Zm00001d014456	6	2.894037446	0.970502162	GShoot	CI21E
Zm00001d014458	30	14.47018723	4.331094651	GShoot	CI21E
Zm00001d014451	2	0.646811041	0.187590209	L3Base	Il677a
Zm00001d014456	39	12.6128153	4.229649664	L3Base	Il677a
Zm00001d014458	117	37.8384459	11.32548515	L3Base	Il677a
Zm00001d014451	3	1.560880355	0.452691518	L3Tip	Yu796
Zm00001d014456	4	2.081173806	0.697912075	L3Tip	Yu796
Zm00001d014458	123	63.99609455	19.15477239	L3Tip	Yu796
Zm00001d014451	0	0	0	Kern	Yu796
Zm00001d014456	6	2.056971157	0.689795827	Kern	Yu796
Zm00001d014458	9	3.085456735	0.923512941	Kern	Yu796
Zm00001d014451	0	0	0	Kern	T232
Zm00001d014456	4	2.079009662	0.697186339	Kern	T232
Zm00001d014458	14	7.276533817	2.177950858	Kern	T232
Zm00001d014451	1	0.703195008	0.203942868	L3Tip	T232
Zm00001d014456	44	30.94058036	10.37578148	L3Tip	T232
Zm00001d014458	57	40.08211547	11.99704145	L3Tip	T232
Zm00001d014451	2	1.267202632	0.367518165	L3Base	T232
Zm00001d014456	2	1.267202632	0.424950581	L3Base	T232
Zm00001d014458	28	17.74083685	5.310037967	L3Base	T232
Zm00001d014451	6	2.246100321	0.651421207	GRoot	T232
