Genotype	X.1060..pyruvic.acid..6.714	X.971..oxalic.acid..7.883	X.6287..L.valine.2..9.151	X.700..ethanolamine..9.879	X.6106..L.leucine.2..9.945	X.938..nicotinic.acid..10.27	X.791..DL.isoleucine.2..10.225	X.444266..maleic.acid..10.323	X.439194..glyceric.acid..10.735	X.444972..fumaric.acid..10.94	X.439742..beta.cyano.L.alanine..11.288	X.6288..L.threonine.2..11.464	X.239..Beta..alanine..1..12.044	X.12647..L.homoserine.2..12.359	X.5960..aspartic.acid.2..13.207	X.5810..trans.4.hydroxy.L.proline.2..13.267	X.119..gamma.aminobutyric.acid..GABA...13.326	X.5460407..threonic.acid..13.652	X.1001..phenethylamine..13.742	X.51..alpha.ketoglutaric.acid..13.859	X.738..L.glutamine.2..14.083	X.236..L.asparagine.2..14.984	X.2724705..1.6.anhydro.glucose..15.326	X.6912..xylitol..15.376	X.827..ribitol..15.66	X.754..glycerol.1.phosphate..16.056	X.439183..3.phosphoglyceric.acid..16.504	X.6262..L.ornithine.2..16.632	X.9750..citrulline.2..16.691	X.835..dehydroascorbic.acid..1..16.863	X.204..allantoin.1..17.293	X.448388..D.allose.1..17.278	X.5962..L.lysine.2..17.643	X.637542..4.hydroxycinnamic.acid..17.854	X.6057..tyrosine.2..17.871	X.128869..galactonic.acid.2..18.504	X.5460673..D.saccharic.acid..18.614	X.3037582..mucic.acid..18.907	X.1549111..caffeic.acid..19.755	X.5280450..linoleic.acid..20.399	X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65	X.439958..D.glucose.6.phosphate.1..21.394	X.60961..adenosine..23.825	X.5460935..turanose.1..24.81	X.6255..maltose.1..24.702	X.6255..maltose..2..24.915	X.642609..trans.caftaric.acid.2..25.529	X.6537496..chlorogenic.acid.1..26.37	X.439451..galactinol.2..26.479	X.2116..alpha.tocophereol..27.379	X.6537496..chlorogenic.acid.2..27.18._alt	X.5321515..stigmasterol..28.442	X.5321342..beta.sitosterol..28.848	X.439242..Raffinose..29.282	X.750..glycine..10.456..s100	X.5951..L.serine.2..11.174..s100	X.92824..D.malic.acid..12.794..s100	X.33032..L.glutamic.acid.3..dehydrated...13.232..s100	X.444212..trans.aconitic.acid..15.842..s100	X.8742..shikimic.acid..16.433..s100	X.311..citric.acid..16.615..s100	X.6508..quinic.acid..17.076..s100	X.5984..fructose.1..17.18..s100	X.892..myo.inositol..19.354..s100	X.5988..Sucrose..23.988..s100	X.6537496..chlorogenic.acid.2..27.18..s100
33-16	0.020022561	0.00023342	0.018337559	0.003844321	0.005369151	0.000368257	0.00467504	3.09E-05	0.007865096	0.004158958	0.003534406	0.015658321	0.003503119	0.001260517	0.057393315	0.000447556	0.004348695	0.005830186	4.07E-05	0.013521139	0.000648657	0.030577865	0.001295198	0.001669162	0.01980198	0.01162269	0.00497241	0.003302462	0.001194008	0.002934007	0.002386442	0.000902737	0.000976576	0.000508555	0.022449341	0.000834064	0.000848625	0.004295812	0.005230427	6.71E-05	0.000134444	0.020678547	0.000430093	0.004450868	0.002658085	0.002290221	0.000287237	0.000197066	0.042526112	0.000688306	0.01284946	0.000257426	0.001748952	0.030956502	0.127727545	0.075749452	0.024169982	0.007523293	0.016455799	0.040906501	0.018319779	0.052533918	0.044179694	0.061062188	1.325649095	0.004738552
38-11Goodman-Buckler	0.00534334	0.000210505	0.041072909	0.017587663	0.023171514	0.002585271	0.016594487	0.000202671	0.010344005	0.010227633	0.021175669	0.027481117	0.01686414	0.002317344	0.085480036	0.001737543	0.028773952	0.008770365	4.00E-05	0.003170449	0.002154503	0.072056795	0.000856424	0.001439146	0.019455253	0.022526125	0.003205301	0.005544087	0.004045527	0.000931704	0.02566305	0.001879207	0.003058591	0.005761296	0.045117373	0.000724452	0.002203163	0.002529973	0.006898061	0.003118005	0.001415978	0.012955763	0.002213718	0.000832194	0.003207491	0.001158539	3.56E-05	0.008548176	0.011529695	0.000840824	0.00429314	0.001659874	0.002238878	0.015113519	0.096012555	0.08610125	0.024480703	0.017758061	0.015612694	0.013158745	0.042429791	0.00100656	0.07287638	0.062347914	0.602003421	0.039241128
4226	0.009441017	0.000286631	0.006946429	0.002352019	0.00061143	0.000156403	NA	0.000129731	0.009321389	0.004826005	0.000287627	0.007447039	0.005523226	0.001838322	0.066619977	0.000445821	0.007673607	0.007911919	0.000101117	0.008821924	0.000361772	0.003008583	0.001272125	0.000986589	0.020449898	0.004217361	0.018548627	0.004054389	0.001259934	0.000539325	0.001958498	0.000583762	0.000470404	0.001522281	0.0139576	0.000687069	0.001034162	0.005317259	0.008769275	0.000261053	0.000757035	0.02567644	0.000173024	0.003526212	0.002516682	NA	0.000217213	0.001932422	0.022019403	NA	0.017467141	NA	NA	0.015013856	0.106837239	0.085079833	0.044048139	0.011664356	0.018706553	0.049972072	0.050258806	0.059520328	0.073776762	0.062817773	0.978722013	0.007552584
4722	0.005982779	0.000115204	0.011675329	0.004031933	0.00473508	0.001114674	0.004877909	5.18E-05	0.009243198	0.002748594	0.000597947	0.013555025	0.001097318	0.002499637	0.09374374	0.004870887	0.001574297	0.008015572	0.006374763	0.006023653	0.000409739	0.002571648	0.001436503	NA	0.020833333	0.009073407	0.007051213	0.012997225	0.00205969	0.002385891	0.005254259	0.000635111	0.001358596	0.001389534	0.019404581	0.000626499	0.000603975	0.007789206	0.008647769	0.001196821	0.000116794	0.017049297	0.000349122	0.000899239	0.003639021	0.004531635	0.000142895	0.000842597	0.008736739	1.66E-05	0.060507485	NA	NA	0.017872881	0.048463057	0.037676255	0.027178511	0.015461083	0.023822617	0.070889735	0.027700226	0.094402143	0.057007896	0.076128032	0.534454315	0.01036379
A6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A188	0.004842941	0.000637615	0.030293419	0.03592098	0.01585584	0.000246675	0.016355629	3.97E-05	0.008761176	0.012680781	0.001248171	0.01493956	0.002450584	0.002737606	0.082372743	0.000812157	0.001880101	0.010106689	0.004676482	0.003583467	0.000800375	0.004983575	0.00076311	NA	0.023041475	0.008858654	0.007859076	0.006727494	0.00229988	0.002374821	0.007644802	0.001018485	0.001950658	0.002513331	0.040069312	0.00146998	0.001960864	0.020636924	0.017353358	0.000748725	0.000135017	0.038083102	0.000146457	0.000488555	0.006806956	0.005046871	NA	0.000488007	0.005835464	0.00077318	0.026392172	0.000272637	0.00154314	0.006565488	0.189763873	0.090379126	0.060463241	0.01178983	0.007434123	0.049132662	0.050998368	0.014444873	0.082119787	0.062393529	1.606631582	0.008029714
A214NGoodman-Buckler	0.004015188	0.00022602	0.008553778	0.003706376	0.001880912	0.000681471	0.001274465	4.65E-05	0.024957004	0.00612793	0.001838474	0.009445797	0.002998887	0.001990417	0.07127635	0.000631644	0.009507622	0.005330008	0.00065722	0.00448409	0.00042438	0.015901737	0.001331049	0.000861453	0.020242915	0.011077007	0.008432906	0.003768833	0.001506738	0.000607836	0.004970106	0.000456966	0.001428745	0.00337003	0.021180718	0.000328579	0.000779103	0.002768131	0.008651032	0.000843328	0.000117273	0.015883802	0.00014828	0.001631525	0.002039675	0.001801214	0.000656399	0.001654828	0.002780319	0.000770009	0.007539372	0.001223881	0.003741426	0.002616188	0.108631501	0.084719672	0.016939067	0.006814567	0.01334925	0.017218951	0.023966589	0.002640645	0.025889271	0.044994396	0.714075367	0.001375082
A239	0.008287456	NA	0.023380841	0.002476246	0.004018632	0.001005555	0.004152804	6.69E-05	0.012765173	0.004624835	0.008334244	0.012148064	0.005660011	0.001675643	0.085095545	0.001469987	0.010929746	0.006590986	NA	0.008270851	0.001581364	0.058159449	0.002112144	0.001444729	0.020661157	0.027080611	0.00231379	0.004651008	0.002973043	0.001858152	0.00663897	0.000814744	0.001054665	0.003385411	0.026030168	0.000404488	0.00083951	0.002693089	0.006488967	0.001673955	0.000105466	0.013214619	6.32E-05	0.000243368	0.004732623	0.002129452	0.000149088	0.000284035	0.009265923	0.001407087	0.011282661	0.001173429	0.004414676	0.014115692	0.18371361	0.118581362	0.015583676	0.02113563	0.006131181	0.024056414	0.034088136	0.011769403	0.135853423	0.050140124	0.923657857	0.007677841
A441-5	0.008580967	0.000358277	0.010333536	0.005044822	0.004539898	0.000848193	0.004731835	1.08E-05	0.023291147	0.003441795	0.003507843	0.014554619	0.001071554	0.002550369	0.058490632	0.000699718	0.002015697	0.019347779	0.00017072	0.010016397	0.00032011	0.016964779	0.003011413	0.001999927	0.01996008	0.005935296	0.004144103	0.002515936	0.0009793	0.000772432	0.027413309	0.000783745	0.000699299	0.003918913	0.014012443	0.00024812	0.001960161	0.006361944	0.011611006	3.14E-05	0.000100063	0.011589485	0.000467786	0.001549434	0.00189716	0.004043735	0.016669617	0.003593813	0.006490727	NA	0.036673272	NA	NA	0.002499367	0.09460477	0.067799265	0.00919454	0.006835576	0.015867599	0.025377323	0.014281824	0.0200635	0.058230443	0.077166171	0.27052729	0.001699045
A554	0.012506209	0.000328939	0.012196058	0.009337197	0.004400193	0.000170409	0.003996728	6.49E-05	0.007153576	0.010287181	0.000177776	0.011238878	0.006572336	0.001663828	0.086573318	0.000672384	0.002928589	0.005256406	7.47E-05	0.005858491	0.000401466	0.000756504	0.002574122	NA	0.019083969	0.005675462	0.004973667	0.006607228	0.003784745	0.002114806	0.001973408	0.000557427	0.000681636	0.00780386	0.022055675	0.000813554	0.000937078	0.00550511	0.005126201	NA	0.000136944	0.013470584	4.00E-05	0.002957542	0.0024257	0.001516205	3.53E-05	0.001860335	0.01517256	0.000447552	0.00595369	0.000310722	0.001579309	0.019913456	0.107632826	0.077509593	0.039982439	0.010233525	0.023702696	0.019972186	0.024965233	0.00783534	0.119934627	0.06474465	1.049148835	0.004986702
