ID	Zm00001d014451-mean	Zm00001d014456-mean	Zm00001d014458-mean	Zm00001d014451-sd	Zm00001d014456-sd	Zm00001d014458-sd	Genotype	Tissue	Treatment	Era
K55-Leaf-HN-OLD	1.655884	3.0213255	20.4652575	0.216798939	0.0591848	2.9175346	K55	Leaf	HN	OLD
K55-Leaf-LN-OLD	0.9185585	5.195843	39.6508975	0.175535723	0.319953091	4.634732104	K55	Leaf	LN	OLD
W153R-Leaf-HN-OLD	1.1506172	2.091127	20.3583675	0.307565711	0.812957838	3.105183769	W153R	Leaf	HN	OLD
W153R-Leaf-LN-OLD	1.4033335	5.371889	38.2568215	0.568343439	2.726443942	2.336708605	W153R	Leaf	LN	OLD
B73-Leaf-HN-NEW	0.1762214	7.2822456	21.82526775	0.102796638	0.076445597	1.949685658	B73	Leaf	HN	NEW
B73-Leaf-LN-NEW	0.23524365	10.05229675	38.42647505	0.114080153	1.121592907	3.448252534	B73	Leaf	LN	NEW
SD-Leaf-HN-NEW	0.33366985	5.6816916	12.9083153	0.027502989	0.163040722	0.076101802	SD	Leaf	HN	NEW
SD-Leaf-LN-NEW	0.4667896	12.830548	34.22018455	0.018671155	1.118387379	2.363584107	SD	Leaf	LN	NEW
K55-Root-HN-OLD	0.40737025	2.9125594	14.95422705	0.006133232	0.640699696	1.300103993	K55	Root	HN	OLD
K55-Root-LN-OLD	0.8740073	2.92303435	18.5107842	0.450172037	0.0570847	0.80082926	K55	Root	LN	OLD
W153R-Root-HN-OLD	0.66236095	3.9194268	11.640636	0.151005411	0.348759489	2.802480549	W153R	Root	HN	OLD
W153R-Root-LN-OLD	1.2598145	2.9978925	11.178952	0.161305906	0.163649258	1.271837612	W153R	Root	LN	OLD
B73-Root-HN-NEW	0.6928741	1.3256954	9.1605951	0.295391878	0.36022565	1.30780474	B73	Root	HN	NEW
B73-Root-LN-NEW	0.77953445	1.88799155	14.0207675	0.063851813	0.069026279	2.572787234	B73	Root	LN	NEW
SD-Root-HN-NEW	0.7195152	1.4263134	10.4293629	0.373404706	0.093124832	0.667170663	SD	Root	HN	NEW
SD-Root-LN-NEW	1.10508755	1.89642615	15.0491551	0.377414638	0.576460106	0.369965198	SD	Root	LN	NEW
