Gene	Leaf_New_vs_Old_Fd	Leaf_New_vs_Old_q_value	Root_New_vs_Old_fd	Root_New_vs_Old_q_value
Zm00001d027805	-1.09743887	3.00E-10	-1.88954806	1.08E-13
Zm00001d049539	2.013144957	0.004678725	-0.353037297	0.792903467
Zm00001d003025	2.781270635	1.32E-05	0.293531166	0.828928906
Zm00001d038730	-1.799816143	2.24E-09	-1.355158643	0.017943626
Zm00001d040627	-1.544514993	0.000197187	0.886027597	0.886149317
Zm00001d014451	-2.304328318	1.03E-05	0.552240725	0.386252566
Zm00001d053684	2.628980777	0.001857499	0.658496658	0.525595664
Zm00001d052165	5.298157784	2.84E-11	2.920778508	1.48E-05
Zm00001d020892	1.078538959	0.001449242	1.110750027	0.177660799
Zm00001d047842	1.863606648	0.00187137	0.466218825	0.138741991
Zm00001d033945	-2.880587859	0.005367637	-0.43048378	0.371492659
Zm00001d038948	1.798116736	0.000282008	-0.031739674	0.983469324
Zm00001d014456	1.52446221	4.64E-08	-1.159091446	3.27E-08
Zm00001d018206	2.398579981	0.001122867	-0.194977963	0.8783171
Zm00001d017925	-1.122554364	0.000475878	2.009333179	2.06E-08
Zm00001d051756	-2.271087396	0.002167626	0.269003548	0.470062319
Zm00001d043859	-6.744882578	1.23E-07	-7.930079398	1.10E-11
Zm00001d022538	-4.016913765	0.000165058	-5.304558683	0.004268296
Zm00001d025833	-5.665929295	2.43E-11	0.010462962	1
Zm00001d013412	1.300210864	5.06E-11	0.191117369	0.693022482
Zm00001d010056	-1.152414466	1.15E-08	0.236324766	0.350045286
