source	name_s	target	name_t	interaction
Zm00001d006645		Zm00001d052165		pp
Zm00001d003058		Zm00001d018206		pp
Zm00001d003025	AMT3	Zm00001d052165		pp
Zm00001d003025		Zm00001d038948		pp
Zm00001d003025		Zm00001d018206		pp
Zm00001d033149		Zm00001d018206		pp
Zm00001d013873		Zm00001d018206		pp
Zm00001d035390		Zm00001d018206		pp
Zm00001d006889		Zm00001d018206		pp
Zm00001d032688		Zm00001d018206		pp
Zm00001d003271		Zm00001d018206		pp
Zm00001d048794		Zm00001d038948		pp
Zm00001d033480		Zm00001d052165		pp
Zm00001d049187		Zm00001d052165		pp
Zm00001d038332		Zm00001d038948		pp
Zm00001d011525		Zm00001d018206		pp
Zm00001d008746		Zm00001d018206		pp
Zm00001d033347		Zm00001d052165		pp
Zm00001d033347		Zm00001d018206		pp
Zm00001d033945	GAGA34	Zm00001d052165		pp
Zm00001d033945		Zm00001d038948		pp
Zm00001d033945		Zm00001d018206		pp
Zm00001d034388		Zm00001d018206		pp
Zm00001d049068		Zm00001d018206		pp
Zm00001d052964		Zm00001d018206		pp
Zm00001d010056		Zm00001d038948		pp
Zm00001d010056		Zm00001d018206		pp
Zm00001d013289		Zm00001d018206		pp
Zm00001d013692		Zm00001d038948		pp
Zm00001d013692		Zm00001d018206		pp
Zm00001d051843		Zm00001d052165		pp
Zm00001d053684		Zm00001d052165		pp
Zm00001d053569		Zm00001d018206		pp
Zm00001d041784		Zm00001d018206		pp
Zm00001d053776		Zm00001d018206		pp
Zm00001d048868		Zm00001d018206		pp
Zm00001d023263		Zm00001d038948		pp
Zm00001d005458		Zm00001d052165		pp
Zm00001d005458		Zm00001d018206		pp
Zm00001d038948		Zm00001d054044		pp
Zm00001d038948		Zm00001d052165		pp
Zm00001d038948		Zm00001d009676		pp
Zm00001d038948		Zm00001d045450		pp
Zm00001d038948	GS1	Zm00001d018206		pp
Zm00001d038948		Zm00001d033805		pp
Zm00001d034099		Zm00001d052165		pp
Zm00001d034099		Zm00001d018206		pp
Zm00001d048981		Zm00001d018206		pp
Zm00001d013036		Zm00001d018206		pp
Zm00001d049023		Zm00001d018206		pp
Zm00001d036513		Zm00001d018206		pp
Zm00001d018206	nnr2	Zm00001d026277		pp
Zm00001d018206		Zm00001d002346		pp
Zm00001d018206		Zm00001d003559		pp
Zm00001d018206		Zm00001d054044		pp
Zm00001d018206		Zm00001d052165		pp
Zm00001d018206		Zm00001d019034		pp
Zm00001d018206		Zm00001d012100		pp
Zm00001d052165		Zm00001d030062		pp
