source	target	interaction
Zm00001d027805	Zm00001d040627	pp
Zm00001d049539	Zm00001d040627	pp
Zm00001d003025	Zm00001d014451	pp
Zm00001d003025	Zm00001d053684	pp
Zm00001d003025	Zm00001d052165	pp
Zm00001d003025	Zm00001d020892	pp
Zm00001d003025	Zm00001d047842	pp
Zm00001d003025	Zm00001d033945	pp
Zm00001d003025	Zm00001d038948	pp
Zm00001d003025	Zm00001d014456	pp
Zm00001d003025	Zm00001d018206	pp
Zm00001d038730	Zm00001d040627	pp
Zm00001d040627	Zm00001d017925	pp
Zm00001d040627	Zm00001d051756	pp
Zm00001d040627	Zm00001d043859	pp
Zm00001d040627	Zm00001d014451	pp
Zm00001d040627	Zm00001d014456	pp
Zm00001d040627	Zm00001d022538	pp
Zm00001d040627	Zm00001d025833	pp
Zm00001d040627	Zm00001d013412	pp
Zm00001d040627	Zm00001d020892	pp
Zm00001d040627	Zm00001d010056	pp
