Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	L_HN_m	L_LN_m
Zm00001d043084	76.11784391	-16.38731502	4.285361585	-3.824021544	0.000131292	0.001396493	0.595301197	1.825407998
Zm00001d023873	432.812618	-12.58592244	1.139257349	-11.0474797	2.25e-28	9.98e-26	97.23225872	0.234364749
Zm00001d012069	196.0940132	-10.49132532	1.420330685	-7.386537118	1.51e-13	1.3e-11	15.45901093	0.149588302
Zm00001d023870	64.90185067	-9.887334242	1.234248059	-8.010816117	1.14e-15	1.35e-13	11.17040006	0.011891496
Zm00001d020921	62.00219528	-9.707531001	1.578839463	-6.148523158	7.82e-10	3.18e-08	2.029586679	0.116283887
Zm00001d027695	277.0854917	-9.43597464	1.917786638	-4.920242145	8.64e-07	1.74e-05	59.88121854	5.224540709
Zm00001d042376	283.6500516	-8.968167483	0.845421966	-10.60791869	2.74e-26	1.02e-23	21.72253308	0.155790413
Zm00001d040836	268.2400036	-8.232203522	1.063090159	-7.743655094	9.66e-15	1.01e-12	55.38039093	5.353024073
zma-MIR169m	20.70969312	-8.035895227	1.310781341	-6.130614602	8.75e-10	3.52e-08	14.76998007	0
Zm00001d048719	66.14617212	-7.93257596	1.056451576	-7.508698121	5.97e-14	5.51e-12	13.93710164	0.151351513
Zm00001d001254	21.65195273	-7.761754444	1.385370576	-5.602655766	2.11e-08	6.22e-07	2.898689428	0.051083463
Zm00001d045221	15.8638546	-7.760400816	2.035308615	-3.812886536	0.000137353	0.001447303	0.857654721	0.01709959
Zm00001d033347	1655.632796	-7.559232445	0.488819156	-15.46427211	6.05e-54	1.46e-50	66.37238936	0.680247729
Zm00001d040837	583.7254718	-7.493743252	0.597064634	-12.55097493	3.93e-36	3.73e-33	90.34562311	2.449977707
Zm00001d042062	21.49356937	-7.424004612	1.23438007	-6.014358778	1.81e-09	6.76e-08	1.718659197	0.032397601
Zm00001d036366	12.32014704	-7.075826213	1.569820559	-4.507410845	6.56e-06	0.000104704	0.92903634	0.055319817
Zm00001d000640	7.112548556	-6.987691211	1.512952506	-4.618579356	3.86e-06	6.63e-05	1.655240235	0
Zm00001d035214	26.52143242	-6.984774056	1.453597615	-4.805163399	1.55e-06	2.93e-05	1.319178084	0.006510693
Zm00001d046129	10.46242742	-6.894354412	1.82363612	-3.780553771	0.00015648	0.001613012	0.666436358	0.333959127
Zm00001d037708	444.0035164	-6.808626351	0.576926166	-11.80155582	3.83e-32	2.75e-29	25.51577199	0.445513142
Zm00001d023411	353.8062204	-6.764243503	0.926216815	-7.303088648	2.81e-13	2.27e-11	15.18100505	0.326886035
zma-MIR169n	7.293097399	-6.762172939	1.785984875	-3.786243116	0.000152942	0.001581453	4.550363573	0.346611766
