Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R_HN_m	R_LN_m
Zm00001d001977	101.6333632	-15.36297763	4.327299156	-3.550246257	0.000384871	0.008708883	4.205636703	3.47968517
Zm00001d046137	390.17	-8.616423	1.261707	-6.82918	8.54e-12	3.59e-09	93.24684	2.44746
Zm00001d038697	20.88365	-7.586531	1.602644	-4.733761	2.2e-06	0.000150228	6.495359	0.132692
Zm00001d001373	15.01797151	-6.999604589	1.550055479	-4.515712298	6.31e-06	0.000351741	0.31838955	0.00712187
Zm00001d000111	16.90121199	-6.437378876	1.838570238	-3.501296139	0.000463001	0.00999601	2.106052723	0.197964948
Zm00001d031428	27.03577	-6.076087	1.673324	-3.631148	0.000282164	0.006924446	1.225265	0.01891426
Zm00001d043427	118.7355	-5.890954	1.184737	-4.972371	6.61e-07	5.75e-05	36.75312	3.431262
Zm00001d052713	134.5238	-5.622374	0.8492621	-6.620305	3.58e-11	1.24e-08	6.384246	0.06178966
Zm00001d020921	1341.474	-5.502317	0.5812832	-9.465811	2.91e-21	1.35e-17	53.41348	3.504935
Zm00001d021336	1928.96	-5.475726	0.7037357	-7.780941	7.2e-15	7.4e-12	25.96259	0.7023193
Zm00001d004671	729.4859	-5.344462	1.059052	-5.04646	4.5e-07	4.38e-05	193.9607	3.576872
Zm00001d018737	104.9833	-5.263804	0.871231	-6.041801	1.52e-09	3.24e-07	15.57041	1.228741
Zm00001d009399	27.39094	-5.087393	1.269831	-4.006355	6.17e-05	0.002125033	1.028052	0.03265775
Zm00001d004323	122.8798	-4.837438	0.9664343	-5.005449	5.57e-07	5.1e-05	12.43782	0.9678318
Zm00001d026859	139.2934	-4.587175	0.7218507	-6.354741	2.09e-10	5.68e-08	28.27141	1.122719
Zm00001d027047	94.17767	-4.492461	0.8062126	-5.572303	2.51e-08	3.9e-06	14.50258	0.9824603
Zm00001d053924	26.70034	-4.491954	1.189425	-3.776575	0.000159	0.004469073	2.912328	0.1784444
Zm00001d047658	122.4536	-4.484859	0.8985147	-4.991414	5.99e-07	5.33e-05	8.239251	0.3877865
Zm00001d038997	156.9374	-4.45576	0.8031955	-5.547541	2.9e-08	4.34e-06	44.42518	4.248171
Zm00001d020340	824.4963	-4.441035	0.6729566	-6.599289	4.13e-11	1.38e-08	38.55121	1.248724
Zm00001d045022	340.5623	-4.383428	0.9025259	-4.856845	1.19e-06	9.56e-05	78.10062	7.360618
Zm00001d035681	43.75437	-4.369988	0.8129251	-5.375634	7.63e-08	9.67e-06	4.107297	0.1655553
Zm00001d047639	5511.359	-4.331552	0.8400371	-5.156382	2.52e-07	2.77e-05	103.5764	4.62233
Zm00001d042779	87.49184	-4.299694	1.115662	-3.853941	0.000116232	0.003474673	4.749268	0.3958009
Zm00001d008681	22.14383	-4.283773	0.8559583	-5.004652	5.6e-07	5.11e-05	4.703942	0.3410743
Zm00001d011073	136.9712	-4.266316	0.6484527	-6.579224	4.73e-11	1.54e-08	12.80985	1.294195
Zm00001d009646	333.9975	-4.211209	0.533657	-7.891227	2.99e-15	3.46e-12	18.7849	1.430971
Zm00001d028888	7814.316	-4.197257	0.7511646	-5.587666	2.3e-08	3.59e-06	356.4512	17.10404
Zm00001d027048	171.4839	-4.153431	0.6980182	-5.950318	2.68e-09	5.34e-07	20.86857	1.532438
Zm00001d026542	1544.595	-4.147903	0.4284008	-9.682295	3.59e-22	3.32e-18	56.56836	3.951314
Zm00001d020949	10.47166	-4.055823	1.055744	-3.841673	0.000122198	0.003621824	2.389489	0.5658645
Zm00001d038518	69.07742	-3.977719	1.048168	-3.794926	0.000147688	0.004210841	3.514183	0.507898
Zm00001d010459	43.14523	-3.832862	0.9189666	-4.170839	3.03e-05	0.001213134	2.398847	0.340273
Zm00001d000986	18.19322258	-3.652048547	0.684237954	-5.337395461	9.43e-08	1.16e-05	4.689695091	0.563632372
Zm00001d026078	228.3734	-3.627894	0.5462851	-6.641027	3.12e-11	1.11e-08	19.97106	2.150825
Zm00001d019237	123.8499	-3.610505	0.5186928	-6.960777	3.38e-12	1.62e-09	10.43278	1.016502
Zm00001d008899	25.86208	-3.583095	0.9665269	-3.707186	0.000209575	0.005574326	1.107093	0.3108797
Zm00001d042062	165.1444	-3.575628	0.6444827	-5.548059	2.89e-08	4.34e-06	15.56935	1.002411
