Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	L_Old_m	L_New_m
Zm00001d013831	322.5209	25.4986	3.18429	-8.007626	1.17e-15	2.46e-13	0.001460322	6.790694
Zm00001d004343	120.2556	24.37922	4.186144	-5.823791	5.75e-09	4.1e-07	0.00227051	3.562962
Zm00001d036420	85.24554	24.23988	4.20638	-5.762646	8.28e-09	5.65e-07	0	1.733331
Zm00001d024710	136.8985	24.185	4.206199	-5.749848	8.93e-09	6.02e-07	0.002712809	1.797276
Zm00001d002106	69.63217958	24.11692085	4.206362737	-5.733438213	9.84e-09	6.53e-07	0	9.836450426
Zm00001d038943	96.3457	24.0967	4.206388	-5.728596	1.01e-08	6.69e-07	0	12.23559
Zm00001d041788	126.2106	24.04222	3.692501	-6.511095	7.46e-11	7.41e-09	0.008342046	5.811505
Zm00001d024806	83.16337	24.00246	4.206447	-5.706112	1.16e-08	7.45e-07	0	5.041274
Zm00001d030902	94.93324	23.77182	4.206295	-5.651487	1.59e-08	9.83e-07	0.006989001	5.509325
Zm00001d012806	93.00483	23.51744	3.095352	-7.597662	3.02e-14	5.25e-12	0.01107926	4.154396
Zm00001d032858	31.16547	21.01986	4.208312	-4.994843	5.89e-07	2.37e-05	0.02952649	1.074628
Zm00001d035367	983.5422	13.64276	1.042658	-13.0846	4.03e-39	1.07e-35	0.004283004	67.80379
Zm00001d035390	1108.673	13.59644	2.377636	-5.71847	1.07e-08	7.02e-07	0.007988342	127.8621
Zm00001d011436	627.5973	12.75268	1.060922	-12.02037	2.78e-33	5.38e-30	0	20.14072
Zm00001d052683	158.4507	11.06688	1.269793	-8.715504	2.89e-18	8.41e-16	0	9.248829
Zm00001d035383	117.556	10.63996	1.028802	-10.34209	4.55e-25	3.3e-22	0	17.6729
Zm00001d038477	131.1983	10.41138	1.052993	-9.887418	4.72e-23	2.54e-20	0	24.10501
Zm00001d035420	159.2502	10.40728	1.044811	-9.960925	2.26e-23	1.29e-20	0	8.187075
Zm00001d035356	118.6867	10.05976	1.039822	-9.674505	3.87e-22	1.94e-19	0	7.214955
Zm00001d052684	85.53651	10.03025	1.206856	-8.311056	9.49e-17	2.32e-14	0	6.308533
Zm00001d032139	94.91043	10.01448	1.045335	-9.580162	9.69e-22	4.54e-19	0	2.549454
Zm00001d009174	89.02086	9.920086	1.050195	-9.445945	3.52e-21	1.55e-18	0	8.338231
Zm00001d022340	98.80561	9.917423	1.075654	-9.2199	2.97e-20	1.15e-17	0	4.517994
Zm00001d048686	102.4474	9.855988	1.046475	-9.418274	4.59e-21	1.96e-18	0	10.77758
Zm00001d038582	83.12762	9.855903	1.732097	-5.690155	1.27e-08	8.05e-07	0.03484345	5.226478
Zm00001d052507	78.99991	9.83846	1.03919	-9.467427	2.87e-21	1.28e-18	0	5.178778
Zm00001d035377	140.5749	9.704698	1.038684	-9.343266	9.34e-21	3.88e-18	0	7.640797
Zm00001d023552	87.78539	9.593188	1.077421	-8.903844	5.39e-19	1.82e-16	0.03640451	8.980495
Zm00001d036006	76.15763	9.530157	1.076119	-8.856041	8.29e-19	2.65e-16	0	6.217553
Zm00001d035434	67.9208	9.528466	1.718765	-5.543786	2.96e-08	1.67e-06	0	3.232966
Zm00001d001425	62.12029372	9.47469613	1.047151863	-9.0480631	1.46e-19	5.29e-17	0	11.87825046
Zm00001d007324	49.86475	9.425636	1.048377	-8.990695	2.46e-19	8.6e-17	0.005574136	4.0716
Zm00001d035428	81.00806	9.401823	1.300231	-7.230885	4.8e-13	7.22e-11	0	2.831171
Zm00001d035409	461.4589	9.391458	2.130029	-4.409075	1.04e-05	0.000289223	0.1640039	44.85386
Zm00001d034151	86.31816	9.313031	1.614239	-5.769302	7.96e-09	5.44e-07	0.00303627	2.275446
Zm00001d015857	85.74238	9.30552	1.060229	-8.776894	1.68e-18	5.14e-16	0.006888326	2.299641
Zm00001d025931	115.29	9.29274	1.050626	-8.844954	9.16e-19	2.89e-16	0.007470711	3.001955
Zm00001d044092	57.59844	9.265893	1.06328	-8.714443	2.92e-18	8.41e-16	0	15.66691
Zm00001d047300	68.48541	9.263062	1.062674	-8.716747	2.86e-18	8.4e-16	0	1.627248
Zm00001d047708	65.89626	9.229569	1.080468	-8.542195	1.32e-17	3.51e-15	0.01018519	3.968386
Zm00001d013503	49.40141	9.009138	2.019323	-4.461464	8.14e-06	0.00023536	0	1.414771
Zm00001d009331	44.35319	8.998548	1.09587	-8.21133	2.19e-16	5.21e-14	0.02183492	8.07512
Zm00001d016470	33.98664	8.976331	1.910433	-4.698584	2.62e-06	8.9e-05	0	2.297295
Zm00001d024667	28.43327	8.881734	2.460405	-3.609867	0.000306354	0.004877106	0	0.9254826
Zm00001d039421	77.63675	8.852169	1.785262	-4.95847	7.11e-07	2.82e-05	0.000629113	0.8757484
Zm00001d026374	174.214	8.784649	1.012314	-8.677795	4.04e-18	1.15e-15	0.02835989	2.186852
Zm00001d003128	50.96092	8.778881	1.239048	-7.085185	1.39e-12	1.92e-10	0	1.980559
Zm00001d051794	110.8684	8.712509	1.021347	-8.530406	1.46e-17	3.85e-15	0.01493993	7.158229
Zm00001d035400	79.51589	8.673761	1.237238	-7.010583	2.37e-12	3.16e-10	0	3.559921
Zm00001d035411	46.93508	8.65425	1.084241	-7.981849	1.44e-15	2.99e-13	0	7.962133
Zm00001d011253	564.6396	8.64655	1.955669	-4.421275	9.81e-06	0.000277082	0.04169555	12.02645
Zm00001d043588	22.95212	8.619991	1.809471	-4.763818	1.9e-06	6.69e-05	0	0.8143686
Zm00001d035408	40.75556	8.60253	1.129763	-7.614458	2.65e-14	4.69e-12	0	1.080691
Zm00001d042742	31.48942	8.557709	1.917331	-4.463344	8.07e-06	0.000233536	0.003268376	0.878864
Zm00001d051251	352.5556	8.522317	2.30427	-3.698489	0.000216886	0.003713781	0.01666905	30.30117
Zm00001d004088	37.27517	8.452281	1.311178	-6.446326	1.15e-10	1.07e-08	0	3.376466
Zm00001d026984	36.3479	8.371268	1.05645	-7.92396	2.3e-15	4.67e-13	0.0146217	8.174653
Zm00001d034434	103.8978	8.229174	1.866264	-4.409437	1.04e-05	0.000289223	0.01415608	1.437545
Zm00001d001036	21.20692256	8.184880378	1.64201062	-4.984669575	6.21e-07	2.49e-05	0.018559682	6.267860266
Zm00001d026390	20.12865	8.054673	1.319163	-6.105899	1.02e-09	8.25e-08	0.01991584	6.58862
Zm00001d009383	64.90363	8.041421	1.100995	-7.303773	2.8e-13	4.39e-11	0.03138284	2.076207
