Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R_Old_m	R_New_m
Zm00001d013831	338.0792657	25.22711774	3.96073054	-6.369309268	1.9e-10	1.77e-08	0.010583569	7.020980658
Zm00001d021150	262.6296743	25.21156907	4.206086697	-5.994067857	2.05e-09	1.57e-07	0.002216225	10.52115196
Zm00001d007688	266.8496891	25.13780085	4.206092804	-5.976520733	2.28e-09	1.73e-07	0.001391927	5.845899703
Zm00001d030902	77.23707357	24.33252223	4.206322918	-5.784748984	7.26e-09	5e-07	0	4.450465232
Zm00001d035413	144.9042212	23.97685371	3.073848559	-7.80027163	6.18e-15	1.11e-12	0.00232338	5.271212317
Zm00001d035367	1289.356607	13.31784812	1.051666706	-12.6635635	9.41e-37	1.76e-33	0.045023138	88.89226401
Zm00001d035428	400.2385771	12.09632177	1.040039083	-11.63064155	2.88e-31	3.15e-28	0	12.24567902
Zm00001d035420	254.9684586	11.3173374	1.02451426	-11.04653965	2.28e-28	2.07e-25	0.005942365	11.61170015
Zm00001d052684	169.2212563	11.22375711	1.05443526	-10.64433023	1.85e-26	1.37e-23	0	12.16026925
Zm00001d032921	227.8064183	11.22128396	1.029862239	-10.89590776	1.21e-27	1.06e-24	0.013146853	8.284619914
Zm00001d051794	182.2321345	10.89560493	1.03575482	-10.51948271	7.03e-26	4.65e-23	0.007803508	10.91598138
Zm00001d023342	170.563135	10.75404738	1.036243741	-10.37791299	3.13e-25	1.87e-22	0.002447265	6.404779869
Zm00001d035356	257.2859647	10.65156548	1.032316333	-10.31812163	5.84e-25	3.37e-22	0.010889626	14.01049993
Zm00001d025931	170.1352221	10.63513961	1.04571732	-10.17018596	2.69e-24	1.47e-21	0.004569652	3.977398859
Zm00001d052683	89.92767699	10.48083877	1.284851194	-8.157239388	3.43e-16	7.35e-14	0	5.195528179
Zm00001d035434	161.0566537	10.41776731	1.19620443	-8.709019173	3.07e-18	8.69e-16	0	7.05540303
Zm00001d022340	141.2897394	10.40938645	1.104014527	-9.428668008	4.15e-21	1.63e-18	0	5.870955094
Zm00001d011436	119.1243392	10.34588686	1.042528474	-9.923841049	3.28e-23	1.58e-20	0.001968492	3.598996528
Zm00001d003128	114.7988268	10.29625206	1.70101257	-6.053013508	1.42e-09	1.12e-07	0.004541885	4.098783798
Zm00001d035411	140.8035609	10.26006459	1.050262053	-9.769051979	1.53e-22	7.03e-20	0.00983506	21.31672711
Zm00001d035400	108.7611678	10.21411047	1.072237832	-9.525974711	1.64e-21	6.74e-19	0.00718387	3.995993651
Zm00001d035408	71.43583694	10.04683598	1.208191742	-8.315597288	9.13e-17	2.08e-14	0	1.745765127
Zm00001d035401	118.7551519	9.936159993	1.082059593	-9.18263657	4.21e-20	1.45e-17	0.002314132	4.200077694
Zm00001d038477	107.4131127	9.902581883	1.030510318	-9.609396152	7.3e-22	3.17e-19	0	18.30704541
Zm00001d051254	73.7702691	9.789484481	1.161487007	-8.42840636	3.5e-17	8.49e-15	0.012537153	3.288120928
Zm00001d047708	79.45569366	9.716753719	1.05413916	-9.217714408	3.04e-20	1.08e-17	0.00674261	4.320421667
Zm00001d013503	77.92212303	9.632950367	1.649884372	-5.83856089	5.27e-09	3.71e-07	0.001738016	2.140496424
Zm00001d013720	202.3646946	9.627158822	1.283245927	-7.502193162	6.28e-14	9.96e-12	0.027584117	8.551329979
Zm00001d022468	91.08490476	9.519533455	2.791300631	-3.4104293	0.000648607	0.009239773	0.001691931	0.853962265
Zm00001d012743	230.3837692	9.414015599	1.806812163	-5.210290142	1.89e-07	9.03e-06	0.024573567	6.448620422
Zm00001d043141	62.55314885	9.314843577	1.669236942	-5.580300402	2.4e-08	1.44e-06	0.00672342	7.014968897
Zm00001d035343	44.15649515	9.236313539	1.128099868	-8.187496337	2.67e-16	5.92e-14	0.004479668	3.036095735
Zm00001d035412	46.39891013	9.196170219	1.059303637	-8.68133545	3.91e-18	1.09e-15	0	7.280401772
Zm00001d041788	193.3141353	9.153704088	2.362815138	-3.874066972	0.000107034	0.002153228	0.059296206	7.950368667
Zm00001d035383	57.2682898	9.103291315	1.066498095	-8.535684555	1.39e-17	3.57e-15	0	8.67535365
Zm00001d040483	30.10527412	9.100483785	1.845877725	-4.9301661	8.22e-07	3.44e-05	0.023267786	2.772358895
Zm00001d036006	49.74626868	8.950088546	1.074751968	-8.327585162	8.25e-17	1.9e-14	0	3.701576507
Zm00001d048686	51.95209832	8.891941971	1.055482211	-8.424530396	3.62e-17	8.71e-15	0	4.906917161
Zm00001d001841	115.6573922	8.80731119	1.043560857	-8.439671852	3.18e-17	7.89e-15	0.06465193	10.48479398
Zm00001d039421	83.73189029	8.795446236	1.702090932	-5.167436163	2.37e-07	1.11e-05	0.002657813	0.885272794
Zm00001d044092	29.73217429	8.681075348	1.066544305	-8.139441851	3.97e-16	8.46e-14	0	7.573600754
Zm00001d047300	48.18525906	8.627881723	1.057663897	-8.157489114	3.42e-16	7.35e-14	0.001374759	1.019697917
Zm00001d052507	41.23246823	8.521043954	1.086666308	-7.84145408	4.45e-15	8.37e-13	0.003391863	2.58654089
Zm00001d051693	95.19507057	8.36748279	1.269587565	-6.590709469	4.38e-11	4.47e-09	0.075402164	4.555677505
Zm00001d037749	27.48000679	8.361038902	1.40780385	-5.939065233	2.87e-09	2.13e-07	0.026738483	2.035631069
Zm00001d030812	34.50937159	8.343031865	1.080687611	-7.720114288	1.16e-14	2.03e-12	0	3.024882341
Zm00001d018844	159.0715108	8.33610414	0.683056816	-12.20411531	2.96e-34	4.08e-31	0.149726666	22.49742158
Zm00001d032139	46.96751294	8.280081441	1.046236201	-7.914160712	2.49e-15	4.76e-13	0.006398321	1.187291245
Zm00001d041389	232.6909784	8.273959357	0.667132292	-12.40227681	2.54e-35	4.03e-32	0.030764083	7.181664965
Zm00001d031044	57.62167481	8.216883134	1.739708254	-4.723138557	2.32e-06	8.53e-05	0.010993814	3.070884562
Zm00001d025017	75.43702167	8.211726962	2.093499159	-3.922488781	8.76e-05	0.001824327	0.028906839	3.887180468
Zm00001d026984	32.29903658	8.197087304	1.074110076	-7.631515136	2.32e-14	3.94e-12	0	6.545603979
Zm00001d035436	29.34233776	8.195747051	1.108609187	-7.392818988	1.44e-13	2.2e-11	0	1.026519689
Zm00001d040247	21.84546018	8.162948845	1.928730258	-4.232291588	2.31e-05	0.000599945	0	1.989121812
Zm00001d011253	514.9074491	8.131187873	1.83300496	-4.435987926	9.17e-06	0.000275517	0.052387921	10.74924018
Zm00001d035363	26.02983938	8.000015295	1.180020091	-6.77955855	1.21e-11	1.35e-09	0	2.628997276
Zm00001d034986	61.10571111	7.956811817	1.177594116	-6.756837273	1.41e-11	1.55e-09	0.038612687	2.554818684
