Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d000001	164.6796727926	-2.01822688139558	0.55380767048778	-3.64427397623073	0.000268147662659481	0.00368801770060001	103641120	LOC103641120	GRMZM5G851266
Zm00001d000011	29.6166928098461	5.17953444004103	1.38080109546266	3.75110829290409	0.000176054633845077	0.00263120062867469	103641118	LOC103641118	-
Zm00001d000066	60.3050477000025	-4.29235908383414	0.529969617623403	-8.09925501594377	5.52967607106382e-16	9.66123597938576e-14	103637899	LOC103637899	GRMZM2G363310
Zm00001d000086	24.6515698839708	4.17552402379971	1.13060991316452	3.69316063407991	0.000221484018975473	0.00315518606937128	109943278	LOC109943278	GRMZM2G402779
Zm00001d000093	13.0376356494155	7.2067366059847	1.37798806445804	5.22989769785785	1.69603868091723e-07	6.5242078860681e-06	103649522	LOC103649522	-
Zm00001d000112	1742.54292568734	1.53629781267489	0.220620460102225	6.96353281088725	3.31843828540598e-12	3.51041512527653e-10	100384376	LOC100384376	GRMZM2G123667
Zm00001d000195	22.2983702132057	-5.10632119248204	1.11693767350233	-4.57171542658276	4.83747610632206e-06	0.000127435496532401	100272795	LOC100272795	GRMZM2G133006
Zm00001d000409	87.1108097444383	-1.48156725627386	0.389632180062165	-3.80247662304865	0.000143256787724838	0.00222110256725469	103650783	LOC103650783	GRMZM2G175804|GRMZM5G883564
Zm00001d001825	177.887989100365	-2.07911038742018	0.417191847837304	-4.98358344775469	6.24173765006413e-07	2.09457865305312e-05	100501308	LOC100501308	GRMZM6G915669
Zm00001d001852	60.3290096883314	-5.53810335339813	0.688006377569637	-8.04949421102943	8.31368907456141e-16	1.40714383642623e-13	100286242	LOC100286242	GRMZM2G068202|umc2186
Zm00001d001871	48.4833876836179	-3.65123472271515	1.0194854878924	-3.58144845226135	0.000341694561500769	0.00448759962172761	103645770	LOC103645770	-
Zm00001d001900	55.4487186691684	-2.48445408866037	0.458956608079584	-5.41326575306561	6.18855368421795e-08	2.63509783525639e-06	100283896	LOC100283896	GRMZM2G010435
Zm00001d001902	45.9963262006818	-1.5459621762114	0.40099964621147	-3.85527067372056	0.000115601653024027	0.00186456722188427	103645786	LOC103645786	GRMZM2G064949
Zm00001d001924	219.04154767298	1.6309955239491	0.2523583635789	6.46301355270584	1.02638095920494e-10	8.32198286114642e-09	100383581	LOC100383581	GRMZM2G025536
Zm00001d001996	8.59104292484179	3.05993159570779	0.828846538959627	3.69179510545901	0.000222676826890745	0.00316587557801675	100275046	LOC100275046	GRMZM2G039477
Zm00001d002004	5.71290550198212	6.01368279669149	1.37845747319399	4.36261757336433	1.285154794181e-05	0.000299750167683377	100274427	LOC100274427	pco083783
Zm00001d002019	69.1520005442322	1.21949047946368	0.281382048376016	4.33393134530762	1.46469869950504e-05	0.000335323228011359	103645828	LOC103645828	GRMZM2G076212
Zm00001d002058	111.616892067536	1.52081411450656	0.17871885897822	8.50953348293199	1.74634559614445e-17	3.52931232008864e-15	100276539	LOC100276539	GRMZM2G032022
Zm00001d002066	208.616295902449	1.82588009781236	0.340460161909091	5.36297723520412	8.18613265088225e-08	3.40535573453982e-06	100286337	LOC100286337	GRMZM2G096546|GRMZM5G810191|pco072994a
Zm00001d002074	51.871077171558	-5.39987363197771	1.21883106168751	-4.43037087067787	9.4071163595808e-06	0.000228069935661421	100278436	LOC100278436	GRMZM2G474039
Zm00001d002094	515.434375971615	-2.9134272331649	0.70334187198596	-4.14226331348442	3.43895192750798e-05	0.000677310961082499	100281790	LOC100281790	GRMZM2G372074|gpm470
Zm00001d002143	232.746254991214	-1.01896019064418	0.302831623639864	-3.36477471671176	0.000766061801427066	0.00872035294007834	100502433	LOC100502433	GRMZM2G131961
Zm00001d002232	15.9158810136678	6.0351066729828	1.07724090276079	5.60237422986428	2.11435445930717e-08	1.00985596318338e-06	103645909	LOC103645909	GRMZM2G301389
Zm00001d002326	3622.31500727663	1.30153545612509	0.235784675991973	5.52001715399606	3.38966570845344e-08	1.54278213530467e-06	103645944	LOC103645944	GRMZM5G817886
Zm00001d002344	136.543620348137	1.04069286818723	0.274280974415087	3.79425831633616	0.000148085443821632	0.00228060589525574	100278829	LOC100278829	-
Zm00001d002346	216.417280250284	-2.6003239723191	0.294080997292664	-8.84220332581131	9.38492364591633e-19	2.21002710656574e-16	100191885	LOC100191885	GRMZM2G046070|cad1
Zm00001d002351	6177.2837304204	-2.06359398692139	0.24105585826791	-8.5606464897771	1.12236359890111e-17	2.33805604783393e-15	541974	LOC541974	GRMZM2G049538|KS|ZmKS2.1|ZmTPS1|eks1|tps1
Zm00001d002366	1907.18944090401	-1.29105033714931	0.206473854194222	-6.25285144304457	4.0302547115684e-10	2.90274808095701e-08	100192795	LOC100192795	GRMZM2G177263|pco135861(187)
Zm00001d002396	724.124345613568	-1.38425170942759	0.316758456126281	-4.37005447733251	1.2421554343533e-05	0.000291497498420465	103645972	LOC103645972	GRMZM2G140328
Zm00001d002408	345.087167080228	-1.32385214919882	0.337493468163919	-3.92260080291638	8.75982244212981e-05	0.0014616435708892	103645976	LOC103645976	CHL-CPN10|GRMZM2G090872
Zm00001d002465	17.2205580241616	-5.42281057844417	1.5505433941382	-3.49736137598277	0.000469884847030291	0.00581579138136531	103645999	LOC103645999	-
Zm00001d002503	1949.51816129932	2.12521958928132	0.189807606847335	11.1967039919041	4.23186697865524e-29	2.79519974753567e-26	103646012	LOC103646012	GRMZM2G032218
Zm00001d002511	414.816576542748	1.18640270733573	0.291737984593497	4.06667204816968	4.76892806263059e-05	0.000880349971807083	103646014	LOC103646014	GRMZM6G815941
Zm00001d002594	63.1305701933285	-1.63042431736336	0.383423819296384	-4.25227707646158	2.11607819397048e-05	0.00045552872472905	107546774	LOC107546774	GRMZM2G164428
Zm00001d002690	9595.73661400062	1.09617969244093	0.173178354683693	6.32977310844119	2.45521959758937e-10	1.84182276793124e-08	542434	LOC542434	GRMZM2G174807|PIP1-1|ZmPIP1-1|inra1(tmp)
Zm00001d002691	7.78473150973466	-4.25452838766082	1.17260283804979	-3.62827740954196	0.000285318593704247	0.00389255054715602	103648455	LOC103648455	-
Zm00001d002733	94.5952485436078	1.31591135225527	0.351344011936409	3.74536439372543	0.000180132126692321	0.00267769156162883	103646104	LOC103646104	GRMZM2G132774
Zm00001d002794	38.9229441691167	-2.15359234360754	0.521530242259833	-4.12937193109999	3.63755554793381e-05	0.000707677024379278	100285549	LOC100285549	GRMZM2G123387
Zm00001d002806	197.351704891507	-1.4141675339165	0.423233386707128	-3.34134210185806	0.000833744240680373	0.00931845967060057	103646136	LOC103646136	GRMZM2G131982
Zm00001d002848	303.726723296799	1.77021162415627	0.43810617648742	4.04059956047457	5.33147252932038e-05	0.000958947263849203	100217183	LOC100217183	GRMZM2G053977
Zm00001d002850	64.107224638933	3.05244276654579	0.57396589075938	5.31816056613971	1.04821548161463e-07	4.23682439665758e-06	100285451	LOC100285451	GRMZM2G136486|pco094531
Zm00001d002899	51.347637944317	-3.8537164178563	0.960665455851515	-4.01150722593688	6.03323300427458e-05	0.00106509767267771	100279351	LOC100279351	GRMZM2G108153
Zm00001d002917	341.147121557178	-9.40013532711588	0.869623718588104	-10.80942840701	3.10599323724766e-27	1.7896468693171e-24	103646173	LOC103646173	GRMZM2G337792
Zm00001d002965	456.454590229564	1.79962579634097	0.25655175369822	7.01466963448577	2.30492923613605e-12	2.53738978226831e-10	107228385	LOC107228385	GRMZM2G362413
Zm00001d003006	177.81827654474	3.92797135095956	0.804721361580327	4.88115705446881	1.05465204563969e-06	3.352233808447e-05	542619	LOC542619	GRMZM2G178693|ZmPIP2-5|pip2-5
Zm00001d003025	46.9325286126292	2.77060893997672	0.490652239165143	5.64678751836736	1.63473666579142e-08	8.01998254461911e-07	100273369	LOC100273369	GRMZM2G118950
Zm00001d003035	347.184160704871	-2.0099325071115	0.245507836473063	-8.18683646105133	2.68182196822615e-16	4.84176138143549e-14	100382755	LOC100382755	GRMZM2G702991
Zm00001d003058	59.4273254112729	1.2107776892227	0.315507505725286	3.83755589724995	0.000124264954056947	0.00198187233263615	100272842	LOC100272842	GRMZM2G147256
Zm00001d003086	1029.00154512869	-3.01161891855848	0.822653913996148	-3.66085770373248	0.000251372344037752	0.00349456593885337	100282766	LOC100282766	GRMZM2G111954
Zm00001d003088	568.024874570191	-3.73157236865336	0.28210650723205	-13.2275302872894	6.08543028066982e-40	1.02999710894262e-36	100272297	LOC100272297	GRMZM2G051952
Zm00001d003102	101.957623212036	-2.21625976837178	0.535610924446153	-4.13781658890452	3.5062646854396e-05	0.000686573781246492	100281173	LOC100281173	GRMZM2G082249
Zm00001d003120	70.8502792673768	-4.87766512394071	0.85093159235304	-5.73214717584141	9.91671648861597e-09	5.15459883355488e-07	103648533	LOC103648533	-
Zm00001d003128	38.5255077646169	8.77131810904918	1.25295854700195	7.00048547498795	2.55077078497953e-12	2.77419372000123e-10	109943985	LOC109943985	-
Zm00001d003271	944.498878746519	-1.13651614692406	0.31768212815808	-3.57752623200296	0.000346861418472692	0.00454443835203627	100283982	LOC100283982	GRMZM2G022413|MSRA2
Zm00001d003272	14.008747984024	2.22310248448971	0.63273811152348	3.51346385495418	0.000442304586886757	0.00554946968302316	100280960	LOC100280960	GRMZM2G022627
Zm00001d003276	1114.41119474083	2.80692454609605	0.780251264876068	3.59746234636593	0.000321336996211585	0.00427833195398521	103646302	LOC103646302	GRMZM2G100344
Zm00001d003379	27.1613236957177	-4.14909802773468	1.19405883546849	-3.47478524884142	0.000511262469427295	0.00622829461743616	542195	LOC542195	GRMZM2G102356|prp2
Zm00001d003471	79.9238283886661	-3.39697259366379	0.99177384967583	-3.42514837911296	0.000614463737393347	0.00725383281270672	100193044	LOC100193044	GRMZM5G843141
Zm00001d003500	150.925924847544	-1.07195036736304	0.308256359751183	-3.47746391421833	0.000506181180965854	0.00618029421178373	100276555	LOC100276555	GRMZM2G160994
Zm00001d003559	8749.39454370031	1.13022267502736	0.178744594655449	6.32311526514126	2.56341936647127e-10	1.90714175448924e-08	100281526	LOC100281526	GRMZM2G068557
Zm00001d003566	149.947501339856	-1.16491772118755	0.235623771128391	-4.94397367298219	7.65460452796078e-07	2.53726248741378e-05	100284700	LOC100284700	GRMZM2G019468|pco142662
Zm00001d003593	29.9315464920992	2.04829210292465	0.438096485002945	4.67543605813426	2.93329664661067e-06	8.25744350175298e-05	100276716	LOC100276716	GRMZM2G082149
Zm00001d003639	34.8636578347203	-8.5364980871935	1.06717587030455	-7.99914833602578	1.25282717161487e-15	2.08146089782222e-13	103648635	LOC103648635	-
Zm00001d003654	95.2865584576072	-1.54976741385189	0.294158606605772	-5.26847550623897	1.37561393137204e-07	5.43866753773605e-06	606416	LOC606416	GRMZM2G113629|PDIL5-2|pdi10
Zm00001d003659	189.641776743927	-1.2505719760282	0.363144596885692	-3.44373009196072	0.000573748161728088	0.00684780694921038	100282729	gpm300	GRMZM2G155593|SnRK2.7
Zm00001d003675	23.5758445005948	2.9257669072155	0.768849652737914	3.80538236155365	0.000141585296042858	0.0021972902017975	103646450	LOC103646450	GRMZM2G177561|GRMZM2G391511
Zm00001d003719	34.6660349141048	5.40300043326689	1.39668234499474	3.86845330481157	0.000109527905507551	0.00177612287967065	103648660	LOC103648660	GRMZM2G406196
Zm00001d003937	18.2261450530504	4.02676582528783	1.10011686493258	3.66030733065309	0.000251912916273705	0.00349848906954267	100274087	LOC100274087	GRMZM2G108255
Zm00001d003969	110.034757122795	-3.86653849799401	0.719934791432367	-5.37067876703282	7.84408298336922e-08	3.28323974146247e-06	103648725	LOC103648725	-
Zm00001d004078	71.9018069304037	-1.58870017727799	0.454911101384184	-3.49233107841062	0.000478824348426945	0.00589679044099595	103646623	LOC103646623	GRMZM2G474153
Zm00001d004088	30.7357489941892	8.44508852612364	1.3830356530676	6.1061972678667	1.02032887586938e-09	6.87351400184541e-08	100192682	LOC100192682	GRMZM2G078116
Zm00001d004102	732.447870234219	1.53089470041024	0.415918956081614	3.6807524110775	0.00023254672809072	0.00326808403914105	103646635	LOC103646635	GRMZM2G013612
Zm00001d004301	58.1628343315494	2.37018479370582	0.407201986207457	5.82066118041547	5.86152860878919e-09	3.25278803800451e-07	100194162	pht3	GRMZM2G045473|PHT1-3|PT3
Zm00001d004344	2606.19535672333	-2.50207725915472	0.611838316358671	-4.08944191995972	4.32412322858321e-05	0.00081095277806968	100194135	LOC100194135	GRMZM2G050131|Natterin-4
Zm00001d004409	54.2720700491417	1.87930908818704	0.318203212730964	5.90600287174338	3.50507865012047e-09	2.01965550501832e-07	103646824	LOC103646824	GRMZM2G023028
Zm00001d004410	87.1807549687131	-1.29954495718275	0.22877824453258	-5.68036947673007	1.34404085313386e-08	6.80335894275102e-07	100283952	LOC100283952	GRMZM2G325749
Zm00001d004411	20.4782322728527	-7.0420963806135	1.10910349072817	-6.34935913508856	2.16213743880721e-10	1.64937588677009e-08	103648841	LOC103648841	-
Zm00001d004418	7.63011478674625	-5.59555074791927	1.19936312933654	-4.66543502218097	3.07964804345138e-06	8.60680584775096e-05	103646829	LOC103646829	GRMZM2G058591
Zm00001d004431	8.94752729272487	-5.8342746193033	1.53254767971841	-3.80691230459811	0.000140712613134655	0.00218625259684429	103646839	LOC103646839	-
Zm00001d004448	687.547106934081	1.40882126247648	0.313903871458632	4.48806590352022	7.18726971745132e-06	0.000180890753920352	100281162	LOC100281162	GRMZM2G131912
