ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016168	chlorophyll binding	19/1391	34/13837	4.16172759447688e-11	2.04756997648262e-08	1.86182550279229e-08	LOC100273427/LOC100216729/LOC100191715/LOC542530/LOC100274453/LOC100281791/LOC100281795/LOC100281248/LOC542478/LOC100284154/LOC542321/LOC100284001/LOC100281879/LOC103643653/LOC100193833/LOC100282054/LOC103651577/LOC103651578/LOC542320	19
GO:0030246	carbohydrate binding	38/1391	197/13837	6.04214342843553e-05	0.00829327582448544	0.007540954697061	LOC100284713/LOC542217/LOC100304375/LOC103648309/LOC103634753/LOC103634757/LOC103634767/LOC103635629/LOC100273535/LOC103627642/LOC103632181/LOC100273735/LOC100501883/LOC103633335/LOC100279577/LOC100191144/LOC100216780/LOC100382452/LOC100382219/LOC100279948/LOC103638174/LOC103640588/LOC100284363/LOC103643528/LOC100383079/LOC100274518/LOC100384211/LOC103630002/LOC541911/LOC100281606/LOC100501905/LOC100285111/LOC103651137/LOC103651223/LOC732726/LOC100280308/LOC100501776/LOC100278292	38
GO:0035251	UDP-glucosyltransferase activity	20/1391	78/13837	6.37452496995311e-05	0.00829327582448544	0.007540954697061	LOC100382222/LOC100194073/LOC103647435/LOC100274322/LOC542711/LOC100383406/LOC100280143/LOC100125638/LOC542514/LOC100279371/LOC100284183/LOC103641257/LOC103641506/LOC542685/LOC541803/LOC100273013/LOC541804/LOC100384650/LOC542139/LOC542247	20
GO:0008194	UDP-glycosyltransferase activity	46/1391	256/13837	6.74250067031336e-05	0.00829327582448544	0.007540954697061	LOC100281699/LOC100382222/LOC100194073/LOC103647435/LOC103647523/LOC100192877/LOC100194354/LOC100191964/LOC100274322/LOC100383589/LOC542711/LOC100383406/LOC103626199/LOC100283727/LOC100280143/LOC100125638/LOC542514/LOC100274282/LOC100279371/LOC100284183/LOC100282080/LOC103633203/LOC103633204/LOC103641257/LOC100285032/LOC103641506/LOC100191941/LOC100281273/LOC100383146/LOC542685/LOC100382376/LOC541803/LOC100273013/LOC541804/LOC100384650/LOC100281608/LOC100282556/LOC103649679/LOC100284975/LOC100281284/LOC100382469/LOC542139/LOC100281407/LOC100304381/LOC542247/LOC100281891	46
GO:0046527	glucosyltransferase activity	25/1391	111/13837	8.56567978206943e-05	0.00842862890555632	0.0076640292786937	LOC100283318/LOC100382222/LOC100194073/LOC103647435/LOC100274322/LOC542711/LOC100383406/LOC100191584/LOC100191978/LOC100280143/LOC100125638/LOC542514/LOC100279371/LOC100284183/LOC100285134/LOC103641257/LOC103641506/LOC100282047/LOC542685/LOC541803/LOC100273013/LOC541804/LOC100384650/LOC542139/LOC542247	25
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	11/1391	31/13837	0.000128749050754252	0.0105574221618487	0.00959970992465918	LOC103648309/LOC103627642/LOC103632181/LOC103633335/LOC100279577/LOC542015/LOC103640588/LOC103643528/LOC100383079/LOC103630002/LOC542670	11
GO:0004185	serine-type carboxypeptidase activity	12/1391	39/13837	0.000300495169082627	0.0201566696638969	0.0183281656122297	LOC100272373/LOC100216948/LOC100383183/LOC100281514/LOC100281613/LOC100193473/LOC100191502/LOC103630156/LOC100282195/LOC100282964/LOC103639013/LOC100285883	12
GO:0019199	transmembrane receptor protein kinase activity	11/1391	34/13837	0.000327750726242226	0.0201566696638969	0.0183281656122297	LOC103648309/LOC103627642/LOC103632181/LOC103633335/LOC100279577/LOC542015/LOC103640588/LOC103643528/LOC100383079/LOC103630002/LOC542670	11
GO:0070008	serine-type exopeptidase activity	12/1391	40/13837	0.000390447493067027	0.0213444629543308	0.019408208719706	LOC100272373/LOC100216948/LOC100383183/LOC100281514/LOC100281613/LOC100193473/LOC100191502/LOC103630156/LOC100282195/LOC100282964/LOC103639013/LOC100285883	12
GO:0004888	transmembrane signaling receptor activity	11/1391	36/13837	0.000570128121961387	0.0280503036005003	0.0255057317719568	LOC103648309/LOC103627642/LOC103632181/LOC103633335/LOC100279577/LOC542015/LOC103640588/LOC103643528/LOC100383079/LOC103630002/LOC542670	11
GO:0051537	2 iron, 2 sulfur cluster binding	12/1391	42/13837	0.000639481015344074	0.0286022417772077	0.0260076011025102	LOC100191704/LOC100281226/LOC100284976/LOC542229/LOC100382079/LOC103631716/LOC100284745/LOC103644157/LOC101027099/LOC541612/LOC100274228/LOC103653165	12
GO:0051536	iron-sulfur cluster binding	27/1391	148/13837	0.00160044364660752	0.0533269729553709	0.0484894383954485	LOC100278360/LOC100191704/LOC100285307/LOC103648137/LOC100281226/LOC103635621/LOC100284976/LOC542229/LOC103625981/LOC100382079/LOC100273459/LOC100384853/LOC103631716/LOC100284745/LOC100273754/LOC103644157/LOC101027099/LOC100285613/LOC100284383/LOC541612/LOC100274228/LOC103651348/LOC100193989/LOC542532/LOC103653165/LOC542264/LOC100193712	27
GO:0051540	metal cluster binding	27/1391	148/13837	0.00160044364660752	0.0533269729553709	0.0484894383954485	LOC100278360/LOC100191704/LOC100285307/LOC103648137/LOC100281226/LOC103635621/LOC100284976/LOC542229/LOC103625981/LOC100382079/LOC100273459/LOC100384853/LOC103631716/LOC100284745/LOC100273754/LOC103644157/LOC101027099/LOC100285613/LOC100284383/LOC541612/LOC100274228/LOC103651348/LOC100193989/LOC542532/LOC103653165/LOC542264/LOC100193712	27
GO:0046906	tetrapyrrole binding	59/1391	400/13837	0.00166291991729288	0.0533269729553709	0.0484894383954485	LOC103646260/LOC100285655/LOC100273427/LOC100281181/LOC103647611/LOC100382204/LOC100216729/LOC100191715/LOC107457598/LOC542530/LOC100279887/LOC100194008/LOC100274453/LOC103626026/LOC100281791/LOC100283135/LOC100281795/LOC100383210/LOC103632819/LOC100281248/LOC542478/LOC100284154/LOC542321/LOC103631694/LOC103636404/LOC100192482/LOC100284001/LOC100281112/LOC100281879/LOC103643653/LOC103643661/LOC100191217/LOC100274274/LOC732720/LOC100193833/LOC103649794/LOC100281032/LOC100285894/LOC100384864/LOC100285877/LOC100501753/LOC100382651/LOC100282054/LOC103651577/LOC103651578/LOC542580/LOC103638615/LOC100286851/LOC100381744/LOC541815/LOC103652724/LOC100382554/LOC103652726/LOC100192631/LOC542320/LOC100279427/LOC542264/LOC100272666/LOC100272582	59
GO:0080043	quercetin 3-O-glucosyltransferase activity	7/1391	19/13837	0.00173421050261369	0.0533269729553709	0.0484894383954485	LOC100382222/LOC100194073/LOC100274322/LOC100280143/LOC100279371/LOC100284183/LOC103641506	7
GO:0080044	quercetin 7-O-glucosyltransferase activity	7/1391	19/13837	0.00173421050261369	0.0533269729553709	0.0484894383954485	LOC100382222/LOC100194073/LOC100274322/LOC100280143/LOC100279371/LOC100284183/LOC103641506	7
GO:0008081	phosphoric diester hydrolase activity	11/1391	41/13837	0.00187534332515579	0.0542746421162733	0.0493511401356786	LOC103647629/LOC542162/LOC103626494/LOC100191201/LOC103627358/LOC100280265/LOC100501678/LOC100216744/LOC100384643/LOC100280012/LOC100381855	11
GO:0016859	cis-trans isomerase activity	13/1391	54/13837	0.0022021448956613	0.0592274817932262	0.0538546849852827	LOC103647754/LOC103634647/LOC103634744/LOC100282887/LOC100272860/LOC100285290/LOC100194203/LOC100193669/LOC100272703/LOC100285487/LOC100381373/LOC100281841/LOC100285350	13
GO:0004180	carboxypeptidase activity	12/1391	48/13837	0.00228724015055142	0.0592274817932262	0.0538546849852827	LOC100272373/LOC100216948/LOC100383183/LOC100281514/LOC100281613/LOC100193473/LOC100191502/LOC103630156/LOC100282195/LOC100282964/LOC103639013/LOC100285883	12
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	12/1391	50/13837	0.00330248986668532	0.0769154157657337	0.0699380652555345	LOC103647754/LOC103634647/LOC103634744/LOC100282887/LOC100272860/LOC100285290/LOC100193669/LOC100272703/LOC100285487/LOC100381373/LOC100281841/LOC100285350	12
