Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zm00001d002490	2362.84572942141	-2.74800615946436	0.114180909968956	-24.0671243574036	5.52507767944645e-128	1.4912184656826e-123
Zm00001d020537	1328.38098242362	-1.42398506670899	0.0836128085317349	-17.0307048849881	4.86150883487935e-65	6.56060617266969e-61
Zm00001d002126	637.028427018136	-3.48994158158828	0.22380507391003	-15.5936660443688	8.03850058581167e-55	7.23197102703524e-51
Zm00001d052242	10488.1309291858	-1.41538435641455	0.0919069411005888	-15.4001900124765	1.63189123328915e-53	1.10111860966186e-49
Zm00001d030557	10145.2984774308	-3.30757283486243	0.220292254003949	-15.0144763365267	5.90261814439454e-51	3.18623327434417e-47
Zm00001d003975	1550.05629103567	-1.39406717890502	0.0961987201901305	-14.4915356061883	1.37044400146355e-47	6.16471393325019e-44
Zm00001d014715	5310.12634631226	-1.92391485709236	0.138120700189927	-13.929228960227	4.2087443720214e-44	1.62277158001225e-40
Zm00001d048574	1224.07252762594	-1.69285279584788	0.125905366928734	-13.4454379280439	3.27461385940358e-41	1.10477285081628e-37
Zm00001d028303	2100.9116271776	4.10994628014488	0.312424865415149	13.1549909597739	1.59302561979844e-39	4.29957614783598e-36
Zm00001d031899	56282.5991046726	-1.58179339437656	0.120216126256483	-13.1579135315155	1.53259870373617e-39	4.29957614783598e-36
Zm00001d005657	904.223508097386	-1.91172200583821	0.147893721708017	-12.9263229281124	3.19749085429984e-38	7.84547983250479e-35
Zm00001d011051	810.744559753313	-3.25578226867884	0.255392081836506	-12.7481723210318	3.19139801199511e-37	7.17798602864567e-34
Zm00001d023869	500.950354632757	-4.78652672396752	0.382819819086874	-12.503340959161	7.15786077090498e-36	1.48608201697481e-32
Zm00001d033591	5404.76534581167	-2.00812341544779	0.161450236328763	-12.438033298128	1.624547151969e-35	2.92310184210956e-32
Zm00001d050969	3113.38594776324	-1.87021118565088	0.153474383839519	-12.1858198017362	3.69914693635783e-34	6.23999848826862e-31
Zm00001d023929	14274.8752159512	-2.84753788625936	0.234683295964771	-12.1335345771128	7.01546706609441e-34	1.11380856537581e-30
Zm00001d046919	842.643682185961	-3.63474116488411	0.300107181701235	-12.1114767873253	9.18258345723119e-34	1.37687737505928e-30
Zm00001d013507	643.974812875056	-3.17840888761663	0.262543891437287	-12.1062001108331	9.79265906793972e-34	1.39107299075628e-30
Zm00001d029601	164.845574312971	-4.56353467637117	0.378904595550338	-12.0440203944818	2.08539015848871e-33	2.81423401888051e-30
Zm00001d021310	18546.4640268904	-2.28515952079624	0.19069170123388	-11.983528942319	4.3347084461715e-33	5.57113242676994e-30
Zm00001d021620	42139.1674706023	-2.1814951089713	0.183796110097401	-11.8691038010285	1.71292717979977e-32	2.1014502083089e-29
Zm00001d034020	580.807517797373	-1.48510818288499	0.126781572948018	-11.7139119538603	1.08171003303861e-31	1.26936320833531e-28
Zm00001d040686	3097.80603061775	-2.06979391456691	0.177005628267167	-11.6933791022895	1.37792954000779e-31	1.54959659520042e-28
Zm00001d001843	1334.91029610006	-1.64719794084656	0.141900421443488	-11.6081257834922	3.74739429637857e-31	4.04568688237031e-28
Zm00001d042663	177.681909860396	-3.75918065202604	0.324215402525198	-11.594701000468	4.38393963687333e-31	4.55086656920043e-28
Zm00001d045366	4270.29897019962	-1.17979522456169	0.10224313981911	-11.5391137894337	8.37839467826325e-31	8.37529156912315e-28
Zm00001d018161	1138.29155851412	-4.535407813361	0.397824565035278	-11.4005222703098	4.15618233920687e-30	4.00626290482833e-27
Zm00001d039119	171.552816214861	2.67075223642778	0.235919833224785	11.3205922533994	1.03768485518978e-29	9.65762560054215e-27
Zm00001d053740	159.143710254899	2.56275088294986	0.226448899982368	11.3171266592569	1.07952408233784e-29	9.71211832743278e-27
Zm00001d016802	10122.7347893126	-1.86998126594873	0.167139058686092	-11.1881763643337	4.65917515683282e-29	4.05648830590058e-26
Zm00001d025412	732.611696710579	1.770383172144	0.15885071231247	11.144949533884	7.57872449080164e-29	6.39218043771051e-26
Zm00001d014488	6649.29142044757	-2.40781021222463	0.216515836979822	-11.1207117493628	9.94752140097126e-29	8.13586674582468e-26
Zm00001d037361	2392.01358061282	-1.28193434818207	0.115951245708865	-11.0558048802753	2.05485351017511e-28	1.63119106587136e-25
Zm00001d019040	1117.51074516957	-1.47583537033265	0.133831616251293	-11.0275539642404	2.81415022872672e-28	2.17011184780955e-25
Zm00001d004022	352.293459384811	2.27749824239464	0.20755142309791	10.97317574797	5.14335383722269e-28	3.85608666851779e-25
Zm00001d025644	1563.36849955923	-1.73757142261068	0.158532900213138	-10.9603206670327	5.92889146470377e-28	4.32488596303662e-25
Zm00001d013202	886.010349442011	-3.71269380972247	0.33984810405144	-10.9245682570014	8.79576988286562e-28	6.08712382406521e-25
Zm00001d011454	6072.70203084798	-1.60472187780737	0.14687596884107	-10.9256939066988	8.68738232528591e-28	6.08712382406521e-25
Zm00001d048703	8436.35905277732	-2.27839411669992	0.209919951504514	-10.8536330175883	1.91652877419264e-27	1.29317779038649e-24
Zm00001d046934	74.837816557798	-4.37220309929682	0.403597395132756	-10.8330805699543	2.39944530743856e-27	1.57953728896992e-24
Zm00001d014325	1096.58211933923	1.7581707661401	0.162700364678259	10.8061882320725	3.21763819357333e-27	2.06771559153677e-24
Zm00001d043167	1010.03290457033	-1.46348940406622	0.137409465738951	-10.6505719689395	1.73296969320526e-26	1.08774074464209e-23
Zm00001d009709	261.425593165103	-2.98463753465555	0.280521229225462	-10.6396137750299	1.94935687785717e-26	1.19575323030375e-23
Zm00001d043779	721.662155303204	-1.08748177042854	0.102588659883989	-10.6004091647001	2.96679358881335e-26	1.77941686582383e-23
Zm00001d036535	134032.225841296	-1.4828641220287	0.140190931386361	-10.5774610908461	3.79091560160702e-26	2.22427852363855e-23
Zm00001d037532	4716.40066479837	-2.81829172644063	0.267323199094863	-10.5426380350944	5.49358880372628e-26	3.15472259175686e-23
Zm00001d049995	7379.13638138245	-3.19792438769167	0.303576990197727	-10.5341461670358	6.01264216671017e-26	3.38085858498974e-23
Zm00001d002650	4353.89190980097	-1.68252685666396	0.160280198046904	-10.4974093940886	8.87832587600056e-26	4.89032684476031e-23
Zm00001d040340	708.468349396555	-1.7275750603763	0.164976365886812	-10.4716518095784	1.16590549566873e-25	6.2935578656198e-23
Zm00001d053939	1107.90854966674	-2.63399803237401	0.253254223501089	-10.4006085109285	2.46354896699525e-25	1.25455069092834e-22
Zm00001d037708	626.713749763625	-6.15896864845797	0.592119303349233	-10.401567072076	2.43888842369983e-25	1.25455069092834e-22
Zm00001d035761	6151.74941649943	-2.42937318537448	0.23386282489254	-10.3880263418984	2.81109781356186e-25	1.40502833311175e-22
Zm00001d045430	1525.89025375176	-1.90931090443204	0.184394001860093	-10.3545174201529	3.99194549884975e-25	1.95895652752645e-22
Zm00001d033347	854.10520436078	-6.44436748563148	0.623672962305845	-10.3329274718041	5.00105595812012e-25	2.41033036267254e-22
Zm00001d048422	6203.33076409991	-1.34701711198562	0.13065202481101	-10.3099597111801	6.35279475334482e-25	3.00810404197854e-22
Zm00001d015702	594.328655764303	-3.1979256882449	0.310914196311868	-10.2855569999035	8.18673408571021e-25	3.80965436160894e-22
Zm00001d043508	606.455365537909	-2.44082197730561	0.237959266028089	-10.2573100768326	1.09720559264159e-24	4.85468507301581e-22
Zm00001d044138	942.677006111179	-3.93436896136036	0.383541076775419	-10.2580119825447	1.08926099686128e-24	4.85468507301581e-22
Zm00001d020971	1320.55103007451	-1.28825320273154	0.125557352190648	-10.2602769193113	1.06401171862336e-24	4.85468507301581e-22
Zm00001d043780	1791.57831821743	-2.58336047971952	0.252356390688704	-10.2369528771167	1.35434771892162e-24	5.80219760852296e-22
Zm00001d046962	161.067990224158	-2.68596857115074	0.262350031229211	-10.2381103541933	1.33824525037963e-24	5.80219760852296e-22
Zm00001d033018	1233.49187900119	-1.16805339587147	0.11428025194834	-10.2209557290745	1.59757906239078e-24	6.73729045217612e-22
Zm00001d034739	1860.50331822316	-1.2855273972971	0.126162487964189	-10.1894581982404	2.2099237826593e-24	9.17628352214994e-22
Zm00001d042344	6343.48670149658	-1.31845591365504	0.130226002520077	-10.124367546733	4.30754448088929e-24	1.76152462938185e-21
Zm00001d037229	1199.47353934337	3.14951813543965	0.312640558521381	10.0739269093401	7.2042889461387e-24	2.90214565158632e-21
Zm00001d023833	771.318178893742	-2.85940680314354	0.284029647611335	-10.0672828600497	7.70780510696024e-24	3.0593185270126e-21
Zm00001d033893	1194.57047452514	-1.13550801142087	0.112976292939391	-10.0508521024853	9.10764522351965e-24	3.56254122583761e-21
Zm00001d005099	681.035406084478	-1.53374896978333	0.152843673254983	-10.0347560165257	1.07224156280057e-23	4.13425711142677e-21
Zm00001d031729	501.460071778514	-2.34273549515793	0.235058448914752	-9.96660833071167	2.13391673482077e-23	7.95968689389717e-21
Zm00001d039900	2753.63528489791	-1.53083496528156	0.153630757337803	-9.96437817406292	2.18235209391771e-23	7.95968689389717e-21
Zm00001d018355	263.955313945316	1.91836355029644	0.192512478612262	9.96487897369088	2.17138163284604e-23	7.95968689389717e-21
Zm00001d004342	7440.6108820528	-6.61485415181805	0.665197178205787	-9.94420055968977	2.67311667906841e-23	9.52767971484331e-21
Zm00001d046629	2481.64105538643	-1.62976741033566	0.163897215502053	-9.94383830953643	2.68285905271616e-23	9.52767971484331e-21
Zm00001d053936	1139.47198108809	-2.66246916537588	0.268952761722653	-9.89939329242306	4.1880797452361e-23	1.46800353667432e-20
Zm00001d018362	9999.36194687058	-2.43813979749236	0.24643960722488	-9.89345756937329	4.44408008867992e-23	1.53776566145476e-20
Zm00001d004380	2735.76913552729	-1.63962611980386	0.166007081043083	-9.87684446652208	5.24588404067535e-23	1.79223304123832e-20
Zm00001d031696	2908.97493213699	-1.9220172764837	0.195038238100465	-9.85456644401009	6.54987608714117e-23	2.20976444489925e-20
Zm00001d040263	4770.06703482842	-1.30764632878532	0.133024394455402	-9.83012427261021	8.35156531517052e-23	2.78282404761052e-20
Zm00001d040981	555.443469076547	-1.73473501319089	0.176598774973687	-9.82302970929082	8.96091193686309e-23	2.94945138019433e-20
Zm00001d032420	4596.78051530714	-2.37078560563667	0.241518329828666	-9.81617257505263	9.59163005596844e-23	3.11901319530829e-20
Zm00001d043465	4215.88061066603	-2.26143342337115	0.231161285865198	-9.78292457107159	1.33301961864739e-22	4.28311898896344e-20
Zm00001d023873	386.044999417958	-7.94247648232788	0.813730150183959	-9.76057785315235	1.6620547347806e-22	5.21987374496691e-20
Zm00001d043972	4969.49242148545	-2.30889582561636	0.236554945540312	-9.76050540961064	1.6632424678294e-22	5.21987374496691e-20
Zm00001d013039	22657.3195291044	-1.78598715041095	0.18302072072345	-9.75838770250299	1.69833659201758e-22	5.26874765730511e-20
Zm00001d016072	3973.99084417551	-2.17455827586098	0.223583402998025	-9.72593782321219	2.33741453836735e-22	7.16895663528805e-20
Zm00001d032311	874.947626519867	-3.63588871430564	0.374038824936411	-9.72061848104609	2.46280989578993e-22	7.46867854914272e-20
Zm00001d033790	1358.72145681391	-2.78215716316096	0.28629304297295	-9.71786507373785	2.53030931672177e-22	7.58811649536895e-20
Zm00001d012485	1352.017888842	-5.0449768509258	0.522386839867065	-9.65754966608582	4.56655663799221e-22	1.35441058966384e-19
Zm00001d026282	5929.47253824373	-1.84507669010099	0.191377099802559	-9.6410526233522	5.36351289584439e-22	1.57349144629174e-19
Zm00001d009582	370.960242792966	-1.68039988089171	0.174326445780028	-9.63938588532979	5.45131154675245e-22	1.58205267362203e-19
Zm00001d018432	694.759910196911	-2.38293857182081	0.24749369217177	-9.6282800216458	6.07375763419112e-22	1.74394381432786e-19
Zm00001d028369	147.569574669573	-2.30054229212753	0.239942320988417	-9.58789713565615	8.98985158462735e-22	2.55406415020097e-19
Zm00001d027488	130055.51680119	-2.11173744874128	0.220703458209716	-9.56821187067523	1.08770556524112e-21	3.03454552087519e-19
Zm00001d034192	4117.55307455802	-2.0412413462159	0.213341829191947	-9.56793777360636	1.09059249916596e-21	3.03454552087519e-19
Zm00001d010336	1941.35819154822	-1.70755690571137	0.178826901870524	-9.54865788005261	1.31387299238168e-21	3.61851347595731e-19
Zm00001d011236	399.266690992759	1.49069537655085	0.156237159473537	9.5412345025598	1.411420325476e-21	3.84790248329266e-19
Zm00001d010321	4876.04582952745	-1.72685554987919	0.181316911212658	-9.523962979128	1.66697901638709e-21	4.49917636522874e-19
Zm00001d049187	588.132500128981	-3.93333339064131	0.41352382210114	-9.51174558857529	1.87489582293481e-21	5.01024141198124e-19
Zm00001d045451	23034.3671209343	-2.09706647257015	0.221058584223092	-9.48647382294731	2.38981716776821e-21	6.3236436625553e-19
Zm00001d047255	3145.93483451071	-1.96901954734841	0.207617384278348	-9.48388572658539	2.44986403398396e-21	6.41959517254633e-19
Zm00001d034808	3197.34951247649	-2.34495257253522	0.248215718720481	-9.44723639833587	3.47894427842196e-21	9.02852943025084e-19
Zm00001d007853	547.289027882334	1.30046114723753	0.137760347689644	9.44002515271885	3.7268992709393e-21	9.57990584025254e-19
Zm00001d014701	1816.66370991013	-1.95066360279632	0.206823733595596	-9.43152687984283	4.04162102664592e-21	1.02908822178465e-18
Zm00001d042363	1659.83130900484	-1.43928230842629	0.153185723566229	-9.39566870148986	5.68555092668899e-21	1.43414036926482e-18
Zm00001d020344	419.395967736644	-2.05636622488739	0.21947504530142	-9.36947625213265	7.28933339024957e-21	1.82165840928552e-18
Zm00001d002143	935.488815425841	1.95272552952131	0.208984239985582	9.34388894423824	9.28592580037733e-21	2.29933153534114e-18
Zm00001d044606	2425.91420599154	-1.25657192070356	0.134516897017167	-9.34136862035403	9.50968032389147e-21	2.33332974492573e-18
Zm00001d027861	1154.19375749736	1.97679227194472	0.211888044040765	9.32941866018833	1.06453171752604e-20	2.58844243747998e-18
Zm00001d002820	160.912309229848	-4.42566759805593	0.475104602721043	-9.31514359723948	1.21787686283011e-20	2.93486576140934e-18
Zm00001d009638	2905.28523702743	-2.18757898475004	0.234966378292161	-9.31017876110758	1.27617380982271e-20	3.04813549797477e-18
Zm00001d033469	871.502268120105	-1.17402656668704	0.126179753243304	-9.30439738951807	1.34754291309197e-20	3.19036694950458e-18
Zm00001d043197	143.402392443414	1.86941506773213	0.201254040216981	9.28883249109749	1.55989937527805e-20	3.66101601206561e-18
Zm00001d051174	967.583325091492	-2.75324029004704	0.296953532525157	-9.27161992866272	1.83339929274384e-20	4.26581438889279e-18
Zm00001d053015	10864.349599913	-1.87556557655557	0.202430764548591	-9.26522004072835	1.94675507334186e-20	4.49084781448691e-18
Zm00001d048856	1902.26771548954	-1.61121838508483	0.173963686795562	-9.2618086841209	2.00998087706195e-20	4.59740541287306e-18
Zm00001d017812	430.88367881824	-1.3095445265509	0.141489433343335	-9.25542279452902	2.13384219783531e-20	4.8396975562668e-18
Zm00001d017261	439.371573181492	-2.36937938298651	0.256478090768131	-9.23813560795937	2.50829481215868e-20	5.64157308168022e-18
Zm00001d011428	267.64757061311	-2.82010236522331	0.306665944199237	-9.19600763817165	3.71496243299724e-20	8.28651537740459e-18
Zm00001d024980	19935.6588922071	-1.74740727784645	0.191486118272686	-9.12550368459632	7.14034457001253e-20	1.579654917579e-17
Zm00001d048524	1887.48433276467	-1.37005677196298	0.150216897053021	-9.12052371498132	7.4762164516918e-20	1.64051286204196e-17
Zm00001d045431	8871.7419328654	-1.41100602076233	0.156108396829847	-9.03862988420973	1.58647738286343e-19	3.45314714221644e-17
Zm00001d030149	1650.09877920905	-1.06352956770362	0.117876393338988	-9.02241354335573	1.83990191103032e-19	3.97271620629667e-17
Zm00001d003867	2732.87448825468	-1.80658003912846	0.200264169534838	-9.0209848487859	1.86405869374219e-19	3.9929320749287e-17
Zm00001d028542	6565.8311087754	-1.8909849483679	0.209690097212226	-9.01799833901574	1.91557232069952e-19	4.07096826265197e-17
Zm00001d046357	3799.03325404189	-1.9319102640501	0.214253983735313	-9.01691642026485	1.93457911710198e-19	4.07924143520176e-17
Zm00001d034699	413.13796999932	-2.1727072742772	0.241925185934508	-8.98090567083567	2.68547004959748e-19	5.618669506871e-17
Zm00001d052682	2286.14197380018	-1.74676637184531	0.19489195929109	-8.96274211721761	3.16702625645313e-19	6.57523374320539e-17
Zm00001d008559	846.014641292069	-1.08947545079531	0.12179375273244	-8.94524904892864	3.71111966680541e-19	7.64603967992962e-17
Zm00001d032896	2983.80387991838	-1.74437245312054	0.195248519314064	-8.93411360684718	4.10455432232738e-19	8.39256978481939e-17
Zm00001d042454	3607.96359884175	-1.96010450168649	0.219826609908224	-8.9165934119842	4.80851172528219e-19	9.68520384069897e-17
Zm00001d043516	378.706989136772	-2.85840412889345	0.322186526878956	-8.8718921817837	7.19133898995079e-19	1.42716352454979e-16
Zm00001d043146	1042.00514063694	-1.24570880249487	0.140633210685232	-8.85785652212013	8.15676044773657e-19	1.60694134660153e-16
Zm00001d039379	322.946464247262	-2.98397496449511	0.337126497227167	-8.85120270592201	8.65811393103124e-19	1.69335141303285e-16
Zm00001d040023	136.45153419731	2.69463246498915	0.304618456137039	8.8459264719565	9.07720154875546e-19	1.7625443870569e-16
Zm00001d044785	3018.56723264048	-1.15857326703606	0.131217203264852	-8.82943118896968	1.05209387505226e-18	2.02828669197574e-16
Zm00001d004346	2863.81136920905	-4.1141260504686	0.466404734597939	-8.82093543500402	1.1350745535193e-18	2.17274199996354e-16
Zm00001d021450	2039.88807448341	-2.71057330104408	0.308052486307468	-8.79906321658007	1.37962955025873e-18	2.62226771559741e-16
Zm00001d052837	1528.9830941016	3.01307396730225	0.343567595990184	8.76995968906314	1.78730261842915e-18	3.37337745953866e-16
Zm00001d034766	777.663010314124	-1.51414949048341	0.172719686439987	-8.76651365974727	1.84283761124065e-18	3.44799399486592e-16
Zm00001d017092	12344.9111349533	-1.72036833074753	0.196256191818631	-8.7659314837689	1.85238654781607e-18	3.44799399486592e-16
Zm00001d016100	11162.0139566883	-2.19574553139195	0.250705675412953	-8.75826017011863	1.98287077401561e-18	3.66559467059461e-16
Zm00001d013013	4185.27571671828	-2.51619542546828	0.287457882242709	-8.75326641189052	2.07264629231839e-18	3.77977861011306e-16
Zm00001d041831	1378.39317309902	-1.53166794907359	0.17505068555357	-8.7498540450152	2.13628869316095e-18	3.86969341130296e-16
Zm00001d040735	3072.27430628444	-1.74084393019396	0.199070481382787	-8.74486221212547	2.23287961559066e-18	4.0176947216528e-16
Zm00001d039258	50638.8773026889	-1.53718475247759	0.175839379542814	-8.74198235045129	2.29055278489404e-18	4.09417348770133e-16
Zm00001d012307	64.2562727347822	-2.54482436237166	0.291327691217048	-8.73526423712221	2.43087213070446e-18	4.31639728998114e-16
Zm00001d044156	960.034395462108	1.75781019356432	0.201370979374027	8.72921311218021	2.56450592604623e-18	4.52392254535867e-16
Zm00001d036388	130.112216260621	-1.63960759682359	0.188882075101996	-8.68058864737801	3.93725712502919e-18	6.81195960285499e-16
Zm00001d016736	7158.47022975276	-2.72376213815569	0.315488295150905	-8.63348079792582	5.95126504457548e-18	1.01661166805755e-15
Zm00001d031997	4991.12920568972	-1.45784712843282	0.169363730563679	-8.60778824120604	7.44836852916783e-18	1.26434884655497e-15
Zm00001d048720	287.163345411269	-5.40320289490612	0.627924886351624	-8.60485547292108	7.64129812578049e-18	1.2889914775926e-15
Zm00001d006834	2708.4718339223	-1.14917069943004	0.133694732798007	-8.59548222566304	8.29158582627132e-18	1.3899993878948e-15
Zm00001d019629	545.385347084189	5.55823326387846	0.647270135571115	8.58719251580205	8.91202331305763e-18	1.47567797067132e-15
Zm00001d027805	384.071765697862	1.20083756393163	0.139877250741478	8.58493827671107	9.08852116539066e-18	1.49572674545057e-15
Zm00001d015705	1225.55931632686	-1.68996416308492	0.196876523931609	-8.58387851093908	9.17268437631182e-18	1.50042879585852e-15
Zm00001d018412	2988.81355563145	-2.18059606608958	0.254215586673736	-8.57774338159757	9.67525045899628e-18	1.57310246920668e-15
