Chr	s1	e1	s2	e2	Contact counts	q-Value	Source
5	47121305	47124120	47372104	47375296	NA	NA	TEO_H3K27ac
5	47121305	47124120	47388988	47390993	NA	NA	TEO_H3K4me3
5	47121305	47124120	47928170	47935357	NA	NA	TEO_H3K27ac
5	47375000	47380000	47425000	47430000	13	0.003068898	B73_H3K4me3
5	47385000	47390000	47425000	47430000	24	2.22E-05	B73_H3K4me3
5	47388988	47390993	47425544	47428190	NA	NA	TEO_H3K4me3
5	47388988	47390993	47755099	47757550	NA	NA	TEO_H3K4me3
5	47389654	47391940	47405484	47407826	3	2.84E-07	B73_H3K4me3
5	47389654	47391940	47419794	47428586	4	4.71E-07	B73_H3K4me3
5	47400000	47405000	47425000	47430000	13	0.000347993	B73_H3K4me3
5	47425000	47430000	47445000	47450000	16	0.000628606	B73_H3K4me3
5	47425544	47428190	47928170	47932375	NA	NA	TEO_H3K4me3
5	47425544	47428190	48031163	48038232	NA	NA	TEO_H3K4me3
5	47425544	47428190	48277091	48280885	NA	NA	TEO_H3K4me3
5	47446275	47448235	47755318	47757550	NA	NA	TEO_H3K27ac
5	47590000	47595000	47755000	47760000	11	0.000798168	B73_H3K4me3
5	47595099	47597019	48438895	48445596	NA	NA	TEO_H3K27ac
5	47755000	47760000	47780000	47785000	19	3.19E-05	B73_H3K4me3
5	47755000	47760000	47930000	47935000	18	1.96E-08	B73_H3K4me3
5	47755099	47757550	48031163	48038232	NA	NA	TEO_H3K4me3
5	47755318	47757550	47928170	47935357	NA	NA	TEO_H3K27ac
5	47755318	47757550	48031163	48034684	NA	NA	TEO_H3K27ac
5	47927193	47934335	48030914	48039422	4	0.001687577	B73_H3K4me3
5	47928170	47932375	48031163	48038232	NA	NA	TEO_H3K4me3
5	47928170	47935357	48031163	48034684	NA	NA	TEO_H3K27ac
5	47928170	47935357	48036184	48038232	NA	NA	TEO_H3K27ac
5	47928170	47935357	48264104	48267807	NA	NA	TEO_H3K27ac
5	47928170	47932375	48277091	48280885	NA	NA	TEO_H3K4me3
5	47928170	47935357	48416673	48419662	NA	NA	TEO_H3K27ac
5	47928170	47935357	48438895	48445596	NA	NA	TEO_H3K27ac
5	47930000	47935000	48275000	48280000	10	0.001604541	B73_H3K4me3
5	47995000	48000000	48030000	48035000	19	1.43E-06	B73_H3K4me3
5	48010000	48015000	48030000	48035000	17	0.000710785	B73_H3K4me3
5	48030000	48035000	48260000	48265000	16	9.47E-08	B73_H3K4me3
5	48030000	48035000	48275000	48280000	12	0.000480905	B73_H3K4me3
5	48030914	48039422	48067605	48070262	4	0.00050295	B73_H3K4me3
5	48030914	48039422	48259717	48266217	8	2.64E-10	B73_H3K4me3
5	48031163	48038232	48041478	48044144	NA	NA	TEO_H3K4me3
5	48031163	48034684	48041478	48044144	NA	NA	TEO_H3K27ac
5	48031163	48038232	48260274	48263232	NA	NA	TEO_H3K4me3
5	48031163	48034684	48260418	48263232	NA	NA	TEO_H3K27ac
5	48031163	48034684	48264104	48267807	NA	NA	TEO_H3K27ac
5	48031163	48038232	48277091	48280885	NA	NA	TEO_H3K4me3
5	48031163	48034684	48277091	48281663	NA	NA	TEO_H3K27ac
5	48031163	48038232	48438895	48443781	NA	NA	TEO_H3K4me3
5	48031163	48034684	48438895	48445596	NA	NA	TEO_H3K27ac
5	48036184	48038232	48041478	48044144	NA	NA	TEO_H3K27ac
5	48036184	48038232	48260418	48263232	NA	NA	TEO_H3K27ac
5	48036184	48038232	48264104	48267807	NA	NA	TEO_H3K27ac
5	48036184	48038232	48277091	48281663	NA	NA	TEO_H3K27ac
5	48036184	48038232	48438895	48445596	NA	NA	TEO_H3K27ac
5	48040000	48045000	48065000	48070000	18	2.28E-05	B73_H3K4me3
5	48040000	48045000	48275000	48280000	12	7.01E-05	B73_H3K4me3
5	48041478	48044144	48260418	48263232	NA	NA	TEO_H3K27ac
5	48041478	48044144	48277091	48281663	NA	NA	TEO_H3K27ac
5	48041885	48044406	48259618	48268467	3	0.001445521	B73_H3K27ac
5	48065000	48070000	48260000	48265000	13	8.89E-05	B73_H3K4me3
5	48065000	48070000	48275000	48280000	14	7.34E-05	B73_H3K4me3
5	48235000	48240000	48260000	48265000	23	3.56E-08	B73_H3K4me3
5	48259618	48268467	48276319	48282315	12	1.34E-17	B73_H3K27ac
5	48259618	48268467	48416059	48419715	3	0.007330652	B73_H3K27ac
5	48259717	48266217	48276597	48280684	10	1.72E-17	B73_H3K4me3
5	48260000	48265000	48280000	48285000	16	0.001960436	B73_H3K4me3
5	48260274	48263232	48277091	48280885	NA	NA	TEO_H3K4me3
5	48260274	48263232	49268302	49271485	NA	NA	TEO_H3K4me3
5	48260418	48263232	48277091	48281663	NA	NA	TEO_H3K27ac
5	48260418	48263232	48438895	48445596	NA	NA	TEO_H3K27ac
5	48264104	48267807	48277091	48281663	NA	NA	TEO_H3K27ac
5	48264104	48267807	48416673	48419662	NA	NA	TEO_H3K27ac
5	48264104	48267807	48422819	48425337	NA	NA	TEO_H3K27ac
5	48264104	48267807	48438895	48445596	NA	NA	TEO_H3K27ac
5	48264104	48267807	49117238	49124346	NA	NA	TEO_H3K27ac
5	48275000	48280000	48310000	48315000	18	0.000269994	B73_H3K4me3
5	48275000	48280000	48365000	48370000	12	0.000360017	B73_H3K4me3
5	48275000	48280000	48375000	48380000	13	0.000195719	B73_H3K4me3
5	48275000	48280000	48420000	48425000	20	2.66E-09	B73_H3K4me3
5	48275000	48280000	48440000	48445000	18	1.44E-06	B73_H3K4me3
5	48276319	48282315	76725010	76730152	3	0.006382684	B73_H3K27ac
5	48277091	48281663	48416673	48419662	NA	NA	TEO_H3K27ac
5	48277091	48280885	48438895	48443781	NA	NA	TEO_H3K4me3
5	48277091	48281663	48438895	48445596	NA	NA	TEO_H3K27ac
5	48277091	48281663	49117238	49124346	NA	NA	TEO_H3K27ac
5	48277091	48280885	49118562	49124346	NA	NA	TEO_H3K4me3
5	48416059	48419715	48438716	48446194	4	0.000603783	B73_H3K27ac
5	48416673	48419662	48438895	48445596	NA	NA	TEO_H3K27ac
5	48416673	48419662	49117238	49124346	NA	NA	TEO_H3K27ac
5	48420000	48425000	48440000	48445000	30	1.04E-08	B73_H3K4me3
5	48422819	48425337	48438895	48443781	NA	NA	TEO_H3K4me3
5	48422819	48425337	48438895	48445596	NA	NA	TEO_H3K27ac
5	48438895	48445596	48647942	48650603	NA	NA	TEO_H3K27ac
5	48438895	48445596	49112759	49115760	NA	NA	TEO_H3K27ac
5	48438895	48445596	49117238	49124346	NA	NA	TEO_H3K27ac
5	48438895	48443781	49118562	49124346	NA	NA	TEO_H3K4me3
5	48438895	48445596	49268302	49271485	NA	NA	TEO_H3K27ac
5	48438895	48445596	50063310	50068799	NA	NA	TEO_H3K27ac
5	48440000	48445000	48590000	48595000	11	0.009828292	B73_H3K4me3
5	48590000	48595000	48720000	48725000	16	5.22E-05	B73_H3K4me3
5	48605000	48610000	48625000	48630000	14	0.000237791	B73_H3K4me3
5	48645000	48650000	49120000	49125000	8	0.007605532	B73_H3K4me3
5	48650000	48655000	48720000	48725000	18	5.23E-06	B73_H3K4me3
5	48720000	48725000	48740000	48745000	18	0.000475536	B73_H3K4me3
5	48720000	48725000	49115000	49120000	12	4.28E-05	B73_H3K4me3
5	48885000	48890000	49115000	49120000	17	3.97E-08	B73_H3K4me3
5	49112759	49115760	49117238	49124346	NA	NA	TEO_H3K27ac
5	49117238	49124346	49519714	49523090	NA	NA	TEO_H3K27ac
5	49268302	49271485	49519714	49523090	NA	NA	TEO_H3K27ac
5	49396511	49399078	49402510	49404754	NA	NA	TEO_H3K27ac
