Chr	Start	End	pos	XPCLR	r2
5	46975001	47025000	47000000.5	0.240888343	0.0403654
5	46980001	47030000	47005000.5	3.084231753	0.0407124
5	47000001	47050000	47025000.5	0.035513011	0.0403039
5	47005001	47055000	47030000.5	0	0.0353237
5	47010001	47060000	47035000.5	5.787906801	0.0331465
5	47015001	47065000	47040000.5	8.449630066	0.0328262
5	47020001	47070000	47045000.5	0	0.0328851
5	47025001	47075000	47050000.5	4.780431603	0.0327839
5	47030001	47080000	47055000.5	0	0.0321141
5	47035001	47085000	47060000.5	0.406309017	0.0314752
5	47040001	47090000	47065000.5	0	0.0312976
5	47045001	47095000	47070000.5	0	0.0321256
5	47050001	47100000	47075000.5	0.409727191	0.0323571
5	47055001	47105000	47080000.5	11.54765299	0.0328262
5	47060001	47110000	47085000.5	0.917292355	0.032337
5	47065001	47115000	47090000.5	0.406567847	0.0315333
5	47070001	47120000	47095000.5	0.262753083	0.0330886
5	47075001	47125000	47100000.5	0	0.0330579
5	47080001	47130000	47105000.5	0.734476601	0.0331262
5	47085001	47135000	47110000.5	0	0.0327273
5	47090001	47140000	47115000.5	0	0.0303085
5	47095001	47145000	47120000.5	0	0.0300841
5	47100001	47150000	47125000.5	9.9965683	0.0294748
5	47105001	47155000	47130000.5	0	0.0303256
5	47110001	47160000	47135000.5	0	0.0322581
5	47115001	47165000	47140000.5	0	0.0331081
5	47120001	47170000	47145000.5	0	0.0324921
5	47125001	47175000	47150000.5	0	0.0316861
5	47130001	47180000	47155000.5	20.59325693	0.03341095
5	47215001	47265000	47240000.5	6.606463483	0.0437158
5	47220001	47270000	47245000.5	0	0.0336497
5	47225001	47275000	47250000.5	0	0.0433692
5	47230001	47280000	47255000.5	0	0.0479148
5	47235001	47285000	47260000.5	0	0.0527044
5	47240001	47290000	47265000.5	0	0.0524738
5	47245001	47295000	47270000.5	0	0.058049
5	47250001	47300000	47275000.5	14.77137483	0.0593556
5	47255001	47305000	47280000.5	0	0.0627551
5	47260001	47310000	47285000.5	0.101755019	0.0668675
5	47265001	47315000	47290000.5	14.14197787	0.0825
5	47270001	47320000	47295000.5	0	0.152632
5	47275001	47325000	47300000.5	0.167377496	0.182609
5	47280001	47330000	47305000.5	45.13701076	0.208981
5	47285001	47335000	47310000.5	1.742817688	0.209442
5	47290001	47340000	47315000.5	0.394047795	0.2099035
5	47295001	47345000	47320000.5	26.82409241	0.2282195
5	47300001	47350000	47325000.5	10.10263089	0.233333
5	47305001	47355000	47330000.5	42.66484641	0.242067
5	47310001	47360000	47335000.5	1.259673038	0.241098
5	47400001	47450000	47425000.5	30.91832664	0.150065
5	47405001	47455000	47430000.5	28.93792943	0.149309
5	47410001	47460000	47435000.5	32.26395119	0.14844
5	47415001	47465000	47440000.5	23.94807354	0.15155
5	47420001	47470000	47445000.5	1.063552158	0.138505
5	47425001	47475000	47450000.5	0	0.134408
5	47430001	47480000	47455000.5	0	0.134596
5	47435001	47485000	47460000.5	0	0.131679
5	47440001	47490000	47465000.5	10.05551879	0.139005
5	47445001	47495000	47470000.5	2.896713874	0.135474
5	47460001	47510000	47485000.5	35.75698848	0.1475065
5	47465001	47515000	47490000.5	0	0.152542
5	47470001	47520000	47495000.5	0	0.176651
5	47475001	47525000	47500000.5	1.713576042	0.181701
5	47480001	47530000	47505000.5	44.36276653	0.179578
5	47485001	47535000	47510000.5	57.27167749	0.179688
5	47490001	47540000	47515000.5	0.782250953	0.174385
5	47495001	47545000	47520000.5	25.05889399	0.176562
5	47500001	47550000	47525000.5	4.141947459	0.175896
5	47505001	47555000	47530000.5	11.50251337	0.172932
5	47510001	47560000	47535000.5	0.611469283	0.170732
5	47515001	47565000	47540000.5	10.69199053	0.172605
5	47520001	47570000	47545000.5	0.023685463	0.172164
5	47525001	47575000	47550000.5	23.68081457	0.17161
5	47530001	47580000	47555000.5	0	0.17386
5	47535001	47585000	47560000.5	2.492861632	0.172932
5	47540001	47590000	47565000.5	6.198891516	0.179371
5	47545001	47595000	47570000.5	0	0.195271
5	47550001	47600000	47575000.5	3.777428989	0.197126
5	47555001	47605000	47580000.5	3.562050431	0.210669
5	47560001	47610000	47585000.5	24.30576457	0.209198
5	47565001	47615000	47590000.5	0	0.204007
5	47570001	47620000	47595000.5	16.08983433	0.202881
5	47575001	47625000	47600000.5	9.881466537	0.202881
5	47580001	47630000	47605000.5	20.79511061	0.197841
5	47585001	47635000	47610000.5	51.99136285	0.215732
5	47590001	47640000	47615000.5	0	0.212475
5	47600001	47650000	47625000.5	0	0.138185
5	47605001	47655000	47630000.5	0	0.141623
5	47610001	47660000	47635000.5	0	0.162654
5	47615001	47665000	47640000.5	0	0.182394
5	47620001	47670000	47645000.5	5.832554327	0.1644575
5	47625001	47675000	47650000.5	5.900664155	0.1620635
5	47630001	47680000	47655000.5	0	0.177821
5	47635001	47685000	47660000.5	4.291123786	0.132318
5	47640001	47690000	47665000.5	3.849481072	0.172074
5	47645001	47695000	47670000.5	0.106246343	0.196779
5	47650001	47700000	47675000.5	47.61279027	0.171855
5	47655001	47705000	47680000.5	0	0.157872
5	47660001	47710000	47685000.5	2.160797538	0.138185
5	47665001	47715000	47690000.5	27.06445516	0.136622
5	47670001	47720000	47695000.5	0	0.140597
5	47675001	47725000	47700000.5	35.6671562	0.145924
5	47680001	47730000	47705000.5	27.29101526	0.173316
5	47685001	47735000	47710000.5	0.192309034	0.193548
5	47690001	47740000	47715000.5	3.506796021	0.1843
5	47695001	47745000	47720000.5	11.56696271	0.153932
5	47700001	47750000	47725000.5	13.23943922	0.150712
5	47705001	47755000	47730000.5	0	0.158381
5	47710001	47760000	47735000.5	6.166922379	0.170961
5	47715001	47765000	47740000.5	68.53527017	0.175103
5	47720001	47770000	47745000.5	57.33531177	0.164367
5	47725001	47775000	47750000.5	5.317733062	0.1567075
5	47730001	47780000	47755000.5	55.51243923	0.153488
5	47735001	47785000	47760000.5	17.3922183	0.157997
5	47740001	47790000	47765000.5	0	0.174081
5	47745001	47795000	47770000.5	2.786006611	0.182425
5	47750001	47800000	47775000.5	0.630164463	0.2004525
5	47755001	47805000	47780000.5	6.745993796	0.196452
5	47760001	47810000	47785000.5	3.461930835	0.192292
5	47765001	47815000	47790000.5	0	0.191719
5	47770001	47820000	47795000.5	0	0.193806
5	47775001	47825000	47800000.5	0	0.200434
5	47780001	47830000	47805000.5	55.91768929	0.194202
5	47785001	47835000	47810000.5	15.24419219	0.191959
5	47790001	47840000	47815000.5	0	0.179061
5	47795001	47845000	47820000.5	26.92644883	0.178563
5	47800001	47850000	47825000.5	0	0.147893
5	47805001	47855000	47830000.5	17.52170505	0.134948
5	47825001	47875000	47850000.5	35.29943489	0.191147
5	47830001	47880000	47855000.5	68.78630362	0.187958
5	47835001	47885000	47860000.5	0	0.1808275
5	47840001	47890000	47865000.5	72.68979486	0.1839945
5	47845001	47895000	47870000.5	16.08656546	0.19006
5	47850001	47900000	47875000.5	9.936922656	0.190259
5	47855001	47905000	47880000.5	15.09704217	0.192789
5	47860001	47910000	47885000.5	0	0.208514
5	47865001	47915000	47890000.5	0	0.194205
5	47870001	47920000	47895000.5	25.25868518	0.191921
5	47875001	47925000	47900000.5	6.392749425	0.164367
5	47880001	47930000	47905000.5	4.51e-07	0.179207
5	47885001	47935000	47910000.5	0	0.181155
5	47890001	47940000	47915000.5	0	0.160011
5	47895001	47945000	47920000.5	41.72136213	0.157872
5	47900001	47950000	47925000.5	8.267566379	0.1613
5	47905001	47955000	47930000.5	16.65461715	0.173076
5	47910001	47960000	47935000.5	18.89058965	0.164123
5	47915001	47965000	47940000.5	20.11112779	0.1709615
5	47920001	47970000	47945000.5	75.33676615	0.173697
5	47925001	47975000	47950000.5	0	0.170533
5	47930001	47980000	47955000.5	0	0.1673135
5	47935001	47985000	47960000.5	23.08892197	0.162319
5	47945001	47995000	47970000.5	2.73932565	0.191009
5	47950001	48000000	47975000.5	0	0.181704
5	47955001	48005000	47980000.5	0.572825687	0.148607
5	47960001	48010000	47985000.5	6.716318977	0.125786
5	47965001	48015000	47990000.5	80.94979061	0.121882
5	47970001	48020000	47995000.5	3.918371533	0.136622
5	47975001	48025000	48000000.5	20.22929793	0.155615
5	47980001	48030000	48005000.5	0	0.168618
5	47985001	48035000	48010000.5	31.68440813	0.183901
5	47900001	47950000	47925000.5	8.267566379	0.659334
5	47905001	47955000	47930000.5	16.65461715	0.277246
5	47910001	47960000	47935000.5	18.89058965	0.295083
5	47915001	47965000	47940000.5	20.11112779	0.276636
5	47920001	47970000	47945000.5	75.33676615	0.255409
5	47925001	47975000	47950000.5	0	0.2167205
5	47930001	47980000	47955000.5	0	0.205313
5	47935001	47985000	47960000.5	23.08892197	0.199578
5	47945001	47995000	47970000.5	2.73932565	0.205886
5	47950001	48000000	47975000.5	0	0.216342
5	47955001	48005000	47980000.5	0.572825687	0.197243
5	47960001	48010000	47985000.5	6.716318977	0.179334
5	47965001	48015000	47990000.5	80.94979061	0.1946615
5	47970001	48020000	47995000.5	3.918371533	0.197755
5	47975001	48025000	48000000.5	20.22929793	0.19687
5	47980001	48030000	48005000.5	0	0.195123
5	47985001	48035000	48010000.5	31.68440813	0.205828
5	47990001	48040000	48015000.5	0.327655587	0.201635
5	47995001	48045000	48020000.5	76.56072698	0.209133
5	48000001	48050000	48025000.5	1.305586821	0.199426
5	48005001	48055000	48030000.5	17.21307701	0.2033395
5	48010001	48060000	48035000.5	0	0.20772
5	48015001	48065000	48040000.5	8.580069199	0.208333
5	48020001	48070000	48045000.5	0	0.213945
5	48025001	48075000	48050000.5	0	0.215935
5	48030001	48080000	48055000.5	47.37198955	0.216443
5	48035001	48085000	48060000.5	0	0.212403
5	48040001	48090000	48065000.5	11.54824059	0.216606
5	48045001	48095000	48070000.5	15.22094655	0.208421
5	48050001	48100000	48075000.5	4.581181118	0.211616
5	48055001	48105000	48080000.5	45.32465844	0.208421
5	48060001	48110000	48085000.5	41.39675308	0.204726
5	48090001	48140000	48115000.5	0.004695305	0.193004
5	48095001	48145000	48120000.5	23.63210398	0.2015755
5	48100001	48150000	48125000.5	0	0.203484
5	48105001	48155000	48130000.5	0	0.2058815
5	48110001	48160000	48135000.5	0.402971308	0.208804
5	48115001	48165000	48140000.5	0	0.200391
5	48120001	48170000	48145000.5	27.7710785	0.206424
5	48125001	48175000	48150000.5	0.001950633	0.212945
5	48130001	48180000	48155000.5	19.55401943	0.216606
5	48135001	48185000	48160000.5	0.716379117	0.217102
5	48140001	48190000	48165000.5	0.906189812	0.211616
5	48145001	48195000	48170000.5	0	0.207824
5	48150001	48200000	48175000.5	0.008005604	0.208421
5	48155001	48205000	48180000.5	13.0463786	0.2112005
5	48160001	48210000	48185000.5	12.25016509	0.198754
5	48165001	48215000	48190000.5	24.79993484	0.2096245
5	48170001	48220000	48195000.5	0	0.208754
5	48175001	48225000	48200000.5	0	0.19443
5	48190001	48240000	48215000.5	0	0.226038
