CHROM	BIN_START	BIN_END	WEIGHTED_FST
1	9140001	9310000	0.082918
1	10720001	10860000	0.0800926
1	13935001	14245000	0.115277
1	24305001	24460000	0.109072
1	28620001	29425000	0.118139
1	38155001	38590000	0.11335
1	45300001	45485000	0.0844828
1	46385001	46665000	0.0815762
1	72550001	72650000	0.081377
1	80190001	80615000	0.098513
1	98535001	98935000	0.0894561
1	100180001	100390000	0.0866743
1	115750001	117435000	0.127954
1	151625001	152120000	0.104226
1	153195001	153790000	0.109349
1	155930001	156065000	0.0876093
1	156165001	156965000	0.0980661
1	157070001	157615000	0.20395
1	158115001	159010000	0.101294
1	159675001	159930000	0.191449
1	161735001	162060000	0.109329
1	164630001	164990000	0.110958
1	165150001	165260000	0.0910838
1	168515001	168965000	0.139016
1	171885001	172155000	0.0821713
1	173845001	173990000	0.113277
1	180655001	180865000	0.099164
1	182510001	182800000	0.114546
1	183125001	183505000	0.0941014
1	184260001	184855000	0.130186
1	189380001	189545000	0.0833611
1	189835001	190120000	0.110958
1	191240001	191415000	0.115143
1	198140001	198505000	0.102493
1	202355001	202460000	0.0819998
1	205195001	205380000	0.188545
1	205545001	205770000	0.0958145
1	207100001	207310000	0.0797076
1	209345001	209915000	0.154509
1	213750001	214035000	0.0985483
1	215175001	215755000	0.169087
1	218010001	218255000	0.129318
1	220485001	220580000	0.087458
1	224930001	225175000	0.119656
1	227405001	227510000	0.0816784
1	230495001	230660000	0.0804207
1	230830001	231055000	0.0952682
1	233080001	233480000	0.125105
1	234040001	234425000	0.164532
1	235320001	235950000	0.0821661
1	236815001	237035000	0.0982342
1	238920001	239185000	0.126263
1	239370001	239465000	0.0843326
1	242515001	242930000	0.133325
1	250350001	250680000	0.134775
1	251480001	251705000	0.0864981
1	252135001	252275000	0.0813753
1	261215001	261490000	0.0976022
1	267660001	267855000	0.099339
1	274360001	274780000	0.0900284
1	284405001	284510000	0.102536
1	284750001	285010000	0.143705
1	285380001	285505000	0.106031
1	295670001	295805000	0.128033
1	299005001	299345000	0.181133
1	304280001	304530000	0.18602
2	18105001	18170000	0.0869087
2	21265001	21410000	0.145566
2	21665001	21815000	0.100884
2	21955001	22185000	0.101382
2	27125001	27350000	0.105453
2	28200001	28885000	0.102019
2	29235001	29385000	0.130924
2	31125001	31300000	0.0871343
2	33400001	33675000	0.147905
2	34510001	34885000	0.0836942
2	34940001	35225000	0.128072
2	37965001	38335000	0.13122
2	39070001	39520000	0.130252
2	46670001	46825000	0.0961343
2	47210001	47305000	0.088335
2	51125001	51410000	0.0818499
2	51480001	51800000	0.104016
2	63435001	63625000	0.0962449
2	66635001	66855000	0.195812
2	74630001	74725000	0.0900214
2	84660001	84720000	0.121401
2	103745001	104030000	0.106959
2	105150001	105690000	0.10565
2	109310001	110360000	0.11303
2	114090001	114580000	0.123777
2	115365001	116500000	0.0906315
2	117200001	117610000	0.0872036
2	131635001	131810000	0.0826678
2	135495001	135605000	0.100352
2	150065001	150115000	0.145211
2	166225001	166440000	0.114476
2	167175001	167705000	0.108633
2	180295001	180345000	0.180195
2	182580001	182700000	0.0794572
2	188375001	188545000	0.0823215
2	193595001	193645000	0.0848392
2	194925001	195250000	0.0938899
2	204790001	205015000	0.0802861
2	206935001	207505000	0.0941153
2	208445001	209840000	0.180161
2	210160001	210660000	0.107777
2	220000001	220195000	0.08555
2	221470001	221760000	0.0958327
2	224465001	224715000	0.0824971
2	226600001	226670000	0.0929927
2	244415001	244490000	0.139018
