ID	Gene	Feature	Start	End
B73_V4	Gene1	Zm00001d014451	47928633	47933975
B73_V4	Gene1	five_prime_UTR	47928633	47929050
B73_V4	Gene1	exon	47928633	47929327
B73_V4	Gene1	exon	47930705	47932050
B73_V4	Gene1	exon	47932132	47932409
B73_V4	Gene1	exon	47932537	47932568
B73_V4	Gene1	exon	47932666	47933072
B73_V4	Gene1	exon	47933224	47933913
B73_V4	Gene1	three_prime_UTR	47933728	47933913
B73_V4	Gene2	Zm00001d014456	48034203	48043502
B73_V4	Gene2	exon	48034203	48034473
B73_V4	Gene2	exon	48037505	48038847
B73_V4	Gene2	exon	48038940	48039217
B73_V4	Gene2	exon	48042210	48042241
B73_V4	Gene2	exon	48042341	48042747
B73_V4	Gene2	exon	48042852	48043502
B73_V4	Gene2	three_prime_UTR	48043299	48043502
B73_V4	Gene3	Zm00001d014458	48260780	48266573
B73_V4	Gene3	five_prime_UTR	48260780	48261187
B73_V4	Gene3	exon	48260780	48261428
B73_V4	Gene3	exon	48263335	48264674
B73_V4	Gene3	exon	48264751	48265028
B73_V4	Gene3	exon	48265260	48265291
B73_V4	Gene3	exon	48265390	48265796
B73_V4	Gene3	exon	48265939	48266573
B73_V4	Gene3	three_prime_UTR	48266404	48266573
A188	Gene1	Zm00056aa008389	50313525	50319144
A188	Gene1	exon	50313525	50314565
A188	Gene1	five_prime_UTR	50313525	50314288
A188	Gene1	exon	50315901	50317246
A188	Gene1	exon	50317328	50317605
A188	Gene1	exon	50317733	50317764
A188	Gene1	exon	50317862	50318268
A188	Gene1	exon	50318419	50319144
A188	Gene1	three_prime_UTR	50318923	50319144
A188	Gene2	Zm00056aa008391	50355332	50367406
A188	Gene2	five_prime_UTR	50355332	50355539
A188	Gene2	exon	50355332	50355810
A188	Gene2	exon	50364085	50365427
A188	Gene2	exon	50365520	50365797
A188	Gene2	exon	50366005	50366036
A188	Gene2	exon	50366136	50366542
A188	Gene2	exon	50366642	50367140
A188	Gene2	three_prime_UTR	50367089	50367140
A188	Gene2	exon	50367251	50367406
A188	Gene2	three_prime_UTR	50367251	50367406
A188	Gene3	Zm00056aa008392	50620471	50626335
A188	Gene3	five_prime_UTR	50620471	50620913
A188	Gene3	exon	50620471	50621154
A188	Gene3	exon	50623061	50624400
A188	Gene3	exon	50624477	50624754
A188	Gene3	exon	50624987	50625018
A188	Gene3	exon	50625117	50625523
A188	Gene3	exon	50625666	50626335
A188	Gene3	three_prime_UTR	50626131	50626335
W22	Gene1	Zm00004b012231	49010361	49015980
W22	Gene1	intron	49011402	49012736
W22	Gene1	intron	49014083	49014163
W22	Gene1	intron	49014442	49014568
W22	Gene1	intron	49014601	49014697
W22	Gene1	intron	49015105	49015254
W22	Gene1	exon	49010361	49011401
W22	Gene1	exon	49012737	49014082
W22	Gene1	exon	49014164	49014441
W22	Gene1	exon	49014569	49014600
W22	Gene1	exon	49014698	49015104
W22	Gene1	exon	49015255	49015980
W22	Gene2	Zm00004b012233	49052170	49064244
W22	Gene2	intron	49052649	49060922
W22	Gene2	intron	49062266	49062357
W22	Gene2	intron	49062636	49062842
W22	Gene2	intron	49062875	49062973
W22	Gene2	intron	49063381	49063479
W22	Gene2	intron	49063980	49064088
W22	Gene2	exon	49052170	49052648
W22	Gene2	exon	49060923	49062265
W22	Gene2	exon	49062358	49062635
W22	Gene2	exon	49062843	49062874
W22	Gene2	exon	49062974	49063380
W22	Gene2	exon	49063480	49063979
W22	Gene2	exon	49064089	49064244
W22	Gene3	Zm00004b012234	49321511	49327375
W22	Gene3	intron	49322195	49324085
W22	Gene3	intron	49325441	49325516
W22	Gene3	intron	49325795	49326026
W22	Gene3	intron	49326059	49326156
W22	Gene3	intron	49326564	49326705
W22	Gene3	exon	49321511	49322194
W22	Gene3	exon	49324086	49325440
W22	Gene3	exon	49325517	49325794
W22	Gene3	exon	49326027	49326058
W22	Gene3	exon	49326157	49326563
W22	Gene3	exon	49326706	49327375
Oh43	Gene1	Zm00039a019182	47524185	47529178
Oh43	Gene1	five_prime_UTR	47524185	47524442
Oh43	Gene1	exon	47524185	47524719
Oh43	Gene1	exon	47526055	47527400
Oh43	Gene1	exon	47527482	47527759
Oh43	Gene1	exon	47527887	47527918
Oh43	Gene1	exon	47528016	47528422
Oh43	Gene1	exon	47528573	47529178
Oh43	Gene1	three_prime_UTR	47529077	47529178
Oh43	Gene2	Zm00039a019187	47565582	47577396
Oh43	Gene2	five_prime_UTR	47565582	47565695
Oh43	Gene2	exon	47565582	47565966
Oh43	Gene2	exon	47574241	47575583
Oh43	Gene2	exon	47575676	47575953
Oh43	Gene2	exon	47576161	47576192
Oh43	Gene2	exon	47576292	47576698
Oh43	Gene2	exon	47576798	47577396
Oh43	Gene2	three_prime_UTR	47577245	47577396
Oh43	Gene3	Zm00039a019189	47830816	47836645
Oh43	Gene3	five_prime_UTR	47830816	47831219
Oh43	Gene3	exon	47830816	47831460
Oh43	Gene3	exon	47833367	47834706
Oh43	Gene3	exon	47834783	47835060
Oh43	Gene3	exon	47835293	47835324
Oh43	Gene3	exon	47835423	47835829
Oh43	Gene3	exon	47835972	47836645
Oh43	Gene3	three_prime_UTR	47836437	47836645
B73_V5	Gene1	Zm00001e013021	48092493	48097901
B73_V5	Gene1	five_prime_UTR	48092493	48092908
B73_V5	Gene1	exon	48092493	48093185
B73_V5	Gene1	exon	48094563	48095908
B73_V5	Gene1	exon	48095990	48096267
B73_V5	Gene1	exon	48096474	48096930
B73_V5	Gene1	exon	48097082	48097901
B73_V5	Gene1	three_prime_UTR	48097586	48097901
B73_V5	Gene2	Zm00001e013023	48198061	48207354
B73_V5	Gene2	exon	48198061	48198331
B73_V5	Gene2	exon	48201363	48202705
B73_V5	Gene2	exon	48202798	48203075
B73_V5	Gene2	exon	48206068	48206099
B73_V5	Gene2	exon	48206199	48206605
B73_V5	Gene2	exon	48206710	48207347
B73_V5	Gene2	three_prime_UTR	48207157	48207347
B73_V5	Gene3	Zm00001e013025	48424588	48430496
B73_V5	Gene3	five_prime_UTR	48424588	48425011
B73_V5	Gene3	exon	48424588	48425252
B73_V5	Gene3	exon	48427159	48428078
B73_V5	Gene3	exon	48428190	48428498
B73_V5	Gene3	exon	48428575	48428852
B73_V5	Gene3	exon	48429084	48429115
B73_V5	Gene3	exon	48429214	48429620
B73_V5	Gene3	exon	48429763	48430413
B73_V5	Gene3	three_prime_UTR	48430228	48430413
TX303	Gene1	Zm00041a019121	48037808	48043110
TX303	Gene1	five_prime_UTR	48037808	48038171
TX303	Gene1	exon	48037808	48038448
TX303	Gene1	exon	48039856	48041201
TX303	Gene1	exon	48041280	48041557
TX303	Gene1	exon	48041685	48041716
TX303	Gene1	exon	48041814	48042220
TX303	Gene1	exon	48042371	48043110
TX303	Gene1	three_prime_UTR	48042875	48043110
TX303	Gene2	Zm00041a019124	48143189	48152677
TX303	Gene2	five_prime_UTR	48143189	48143400
TX303	Gene2	exon	48143189	48143671
TX303	Gene2	exon	48146713	48148055
TX303	Gene2	exon	48148148	48148425
TX303	Gene2	exon	48151390	48151421
TX303	Gene2	exon	48151520	48151926
TX303	Gene2	exon	48152029	48152677
TX303	Gene2	three_prime_UTR	48152476	48152677
TX303	Gene3	Zm00041a019126	48377046	48382908
TX303	Gene3	five_prime_UTR	48377046	48377466
TX303	Gene3	exon	48377046	48377707
TX303	Gene3	exon	48379737	48380533
TX303	Gene3	exon	48380645	48380953
TX303	Gene3	exon	48381030	48381307
TX303	Gene3	exon	48381540	48381571
TX303	Gene3	exon	48381670	48382076
TX303	Gene3	exon	48382219	48382908
TX303	Gene3	three_prime_UTR	48382684	48382908
