ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016168	chlorophyll binding	23/1346	34/13837	4.43404151567776e-16	2.20371863329185e-13	2.0489939214553e-13	LOC100273752/LOC100216729/LOC100191715/LOC542716/LOC542530/LOC100274453/LOC100281791/LOC100281795/LOC100281248/LOC542478/LOC100284154/LOC100282512/LOC542321/LOC100284001/LOC100281879/LOC103643653/LOC100193833/LOC100282054/LOC103651577/LOC103651578/LOC100282214/LOC542320/LOC100280410	23
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	27/1346	97/13837	3.25417957689496e-07	8.08663624858399e-05	7.51886754872047e-05	LOC100283982/LOC103646448/LOC103647705/LOC100383599/LOC100273309/LOC100303864/LOC100284385/LOC100273659/LOC606419/LOC103640889/LOC103640963/LOC103643793/LOC103640965/LOC103648196/LOC100281449/LOC100280852/LOC100281926/LOC103643193/LOC100272476/LOC103630274/LOC542221/LOC103650186/LOC103650187/LOC100193989/LOC542532/LOC103652731/LOC100384430	27
GO:0051537	2 iron, 2 sulfur cluster binding	14/1346	42/13837	2.45123228041143e-05	0.00262026305448813	0.00243629245138259	LOC100191704/LOC100281226/LOC100284976/LOC542229/LOC100273354/LOC100283643/LOC103631716/LOC100284745/LOC103644157/LOC101027099/LOC541619/LOC541612/LOC100274228/LOC103653165	14
GO:0051536	iron-sulfur cluster binding	31/1346	148/13837	3.04849924447299e-05	0.00262026305448813	0.00243629245138259	LOC100278360/LOC100191704/LOC100285307/LOC103648137/LOC100281226/LOC100284976/LOC542229/LOC103625981/LOC100273354/LOC100272516/LOC100273459/LOC542710/LOC100283643/LOC103631716/LOC100284745/lw1/LOC103644006/LOC100273754/LOC103644157/LOC101027099/LOC541619/LOC100284426/LOC541612/LOC542221/LOC100280972/LOC100274228/LOC100193989/LOC542532/LOC100216599/LOC103653165/LOC542264	31
GO:0051540	metal cluster binding	31/1346	148/13837	3.04849924447299e-05	0.00262026305448813	0.00243629245138259	LOC100278360/LOC100191704/LOC100285307/LOC103648137/LOC100281226/LOC100284976/LOC542229/LOC103625981/LOC100273354/LOC100272516/LOC100273459/LOC542710/LOC100283643/LOC103631716/LOC100284745/lw1/LOC103644006/LOC100273754/LOC103644157/LOC101027099/LOC541619/LOC100284426/LOC541612/LOC542221/LOC100280972/LOC100274228/LOC100193989/LOC542532/LOC100216599/LOC103653165/LOC542264	31
GO:0015035	protein disulfide oxidoreductase activity	18/1346	65/13837	3.16329543801384e-05	0.00262026305448813	0.00243629245138259	LOC103646448/LOC100303864/LOC100284385/LOC103640889/LOC103640963/LOC103643793/LOC103640965/LOC103648196/LOC100281449/LOC100280852/LOC103643193/LOC100272476/LOC103630274/LOC103650186/LOC103650187/LOC100193989/LOC103652731/LOC100384430	18
GO:0015036	disulfide oxidoreductase activity	19/1346	77/13837	0.000108320506517506	0.00769075596274293	0.00715078230995266	LOC103646448/LOC100303864/LOC100284385/LOC100273659/LOC103640889/LOC103640963/LOC103643793/LOC103640965/LOC103648196/LOC100281449/LOC100280852/LOC103643193/LOC100272476/LOC103630274/LOC103650186/LOC103650187/LOC100193989/LOC103652731/LOC100384430	19
GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	7/1346	15/13837	0.000258538121351969	0.0143808002693932	0.0133711136678251	LOC100283982/LOC103646448/LOC103647705/LOC100273309/LOC100284385/LOC606419/LOC103640889	7
GO:0019203	carbohydrate phosphatase activity	10/1346	29/13837	0.000260416906286798	0.0143808002693932	0.0133711136678251	LOC541868/LOC103632655/LOC100216767/LOC100275460/LOC103643324/LOC541911/LOC100273700/LOC732726/LOC100281068/LOC103653427	10
GO:0009055	electron transfer activity	35/1346	197/13837	0.000322288357013591	0.0160177313435755	0.0148931146030491	LOC100191704/LOC100281226/LOC542229/LOC103625981/LOC100273206/LOC100273354/LOC100303864/LOC103632883/LOC100273459/LOC542279/LOC100283229/LOC103640963/LOC103643793/LOC103640965/LOC103648196/LOC100283643/LOC103643193/LOC100272476/LOC100284745/LOC103644157/LOC101027099/LOC541619/LOC103629356/LOC103630274/LOC541612/LOC100280972/LOC100285377/LOC103650186/LOC103650187/LOC100193989/LOC542532/LOC103652731/LOC103653165/LOC100384430/LOC103653672	35
