Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zm00001d032311	1759.39472483815	-2.81840632198224	0.208380125622568	-13.5253125199047	1.10871475250884e-41	3.14753031089734e-37
Zm00001d020696	3564.27233447897	-2.19462586015614	0.164057409357491	-13.3771822239002	8.22051379767515e-41	1.166860831011e-36
Zm00001d026542	1544.59474176795	-3.93697130960366	0.297653828746906	-13.2266778699872	6.15482407185787e-40	5.82431001919911e-36
Zm00001d037945	437.758966286716	6.39174936760768	0.487869085700037	13.1013617278829	3.23402695271581e-39	2.29526977901623e-35
Zm00001d031653	590.131644214441	-1.085629208122	0.0849099530260009	-12.7856531470411	1.97199125070239e-37	9.33047660269835e-34
Zm00001d049191	8602.52089325596	-2.17994440658226	0.173133003522976	-12.5911545587724	2.36193150849036e-36	9.57898194207612e-33
Zm00001d010662	1352.9399523263	-3.10850179518865	0.248353768599214	-12.5164269208456	6.0707017608485e-36	2.1542644036091e-32
Zm00001d015133	1872.68921004966	5.16192722063168	0.420579970047438	12.2733548629276	1.25925408368208e-34	3.97210713129452e-31
Zm00001d052713	134.523798336826	-6.52956588312828	0.538447588705752	-12.1266508014702	7.63068913784874e-34	2.16627633934388e-30
Zm00001d046952	3842.57727725693	1.39411205735026	0.115997466536437	12.0184698767739	2.84185159368316e-33	6.72311040775593e-30
Zm00001d021442	846.002960167228	2.31671220288097	0.198879694690385	11.648812144888	2.32679486608107e-31	5.08118303485965e-28
Zm00001d037242	257.846963459622	2.71217098571021	0.234346099801733	11.5733566208477	5.62385722545338e-31	1.14039773409569e-27
Zm00001d046234	10584.4926247263	-2.38762153051189	0.210070214568409	-11.3658261139842	6.18762935472148e-30	1.17107073167459e-26
Zm00001d038972	9408.59647974237	1.30561202664888	0.116244867950959	11.2315670331329	2.85371920283412e-29	5.06338965307862e-26
Zm00001d053281	3117.53054331484	-3.33236104347115	0.301109970219611	-11.0669236260783	1.81525630553072e-28	3.03137125045362e-25
Zm00001d018255	243.284628667126	3.47916185784101	0.318923787852581	10.9090697851902	1.04318301931403e-27	1.64527348529478e-24
Zm00001d021336	1928.95979187658	-5.28746120956054	0.485793176432046	-10.8841817178142	1.37124578914655e-27	2.04885772147797e-24
Zm00001d015201	511.044569158004	-2.72417020429845	0.252239706171289	-10.7999261720062	3.44480440570499e-27	4.88972761367795e-24
Zm00001d052726	5081.42442496299	2.46605776462377	0.228482350581528	10.7932090086925	3.70617870749539e-27	5.0102241584327e-24
Zm00001d007257	84.6904741688618	2.44064156534734	0.226732204195609	10.7644239335393	5.06774935597959e-27	6.53946983940475e-24
Zm00001d010171	12017.6799522882	-1.55249049294501	0.14495160719594	-10.7104055137962	9.09624906412158e-27	1.12275397687542e-23
Zm00001d028360	4424.87729729564	-2.37635142481913	0.222400811297237	-10.6849944069815	1.19656268234998e-26	1.41538408288473e-23
Zm00001d045965	4917.17973925792	-3.08807888049143	0.289145948346374	-10.6800005262123	1.26270943891226e-26	1.43388233045121e-23
Zm00001d031893	539.990535377181	-2.13014097571921	0.200376007312927	-10.630718738659	2.14453320222203e-26	2.34158281068774e-23
Zm00001d049616	452.37075391951	2.50751652384175	0.236304834970378	10.6113635980241	2.63869645673055e-26	2.77444273000458e-23
Zm00001d052482	541.733295128619	-2.28708829254508	0.218179870954079	-10.4825815623773	1.03869044459099e-25	1.05312082255334e-22
Zm00001d029558	6837.11823888559	-1.47188233571154	0.14053410670738	-10.4734883950719	1.14349796463493e-25	1.119405645449e-22
Zm00001d016588	12245.2040447566	-2.33876216704568	0.223759844540185	-10.4521084730449	1.4330334035849e-25	1.35607950981239e-22
Zm00001d020340	824.496297891488	-4.9793752012376	0.480341960587201	-10.3663131889425	3.52877712934185e-25	3.23156302983502e-22
Zm00001d025984	10352.9317554827	-1.9049088700364	0.183866327881712	-10.3602921316942	3.75812467916802e-25	3.33404379740315e-22
Zm00001d014611	1087.18836761648	1.48462912669202	0.144686469687756	10.2610087169585	1.05597832992276e-24	9.08429357823552e-22
Zm00001d023825	972.455328932807	1.32719169698906	0.129437786069534	10.2535104878578	1.14121865269436e-24	9.52884009745303e-22
Zm00001d033558	1357.16922239649	-1.24406360062485	0.121563059645151	-10.2338951014917	1.39781580062511e-24	1.13378836468418e-21
Zm00001d009646	333.997466848195	-3.826988257145	0.374128255789541	-10.2290810649111	1.46906707720354e-24	1.15848181263143e-21
Zm00001d046652	268.993405419168	1.39413717250821	0.136902913135977	10.1834003424274	2.35196159092167e-24	1.80459020553177e-21
