Chr	WinCenter	tP	Tajima	nSites	pi
1	62500	102.993488	-0.972598	15583	0.00660934916254893
1	87500	NA	NA	17215	NA
1	112500	NA	NA	17116	NA
1	137500	NA	NA	15068	NA
1	162500	NA	NA	16642	NA
1	187500	NA	NA	11413	NA
1	212500	NA	NA	21569	NA
1	237500	NA	NA	11594	NA
1	262500	NA	NA	22062	NA
1	287500	NA	NA	24131	NA
1	312500	NA	NA	22949	NA
1	337500	NA	NA	21431	NA
1	362500	NA	NA	10107	NA
1	387500	NA	NA	11946	NA
1	412500	27.794946	-1.304288	12010	0.00231431690258118
1	437500	NA	NA	20377	NA
1	462500	NA	NA	10652	NA
1	487500	79.987289	-1.545829	17840	0.00448359243273543
1	512500	NA	NA	17864	NA
1	537500	NA	NA	22874	NA
1	562500	NA	NA	20502	NA
1	587500	NA	NA	21863	NA
1	612500	28.153373	-1.690879	11184	0.00251729014663805
1	637500	NA	NA	1914	NA
1	662500	NA	NA	24744	NA
1	687500	NA	NA	16633	NA
1	712500	NA	NA	20373	NA
1	737500	NA	NA	19358	NA
1	762500	NA	NA	9799	NA
1	787500	NA	NA	10617	NA
1	812500	NA	NA	22339	NA
1	837500	NA	NA	18415	NA
1	862500	NA	NA	24842	NA
1	887500	NA	NA	24323	NA
1	912500	NA	NA	22449	NA
1	937500	NA	NA	4954	NA
1	962500	NA	NA	15166	NA
1	987500	NA	NA	22638	NA
1	1012500	NA	NA	21721	NA
1	1037500	NA	NA	21645	NA
1	1062500	NA	NA	23539	NA
1	1087500	NA	NA	23037	NA
1	1112500	NA	NA	16003	NA
1	1137500	54.789398	-1.42905	16049	0.00341388236027167
1	1162500	NA	NA	18781	NA
1	1187500	49.205826	-1.015037	15473	0.00318010896400181
1	1212500	NA	NA	21795	NA
1	1237500	NA	NA	24456	NA
1	1262500	NA	NA	15686	NA
1	1287500	NA	NA	24143	NA
1	1312500	NA	NA	24015	NA
1	1337500	NA	NA	21589	NA
1	1362500	NA	NA	17599	NA
1	1387500	NA	NA	9811	NA
1	1412500	NA	NA	22404	NA
1	1437500	NA	NA	24722	NA
1	1462500	NA	NA	22705	NA
1	1487500	NA	NA	16486	NA
1	1512500	24.311302	-1.455788	14816	0.00164088161447084
1	1537500	NA	NA	24194	NA
1	1562500	NA	NA	21833	NA
1	1587500	NA	NA	15982	NA
1	1612500	NA	NA	22647	NA
1	1637500	NA	NA	12305	NA
1	1662500	NA	NA	16042	NA
1	1687500	NA	NA	15704	NA
1	1712500	NA	NA	17869	NA
1	1737500	NA	NA	11877	NA
1	1762500	152.646004	-1.20736	18602	0.00820589205461778
1	1787500	91.981487	-1.448953	15012	0.00612719737543299
1	1812500	NA	NA	22861	NA
1	1837500	NA	NA	24926	NA
1	1862500	NA	NA	19265	NA
1	1887500	58.344752	-0.008759	8422	0.00692765993825695
1	1912500	NA	NA	14236	NA
1	1937500	41.873771	-0.84696	8592	0.00487357669925512
1	1962500	NA	NA	17204	NA
1	1987500	NA	NA	13198	NA
1	2012500	NA	NA	24456	NA
1	2037500	NA	NA	11672	NA
1	2062500	77.472832	0.282072	6479	0.0119575292483408
1	2087500	NA	NA	19136	NA
1	2112500	NA	NA	20330	NA
1	2137500	NA	NA	9310	NA
1	2162500	NA	NA	23932	NA
1	2187500	NA	NA	16503	NA
1	2212500	NA	NA	18767	NA
1	2237500	NA	NA	18805	NA
1	2262500	NA	NA	21513	NA
1	2287500	NA	NA	24081	NA
1	2312500	NA	NA	17751	NA
1	2337500	NA	NA	18461	NA
1	2362500	NA	NA	20055	NA
1	2387500	NA	NA	13882	NA
1	2412500	NA	NA	1785	NA
1	2437500	NA	NA	12227	NA
1	2462500	NA	NA	15496	NA
1	2487500	NA	NA	14920	NA
1	2512500	NA	NA	8645	NA
1	2537500	NA	NA	17762	NA
1	2562500	NA	NA	20872	NA
1	2587500	165.499868	-0.920084	15727	0.0105232954791124
1	2612500	44.421005	-1.653601	7201	0.00616872726010276
1	2637500	53.653303	-0.664203	12032	0.00445921733710106
1	2662500	NA	NA	15812	NA
1	2687500	NA	NA	19801	NA
1	2712500	NA	NA	16693	NA
1	2737500	NA	NA	20585	NA
1	2762500	NA	NA	9893	NA
1	2787500	NA	NA	14650	NA
1	2812500	NA	NA	16151	NA
1	2837500	NA	NA	19136	NA
1	2862500	NA	NA	12574	NA
1	2887500	NA	NA	24269	NA
1	2912500	107.809129	-1.590375	19700	0.00547254461928934
1	2937500	NA	NA	3576	NA
1	2962500	NA	NA	14134	NA
1	2987500	NA	NA	18796	NA
1	3012500	NA	NA	23818	NA
1	3037500	NA	NA	15710	NA
