ensembl_gene_id_v4	chromosome_name	start_position	end_position	description	kegg_enzyme	name_1006	definition_1006
Zm00001d014442	5	47122414	47132149	Protein ENHANCED DISEASE RESISTANCE 2	NA	lipid binding;integral component of membrane;membrane;	"Interacting selectively and non-covalently with a lipid. [GOC:ai];The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194];"
Zm00001d014443	5	47269877	47273702	Serine carboxypeptidase-like 19	NA	carboxypeptidase activity;serine-type carboxypeptidase activity;proteolysis	"Catalysis of the hydrolysis of the terminal or penultimate peptide bond at the C-terminal end of a peptide or polypeptide. [ISBN:0198506732];Catalysis of the hydrolysis of a peptide bond not more than three residues from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine). [http://merops.sanger.ac.uk/about/glossary.htm#CARBOXYPEPTIDASE, http://merops.sanger.ac.uk/about/glossary.htm#CATTYPE, ISBN:0716720094];The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds. [GOC:bf, GOC:mah]"
Zm00001d014444	5	47371203	47385726	Triphosphate tunel metalloenzyme 3	NA	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring. [CHEBI:30413, GOC:ai];Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor. [GOC:mah];Interacting selectively and non-covalently with iron (Fe) ions. [GOC:ai]"
Zm00001d014445	5	47372483	47391812	Protein kinase superfamily protein	NA	phosphorylation;kinase activity;integral component of membrane;membrane	"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide. [ISBN:0198506732];Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule. [ISBN:0198506732];The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"
Zm00001d014446	5	47422446	47427572	Protein kinase superfamily protein	NA	phosphorylation;kinase activity	"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide. [ISBN:0198506732];Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule. [ISBN:0198506732]"
Zm00001d014447	5	47586182	47596407	Serine carboxypeptidase-like 19	NA	carboxypeptidase activity;serine-type carboxypeptidase activity;proteolysis	"Catalysis of the hydrolysis of the terminal or penultimate peptide bond at the C-terminal end of a peptide or polypeptide. [ISBN:0198506732];Catalysis of the hydrolysis of a peptide bond not more than three residues from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine). [http://merops.sanger.ac.uk/about/glossary.htm#CARBOXYPEPTIDASE, http://merops.sanger.ac.uk/about/glossary.htm#CATTYPE, ISBN:0716720094];The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds. [GOC:bf, GOC:mah]"
Zm00001d014449	5	47751804	47756916	Chromo domain-containing protein LHP1	NA	nucleus;	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators];"
Zm00001d014451	5	47928633	47933975	Glutamate receptor 3.4	NA	ionotropic glutamate receptor signaling pathway;ionotropic glutamate receptor activity;ion transport;transport;membrane;integral component of membrane	"A series of molecular signals initiated by glutamate binding to a glutamate receptor on the surface of the target cell, followed by the movement of ions through a channel in the receptor complex. Ends with regulation of a downstream cellular process, e.g. transcription. [GOC:signaling, ISBN:0198506732];Catalysis of the transmembrane transfer of an ion by a channel that opens when glutamate has been bound by the channel complex or one of its constituent parts. [ISBN:0198506732];The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai];The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein. [GOC:dos, GOC:dph, GOC:jl, GOC:mah];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194];The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]"
Zm00001d014455	5	48031606	48033356	Remorin family protein	NA	NA	NA
Zm00001d014456	5	48034203	48043502	Glutamate receptor 3.4	NA	G-protein coupled receptor signaling pathway;ionotropic glutamate receptor signaling pathway;ionotropic glutamate receptor activity;ion transport;transport;integral component of membrane;membrane;G-protein coupled receptor activity	"A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576). [GOC:bf, GOC:mah, PMID:16902576PMID\:24568158, Wikipedia:G_protein-coupled_receptor];A series of molecular signals initiated by glutamate binding to a glutamate receptor on the surface of the target cell, followed by the movement of ions through a channel in the receptor complex. Ends with regulation of a downstream cellular process, e.g. transcription. [GOC:signaling, ISBN:0198506732];Catalysis of the transmembrane transfer of an ion by a channel that opens when glutamate has been bound by the channel complex or one of its constituent parts. [ISBN:0198506732];The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai];The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein. [GOC:dos, GOC:dph, GOC:jl, GOC:mah];The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194];Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex. [GOC:bf, http://www.iuphar-db.org, Wikipedia:GPCR]"
Zm00001d014458	5	48260780	48266573	Glutamate receptor 3.4	NA	ionotropic glutamate receptor signaling pathway;ionotropic glutamate receptor activity;ion transport;transport;membrane;integral component of membrane	"A series of molecular signals initiated by glutamate binding to a glutamate receptor on the surface of the target cell, followed by the movement of ions through a channel in the receptor complex. Ends with regulation of a downstream cellular process, e.g. transcription. [GOC:signaling, ISBN:0198506732];Catalysis of the transmembrane transfer of an ion by a channel that opens when glutamate has been bound by the channel complex or one of its constituent parts. [ISBN:0198506732];The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai];The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein. [GOC:dos, GOC:dph, GOC:jl, GOC:mah];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194];The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]"
