SNP	Chromosome	Position	P.value
S1_40933810	1	40933810	4.62860996181783e-06
S1_173942462	1	173942462	5.05412449697677e-06
S1_200939207	1	200939207	4.10135491928522e-06
S1_205439664	1	205439664	2.32358265057451e-06
S1_249076665	1	249076665	4.9317520503431e-06
S2_20515352	2	20515352	7.32291020749256e-06
S2_35908894	2	35908894	8.712036780224e-06
S2_46446842	2	46446842	1.84121053265947e-06
S2_49487533	2	49487533	7.54119936396114e-06
S2_110354313	2	110354313	6.96787175835268e-06
S2_110451601	2	110451601	4.17515981657609e-06
S2_110538515	2	110538515	2.52952223522421e-07
S2_110606992	2	110606992	4.14530214131573e-06
S2_110607006	2	110607006	3.73481917743774e-06
S2_110639125	2	110639125	8.12917109369971e-06
S2_110749569	2	110749569	4.87348503215544e-06
S2_110785414	2	110785414	5.46809781666853e-06
S2_140401366	2	140401366	2.44698620622408e-06
S2_173484993	2	173484993	3.7813237477153e-06
S2_187358138	2	187358138	5.30212943511167e-06
S3_71449967	3	71449967	4.56649421301297e-06
S3_119801326	3	119801326	9.89511205536352e-06
S3_145146499	3	145146499	1.936030394351e-06
S3_208490768	3	208490768	8.03157673063056e-06
S3_209155503	3	209155503	1.76505532103865e-06
S3_209227030	3	209227030	4.94507077655848e-06
S3_209238966	3	209238966	6.50022800612849e-06
S3_209274512	3	209274512	8.41319194045603e-06
S3_209335753	3	209335753	1.90185610254374e-06
S4_30399522	4	30399522	8.50977165158176e-06
S4_60281157	4	60281157	8.05027990516974e-06
S4_73957146	4	73957146	8.63793893414478e-06
S4_76573435	4	76573435	4.0828954211476e-06
S4_91202911	4	91202911	2.5137645939303e-06
S4_91220910	4	91220910	8.10553066097565e-06
S4_91226706	4	91226706	8.05712711192375e-06
S4_91245082	4	91245082	5.85813462690966e-06
S4_91768406	4	91768406	8.68436472355265e-06
S4_91794773	4	91794773	5.99468683447411e-06
S4_91797353	4	91797353	8.91873486605767e-06
S4_91974446	4	91974446	9.22407437769392e-06
S4_92074743	4	92074743	2.19001642926053e-06
S4_92179115	4	92179115	6.15571991914223e-06
S4_92250719	4	92250719	8.50939136659643e-06
S4_92275186	4	92275186	2.93958817528514e-06
S4_92334301	4	92334301	5.81742476214088e-06
S4_92562392	4	92562392	7.72502227635724e-06
S4_92713685	4	92713685	9.36377889761685e-06
S4_93069121	4	93069121	3.03374061804264e-06
S4_93187300	4	93187300	5.40618442113031e-06
S4_93388066	4	93388066	7.40138878738088e-06
S4_103779050	4	103779050	6.26215912004259e-06
S4_160243878	4	160243878	9.72408189395315e-06
S4_160243907	4	160243907	3.56886570379558e-06
S4_160243908	4	160243908	4.04749445787614e-06
S4_160244077	4	160244077	2.46269897500455e-06
S4_171166456	4	171166456	3.58443323686449e-06
S5_157453444	5	157453444	5.04079545485078e-06
S5_157665022	5	157665022	5.01522960987874e-06
S5_157859338	5	157859338	9.58432784074248e-06
S5_216829180	5	216829180	8.04624484001403e-06
S6_77951579	6	77951579	7.89528656803545e-06
S6_78128820	6	78128820	3.48172083093719e-06
S6_78225348	6	78225348	5.90921642088277e-06
S6_78238231	6	78238231	9.63645056088055e-06
S6_78238239	6	78238239	9.63645056089077e-06
S6_78369159	6	78369159	5.58470398812355e-06
S6_158760689	6	158760689	6.50008253766242e-06
S7_68987781	7	68987781	7.23303165265188e-06
S8_10523687	8	10523687	3.69721583317839e-06
S8_60929122	8	60929122	7.5247913266828e-07
S9_3291368	9	3291368	5.53832493278975e-06
S9_93199471	9	93199471	8.22425219309654e-06
S9_97101803	9	97101803	3.69410133596134e-06
S9_125760020	9	125760020	7.87104254760942e-06
S9_143118602	9	143118602	7.60888030431269e-06
S10_66500621	10	66500621	9.34963701473525e-06
S10_91897123	10	91897123	8.08019369463746e-06
S10_93911745	10	93911745	8.31563282251577e-06
S10_143740545	10	143740545	1.09624453999632e-06
