Zm00001eb225130	Zm00001e013023	Zm00001d014456
Zm00001eb225150	Zm00001e013025	Zm00001d014458
Zm00001eb225110	Zm00001e013021	Zm00001d014451
Zm00001eb106130	Zm00001e010487	Zm00001d006508
Zm00001eb298170	Zm00001e032648	Zm00001d018615
Zm00001eb298150	Zm00001e032646	Zm00001d018614
Zm00001eb072720	Zm00001e007127	Zm00001d002532
Zm00001eb209370	Zm00001e025354	Zm00001d054016
Zm00001eb230060	Zm00001e013467	Zm00001d015007
Zm00001eb055130	Zm00001e005472.m1	Zm00001d033769
Zm00001eb411500	Zm00001e155501	Zm00001d024012
Zm00001eb192720	Zm00001e023728	Zm00001d052064
Zm00001eb313570	Zm00001e034213	Zm00001d020568
Zm00001eb099820	Zm00001e009848	Zm00001d005783
Zm00001eb099810	Zm00001e009847	Zm00001d005782
Zm00001eb257400	Zm00001e016082	Zm00001d018332
Zm00001eb257370	Zm00001e016079	Zm00001d018329
Zm00001eb313550	Zm00001e034212	Zm00001d020563
