Chr	Start	End	LR
1	510001	620000	479.217274247554
1	3495001	3595000	123.963972737973
1	13915001	13965000	102.060018433999
1	15025001	15120000	250.74608088411
1	17680001	17785000	156.113871629681
1	20955001	21005000	74.2119945811082
1	24370001	24420000	63.3805852091742
1	25260001	25315000	77.6433530778804
1	26615001	26690000	84.6006184115005
1	28435001	28515000	63.6073230353596
1	30665001	30715000	86.3277061863237
1	30970001	31035000	84.1965724383286
1	34100001	34200000	153.80113617427
1	38550001	38640000	90.7329641917658
1	38690001	38785000	282.069030072352
1	45210001	45265000	84.2795256964635
1	51045001	51195000	136.078786014578
1	56170001	56265000	65.4977255532512
1	60065001	60165000	111.041691841454
1	69120001	69215000	83.7857315194726
1	70005001	70060000	72.8858628917909
1	70525001	70595000	72.4848163560969
1	77695001	77745000	71.20960714359
1	79050001	79165000	169.894619157499
1	79740001	79800000	81.3981620654062
1	81410001	81505000	90.131097567787
1	82835001	82890000	84.3818648640985
1	85785001	85865000	73.0919871609417
1	93695001	93805000	750.400558269012
1	102905001	102955000	70.8223588230575
1	106040001	106095000	65.1756438004901
1	110390001	110440000	76.8418128281542
1	118655001	118705000	71.7024897974746
1	124465001	124540000	67.6431236726148
1	133190001	133245000	64.1920850336428
1	157740001	157825000	100.313416330263
1	158970001	159065000	175.437789474795
1	172915001	173010000	90.0599860710995
1	177455001	177550000	108.476986458035
1	186995001	187055000	63.293615477665
1	191130001	191215000	64.1359579824618
1	192575001	192665000	65.6100219922136
1	199375001	199470000	88.033289356718
1	215095001	215190000	103.239805099618
1	220665001	220770000	119.324419167828
1	221960001	222055000	99.4864419491757
1	227045001	227145000	154.115932882587
1	231125001	231175000	65.2747911702173
1	233550001	233610000	92.1882169730155
1	234855001	234955000	103.915023117473
1	235820001	236045000	120.982613671626
1	236740001	236805000	105.010163377985
1	239660001	239770000	237.242934958099
1	241220001	241270000	69.141320164903
1	243860001	243950000	83.7693703865785
1	244530001	244605000	78.3266985419585
1	248140001	248265000	108.255174482388
1	254535001	254590000	71.2920480701594
1	256260001	256355000	328.905801793927
1	259235001	259325000	88.6211030868822
1	262955001	263010000	66.0572250278578
1	264885001	265030000	148.219959316475
1	269125001	269190000	77.931244551412
1	271375001	271480000	114.954179587799
1	273225001	273395000	535.256094519931
1	274215001	274290000	72.2620652353803
1	274500001	274945000	226.127791627472
1	276250001	276355000	99.2107992114346
1	282070001	282125000	74.3557488725524
1	282690001	282745000	71.0505104674258
1	287605001	287705000	185.212634179944
1	288530001	288625000	71.2726191455782
1	293690001	293745000	73.9841156885851
1	294570001	294665000	107.422622773987
1	296130001	296230000	382.379728482263
1	298900001	298995000	98.9233979205769
2	12180001	12280000	160.420611856452
2	14720001	14770000	71.726822956764
2	15940001	16045000	85.76952935302
2	16725001	16820000	285.527038380526
2	17505001	17575000	109.63384123368
2	17945001	18055000	128.076160900552
2	19355001	19410000	74.4760264269667
2	22515001	22565000	100.151443705744
2	26245001	26330000	91.475265803191
2	27275001	27370000	89.8403108133706
2	45835001	45940000	208.986707723523
2	49595001	49645000	89.7050088398211
2	58955001	59070000	215.77268867184
2	62505001	62585000	83.9159707621866
2	70555001	70650000	110.151854120489
2	73720001	73820000	166.042340655454
2	73875001	73970000	80.9164073595683
2	100820001	100915000	106.854531927389
2	120015001	120115000	124.471458665018
2	135675001	135770000	71.9019701592382
2	137990001	138085000	69.070209501376
2	138425001	138485000	90.0602525245245
2	143290001	143340000	64.8422242272975
2	148020001	148070000	94.4478979952422
2	158365001	158460000	62.9640521556284
2	161575001	161650000	108.778389207365
2	164545001	164595000	69.1235192246507
2	168675001	168725000	76.0650588167625
2	169735001	169830000	108.192701260385
2	169920001	170010000	62.8744471056603
2	175160001	175255000	117.284009296761
2	178020001	178090000	65.2769685089769
2	183450001	183555000	119.12078477483
2	185615001	185670000	62.9176904779233
2	185890001	185945000	94.8348438590986
2	209185001	209315000	327.563435199662
2	211095001	211190000	137.10619960525
2	221620001	221685000	86.795741495935
2	224375001	224425000	74.589356931946
2	225055001	225120000	73.9112972819623
2	228300001	228395000	132.027147643007
2	235685001	235775000	68.1039674586121
2	236720001	236780000	75.92142037967
2	238145001	238230000	151.271900764246
2	244045001	244255000	112.968052080868
3	290001	340000	70.6126990551834
3	3620001	3675000	114.271674020083
3	12405001	12490000	99.8537441588181
